자치구코드,자치구명,측정소 주소
101,종로구,서울특별시 종로구 종로35가길 19 종로56가 동 주민센터
102,중구,서울특별시 중구 덕수궁길 15 시청서소문별관 3동
103,용산구,서울특별시 용산구 한남대로 136 서울특별시특별시중부기술교육원
104,은평구,서울특별시 은평구 진흥로 215 (한국환경산업기술원 온실동2층 )
105,서대문구,서울특별시 서대문구 세검정로4길 32(홍제3동 주민센터) 
106,마포구,서울특별시 마포구 포은로 6길 10 망원1동주민센터 옥상
107,성동구,서울특별시 성동구 뚝섬로3길 18 성수1가1동주민센터
108,광진구,서울특별시 광진구 광나루로 571 구의 아리수정수센터
109,동대문구,서울특별시 동대문구 천호대로13길 43 용두초등학교
110,중랑구,서울특별시 중랑구 용마산로 369 건강가정지원센터
111,성북구,서울특별시 성북구 삼양로2길 70 길음2동 주민센터
112,강북구,서울특별시 강북구 삼양로 139길 49 우이동 주민센터
113,도봉구,서울특별시 도봉구 시루봉로2길 34 쌍문동청소년문화의집
114,노원구,서울특별시 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소)
115,양천구,서울특별시 양천구 중앙로52길 56 신정4동 문화센터
116,강서구,서울특별시 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관
117,구로구,서울특별시 구로구 가마산로 27길 45 구로고등학교
118,금천구,서울특별시 금천구 금하로21길 20 시흥5동 주민센터
119,영등포구,서울특별시 영등포구 당산로 123 영등포구청 (당산동3가)
120,동작구,서울특별시 동작구 사당로16아길 6 사당4동 주민센터
121,관악구,서울특별시 관악구 신림동길 14 신림동 주민센터
122,서초구,서울특별시 서초구 신반포로15길 16 반포 2동 주민센터
123,강남구,서울특별시 강남구 학동로 426 강남구청 별관 1동
124,송파구,서울특별시 송파구 백제고분로 236 삼전동 주민센터 (삼전동)
125,강동구,서울특별시 강동구 구천면로 42길 59 천호1동 주민센터
