순위,업소명,주소,분류,합산 검색 수
1,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집,47241
2,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,41957
3,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식,41826
4,중앙해장,서울 강남구 영동대로86길 17-0,한식,30918
5,카페노티드청담,서울 강남구 도산대로53길 15-0,카페/찻집,30816
6,영천영화청담점,서울 강남구 도산대로90길 3-0,한식,30563
7,진미평양냉면,서울 강남구 학동로 305-3,한식,26737
8,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,23428
9,삼원가든본점,서울 강남구 언주로 835-0,한식,23167
10,스케줄청담,서울 강남구 선릉로152길 37-0,외국식,22900
11,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식,20904
12,카페노티드삼성,서울 강남구 테헤란로103길 9-0,카페/찻집,20530
13,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,20004
14,보메청담,서울 강남구 선릉로152길 40-0,외국식,18885
15,한우리본점,서울 강남구 도산대로 304-0,한식,17380
16,한일관압구정점 [한식],서울 강남구 압구정로38길 14-0,한식,16594
17,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,16552
18,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,외국식,15432
19,만강수서점,서울 강남구 밤고개로21길 81-0,한식,14923
20,마켓오도곡점,서울 강남구 남부순환로 2745-0,외국식,14800
21,페어링룸,서울 강남구 도산대로81길 14-0,외국식,14553
22,포브라더스도곡점,서울 강남구 논현로28길 40-0,외국식,14436
23,긴자청담점 [일식],서울 강남구 도산대로 534-0,외국식,14326
24,몽중헌대치점,서울 강남구 영동대로 325-0,외국식,14217
25,쉐이크쉑청담점,서울 강남구 도산대로 327-0,간이음식,13411
26,달마시안,서울 강남구 압구정로42길 42-0,카페/찻집,13408
27,금수복국압구정점,서울 강남구 언주로 821-0,외국식,13323
28,해목[일식],서울 강남구 선릉로145길 14-0,외국식,13154
29,고센클래식,서울 강남구 선릉로158길 18-0,카페/찻집,13150
30,팀호완삼성점,서울 강남구 봉은사로86길 30-0,외국식,12824
31,곰바위본점,서울 강남구 영동대로115길 10-0,외국식,12343
32,강남면옥본점,서울 강남구 논현로152길 34-0,한식,12164
33,보노보노삼성점,서울 강남구 테헤란로 508-0,외국식,12070
34,신의주찹쌀순대청담점,서울 강남구 영동대로 725-0,한식,12004
35,백마김씨네도곡본점,서울 강남구 남부순환로 2743-0,한식,11997
36,오엔,서울 강남구 압구정로11길 37-30,외국식,11975
37,농민백암순대본점,서울 강남구 선릉로86길 40-4,한식,11899
38,무탄[중식],서울 강남구 논현로176길 22-0,외국식,11778
39,피양옥,서울 강남구 삼성로133길 14-0,한식,11659
40,포레스트청담,서울 강남구 선릉로 803-0,외국식,11647
41,청담골,서울 강남구 선릉로148길 48-0,외국식,11565
42,뱃고동압구정본점,서울 강남구 언주로172길 54-0,외국식,11541
43,대도식당삼성직영점,서울 강남구 삼성로 545-0,한식,11289
44,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식,11222
45,한성칼국수논현점,서울 강남구 언주로148길 14-0,한식,11216
46,비비브라운,서울 강남구 도산대로 412-0,카페/찻집,11126
47,강강술래청담점,서울 강남구 도산대로 535-0,한식,11020
48,능라도강남점,서울 강남구 삼성로 534-0,한식,10799
49,하동관강남분점,서울 강남구 테헤란로78길 16-0,한식,10677
50,강남면옥대치점,서울 강남구 도곡로 428-0,한식,10593
51,수담[한식],서울 강남구 봉은사로 418-0,한식,10526
52,뜨락,서울 강남구 영동대로142길 13-3,한식,10282
53,영양센타대치점,서울 강남구 도곡로 436-0,한식,10223
54,아웃백스테이크하우스도곡점,서울 강남구 남부순환로 2909-0,외국식,9821
55,이도곰탕본점,서울 강남구 논현로94길 29-5,한식,9696
56,테라로사포스코센터점,서울 강남구 테헤란로 440-0,카페/찻집,9577
57,오스테리아꼬또압구정점,서울 강남구 언주로165길 7-12,외국식,9439
58,테라스룸서울,서울 강남구 선릉로152길 37-0,외국식,9216
59,연타발압구정본점,서울 강남구 도산대로 231-0,외국식,9192
60,아베크청담,서울 강남구 선릉로 823-0,외국식,9107
61,더라운드삼성점,서울 강남구 영동대로 648-0,외국식,9033
62,영동장어,서울 강남구 언주로148길 8-0,외국식,8957
63,대려도[중식],서울 강남구 역삼로 118-0,외국식,8916
64,마켓오압구정점,서울 강남구 도산대로 310-0,외국식,8881
65,나리식당청담점,서울 강남구 선릉로152길 25-0,한식,8859
66,평양면옥도곡점,서울 강남구 논현로28길 28-0,한식,8740
67,누데이크하우스도산,서울 강남구 압구정로46길 50-0,카페/찻집,8732
68,리틀넥청담,서울 강남구 도산대로51길 17-0,외국식,8692
69,리사르커피청담점,서울 강남구 도산대로99길 60-0,카페/찻집,8605
70,스타벅스강남세곡점,서울 강남구 헌릉로569길 18-0,카페/찻집,8523
71,VIPS도곡역점,서울 강남구 남부순환로 2912-0,외국식,8520
72,퀸즈파크청담점,서울 강남구 압구정로60길 22-0,외국식,8456
73,카멜커피,서울 강남구 도산대로45길 16-8,카페/찻집,8381
74,다운타우너청담,서울 강남구 도산대로53길 14-0,간이음식,8370
75,더라운드[중식],서울 강남구 선릉로148길 37-0,외국식,8260
76,명인등심압구정직영점,서울 강남구 도산대로 211-0,한식,8253
77,미엘,서울 강남구 도산대로67길 13-12,카페/찻집,8133
78,오아시스,서울 강남구 도산대로55길 20-0,외국식,8126
79,덕후선생[중식],서울 강남구 선릉로 822-0,외국식,8089
80,흑돈가삼성직영점,서울 강남구 봉은사로86길 14-0,한식,7863
81,롯데리아개포점,서울 강남구 선릉로 26-0,간이음식,7786
82,신정역삼점,서울 강남구 테헤란로8길 29-0,외국식,7784
83,강서면옥압구정점,서울 강남구 언주로164길 19-0,한식,7756
84,할매재첩국대치점,서울 강남구 삼성로 308-0,한식,7739
85,돝고기506,서울 강남구 역삼로17길 53-0,한식,7737
86,10꼬르소꼬모청담점,서울 강남구 압구정로 416-0,외국식,7736
87,대가방본점 [중식],서울 강남구 선릉로145길 13-0,외국식,7727
88,일일향압구정1호점,서울 강남구 논현로168길 30-0,외국식,7595
89,경복궁도곡점 [한식],서울 강남구 언주로 201-0,한식,7577
90,브루클린더버거조인트가로수길점,서울 강남구 도산대로15길 12-0,간이음식,7560
91,청국장과보리밥수서점,서울 강남구 광평로46길 5-5,한식,7410
92,랜디스도넛가로수길점,서울 강남구 도산대로15길 16-0,간이음식,7392
93,꽁티드툴레아도산점,서울 강남구 도산대로49길 39-0,카페/찻집,7341
94,JS가든청담점,서울 강남구 도산대로 318-0,외국식,7306
95,정식당[한식],서울 강남구 선릉로158길 11-0,한식,7299
96,평양면옥강남점,서울 강남구 논현로150길 6-0,한식,7281
97,창고43강남점,서울 강남구 강남대로 362-0,한식,7247
98,필경재[한식],서울 강남구 광평로 205-0,한식,7226
99,커피빈학동역DT점,서울 강남구 학동로 211-0,카페/찻집,7200
100,신동궁감자탕역삼본점,서울 강남구 테헤란로10길 21-0,한식,7194
