NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
10꼬르소꼬모청담점,서울 강남구 압구정로 416-0,맛집,외국식,강남구청역
JS가든청담점,서울 강남구 도산대로 318-0,맛집,외국식,강남구청역
VIPS도곡역점,서울 강남구 남부순환로 2912-0,맛집,외국식,도곡역
강강술래역삼점,서울 강남구 논현로 325-0,맛집,한식,역삼역
강강술래청담점,서울 강남구 도산대로 535-0,맛집,한식,청담역
강남면옥대치점,서울 강남구 도곡로 428-0,맛집,한식,한티역
강남면옥본점,서울 강남구 논현로152길 34-0,맛집,한식,압구정역
강서면옥압구정점,서울 강남구 언주로164길 19-0,맛집,한식,압구정역
경복궁도곡점,서울 강남구 언주로 201-0,맛집,한식,매봉역
고센클래식,서울 강남구 선릉로158길 18-0,맛집,카페/찻집,강남구청역
곰바위본점,서울 강남구 영동대로115길 10-0,맛집,외국식,봉은사역
금수복국압구정점,서울 강남구 언주로 821-0,맛집,외국식,압구정역
긴자청담점,서울 강남구 도산대로 534-0,맛집,외국식,청담역
김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,맛집,간이음식,매봉역
꽁티드툴레아도산점,서울 강남구 도산대로49길 39-0,맛집,카페/찻집,압구정역
나리식당청담점,서울 강남구 선릉로152길 25-0,맛집,한식,강남구청역
농민백암순대본점,서울 강남구 선릉로86길 40-4,맛집,한식,선릉역
누데이크하우스도산,서울 강남구 압구정로46길 50-0,맛집,카페/찻집,압구정역
능라도강남점,서울 강남구 삼성로 534-0,맛집,한식,삼성중앙역
다운타우너청담,서울 강남구 도산대로53길 14-0,맛집,간이음식,압구정역
달마시안,서울 강남구 압구정로42길 42-0,맛집,카페/찻집,압구정역
대가방본점,서울 강남구 선릉로145길 13-0,맛집,외국식,강남구청역
대도식당삼성직영점,서울 강남구 삼성로 545-0,맛집,한식,삼성역
대려도,서울 강남구 역삼로 118-0,맛집,외국식,강남역
더라운드,서울 강남구 선릉로148길 37-0,맛집,외국식,강남구청역
더라운드삼성점,서울 강남구 영동대로 648-0,맛집,외국식,청담역
덕후선생,서울 강남구 선릉로 822-0,맛집,외국식,압구정역
돝고기506,서울 강남구 역삼로17길 53-0,맛집,한식,역삼역
뜨락,서울 강남구 영동대로142길 13-3,맛집,한식,청담역
랜디스도넛가로수길점,서울 강남구 도산대로15길 16-0,맛집,간이음식,신사역
런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,맛집,간이음식,압구정역
롯데리아개포점,서울 강남구 선릉로 26-0,맛집,간이음식,선릉역
리사르커피청담점,서울 강남구 도산대로99길 60-0,맛집,카페/찻집,청담역
리틀넥청담,서울 강남구 도산대로51길 17-0,맛집,외국식,압구정역
마켓오도곡점,서울 강남구 남부순환로 2745-0,맛집,외국식,매봉역
마켓오압구정점,서울 강남구 도산대로 310-0,맛집,외국식,압구정역
만강수서점,서울 강남구 밤고개로21길 81-0,맛집,한식,수서역
명인등심압구정직영점,서울 강남구 도산대로 211-0,맛집,한식,압구정역
몽중헌대치점,서울 강남구 영동대로 325-0,맛집,외국식,삼성역
몽중헌청담점,서울 강남구 도산대로 445-0,맛집,외국식,청담역
무탄,서울 강남구 논현로176길 22-0,맛집,외국식,압구정역
미엘,서울 강남구 도산대로67길 13-12,맛집,카페/찻집,강남구청역
백마김씨네도곡본점,서울 강남구 남부순환로 2743-0,맛집,한식,매봉역
뱃고동압구정본점,서울 강남구 언주로172길 54-0,맛집,외국식,압구정역
보노보노삼성점,서울 강남구 테헤란로 508-0,맛집,외국식,삼성역
보메청담,서울 강남구 선릉로152길 40-0,맛집,외국식,강남구청역
브루클린더버거조인트가로수길점,서울 강남구 도산대로15길 12-0,맛집,간이음식,신사역
비비브라운,서울 강남구 도산대로 412-0,맛집,카페/찻집,강남구청역
삼원가든본점,서울 강남구 언주로 835-0,맛집,한식,압구정역
새벽집청담동점,서울 강남구 도산대로101길 6-0,맛집,한식,청담역
수담,서울 강남구 봉은사로 418-0,맛집,한식,선정릉역
쉐이크쉑청담점,서울 강남구 도산대로 327-0,맛집,간이음식,강남구청역
스케줄청담,서울 강남구 선릉로152길 37-0,맛집,외국식,강남구청역
신동궁감자탕역삼본점,서울 강남구 테헤란로10길 21-0,맛집,한식,역삼역
신의주찹쌀순대청담점,서울 강남구 영동대로 725-0,맛집,한식,삼성역
신정역삼점,서울 강남구 테헤란로8길 29-0,맛집,외국식,강남역
아베크청담,서울 강남구 선릉로 823-0,맛집,외국식,압구정역
아웃백스테이크하우스도곡점,서울 강남구 남부순환로 2909-0,맛집,외국식,도곡역
연타발압구정본점,서울 강남구 도산대로 231-0,맛집,외국식,압구정역
영동장어,서울 강남구 언주로148길 8-0,맛집,외국식,학동역
영양센타대치점,서울 강남구 도곡로 436-0,맛집,한식,한티역
영천영화청담점,서울 강남구 도산대로90길 3-0,맛집,한식,청담역
오스테리아꼬또압구정점,서울 강남구 언주로165길 7-12,맛집,외국식,압구정역
오아시스,서울 강남구 도산대로55길 20-0,맛집,외국식,강남구청역
오엔,서울 강남구 압구정로11길 37-30,맛집,외국식,압구정역
울프강스테이크하우스,서울 강남구 선릉로152길 21-0,맛집,외국식,강남구청역
이도곰탕본점,서울 강남구 논현로94길 29-5,맛집,한식,역삼역
이디야커피랩,서울 강남구 논현로 636-0,맛집,카페/찻집,언주역
일일향압구정1호점,서울 강남구 논현로168길 30-0,맛집,외국식,압구정역
정식당,서울 강남구 선릉로158길 11-0,맛집,한식,강남구청역
중앙해장,서울 강남구 영동대로86길 17-0,맛집,한식,압구정역
진미평양냉면,서울 강남구 학동로 305-3,맛집,한식,학동역
창고43강남점,서울 강남구 강남대로 362-0,맛집,한식,강남역
청국장과보리밥수서점,서울 강남구 광평로46길 5-5,맛집,한식,수서역
청담골,서울 강남구 선릉로148길 48-0,맛집,외국식,청담역
카멜커피,서울 강남구 도산대로45길 16-8,맛집,카페/찻집,압구정역
카페노티드삼성,서울 강남구 테헤란로103길 9-0,맛집,카페/찻집,삼성역
카페노티드청담,서울 강남구 도산대로53길 15-0,맛집,카페/찻집,압구정역
퀸즈파크청담점,서울 강남구 압구정로60길 22-0,맛집,외국식,압구정역
테라로사포스코센터점,서울 강남구 테헤란로 440-0,맛집,카페/찻집,선릉역
테라스룸서울,서울 강남구 선릉로152길 37-0,맛집,외국식,강남구청역
팀호완삼성점,서울 강남구 봉은사로86길 30-0,맛집,외국식,삼성중앙역
페어링룸,서울 강남구 도산대로81길 14-0,맛집,외국식,청담역
평양면옥강남점,서울 강남구 논현로150길 6-0,맛집,한식,학동역
평양면옥도곡점,서울 강남구 논현로28길 28-0,맛집,한식,매봉역
