NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
갓잇올림픽공원점,서울 강동구 성안로 14-0,맛집,외국식,둔촌동역
강동반상,서울 강동구 상일로6길 39-0,맛집,한식,상일동역
강동해물찜해천탕,서울 강동구 양재대로 1416-0,맛집,한식,둔촌동역
개수리막국수암사점,서울 강동구 올림픽로 759-0,맛집,한식,암사역
고모네원조콩탕황태탕,서울 강동구 풍성로57길 13-0,맛집,한식,둔촌동역
긴자올림픽점,서울 강동구 강동대로 223-0,맛집,외국식,올림픽공원역
길동우동길동본점,서울 강동구 천호대로 1135-0,맛집,외국식,강동역
길조본점,서울 강동구 천호대로 1173-0,맛집,한식,길동역
꼼떼바베큐둔촌본점,서울 강동구 동남로51길 9-0,맛집,외국식,둔촌동역
꿀꿀진순대국강동본점,서울 강동구 양재대로103길 70-0,맛집,한식,강동역
농협안심한우마을길동사거리점,서울 강동구 양재대로 1422-0,맛집,한식,둔촌동역
다람,서울 강동구 양재대로85길 29-0,맛집,한식,둔촌동역
도원한우,서울 강동구 진황도로 227-0,맛집,한식,둔촌동역
동구밖장작구이,서울 강동구 풍성로 309-0,맛집,한식,둔촌동역
동남스프링,서울 강동구 동남로49길 24-0,맛집,카페/찻집,둔촌동역
디자인카페허브,서울 강동구 천호대로200길 15-16,맛집,카페/찻집,둔촌동역
뚝다리명품기사식당,서울 강동구 천중로 175-0,맛집,한식,길동역
라라브레드길동점,서울 강동구 양재대로116길 13-0,맛집,간이음식,길동역
로니로티천호점,서울 강동구 천호대로 1027-0,맛집,외국식,천호역
마드레,서울 강동구 동남로 710-0,맛집,한식,길동역
백년화편,서울 강동구 양재대로81길 18-0,맛집,간이음식,둔촌동역
백제추어탕,서울 강동구 양재대로 1406-0,맛집,한식,둔촌동역
버섯잔치집본점,서울 강동구 성내로 52-0,맛집,한식,강동구청역
보릿골강동점,서울 강동구 동남로 708-0,맛집,한식,둔촌동역
봉래면옥,서울 강동구 명일로 200-16,맛집,한식,길동역
봉메밀,서울 강동구 천호대로203길 10-0,맛집,한식,길동역
브랜뉴하이몬드,서울 강동구 천호옛14길 11-0,맛집,간이음식,천호역
산수고원,서울 강동구 동남로 588-0,맛집,한식,둔촌동역
산장가든,서울 강동구 동남로49길 26-0,맛집,한식,둔촌동역
상무초밥길동점,서울 강동구 천호대로 1139-0,맛집,외국식,길동역
샘밭막국수올림픽공원점,서울 강동구 강동대로 241-0,맛집,한식,올림픽공원역
생어거스틴성내점,서울 강동구 강동대로 143-64,맛집,외국식,강동구청역
서초면옥천호본점,서울 강동구 올림픽로 728-0,맛집,한식,암사역
셀프하우스,서울 강동구 올림픽로 572-0,맛집,간이음식,강동구청역
송월냉면,서울 강동구 구천면로29길 26-0,맛집,한식,천호역
수라연,서울 강동구 강동대로 143-64,맛집,한식,강동구청역
숟가락반상마실강동점,서울 강동구 동남로73길 31-0,맛집,한식,고덕역
스윗솔트,서울 강동구 상암로 286-0,맛집,외국식,굽은다리역
스테이지28,서울 강동구 아리수로61길 105-0,맛집,외국식,고덕역
신흥정육식당,서울 강동구 양재대로89길 16-0,맛집,한식,둔촌동역
아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,맛집,외국식,천호역
오늘손칼국수&찜강동본점,서울 강동구 풍성로 206-0,맛집,한식,둔촌동역
오륜정,서울 강동구 성내로6길 32-0,맛집,한식,강동구청역
우드멜로우,서울 강동구 아리수로 243-0,맛집,카페/찻집,고덕역
육대쌈암사점,서울 강동구 고덕로 104-0,맛집,한식,명일역
으뜸횟집,서울 강동구 양재대로122가길 39-0,맛집,외국식,굽은다리역
이바돔감자탕강동역점,서울 강동구 천호대로 1099-0,맛집,한식,강동역
인정원월남쌈,서울 강동구 천호대로 1158-0,맛집,외국식,길동역
장안면옥명일동점,서울 강동구 상암로 297-0,맛집,한식,굽은다리역
장어집,서울 강동구 가래여울2길 33-0,맛집,외국식,강동구청역
주문진,서울 강동구 성안로3길 27-0,맛집,외국식,강동구청역
주양두리돈까스,서울 강동구 고덕로 89-0,맛집,외국식,명일역
짬뽕지존길동점,서울 강동구 양재대로 1450-0,맛집,외국식,길동역
차이나린찐,서울 강동구 강동대로 217-0,맛집,외국식,올림픽공원역
착한낙지서울둔촌점,서울 강동구 동남로 592-0,맛집,외국식,둔촌동역
채선당올림픽공원점,서울 강동구 강동대로 143-22,맛집,외국식,강동구청역
청진생등심,서울 강동구 올림픽로 803-0,맛집,한식,암사역
청해진,서울 강동구 강동대로 187-0,맛집,외국식,동대문역
최냉면본점,서울 강동구 천호옛8길 34-0,맛집,한식,강동구청역
커피몽타주,서울 강동구 올림픽로48길 23-12,맛집,카페/찻집,강동구청역
쿠우쿠우천호점,서울 강동구 천호대로157길 18-0,맛집,외국식,천호역
크리스피크림도넛길동역점,서울 강동구 양재대로 1473-0,맛집,간이음식,길동역
테라로사길동점,서울 강동구 천호대로 1221-0,맛집,카페/찻집,길동역
폴바셋상일동점,서울 강동구 상일로6길 21-0,맛집,카페/찻집,강일역
푸주옥,서울 강동구 강동대로 209-0,맛집,한식,교대역
풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,맛집,한식,노원역
한촌설렁탕강동점,서울 강동구 진황도로 110-0,맛집,한식,길동역
할머니추어탕,서울 강동구 구천면로 516-0,맛집,한식,부평삼거리역
함경면옥,서울 강동구 강동대로 215-0,맛집,기타음식,올림픽공원역
함흥본가면옥강동점,서울 강동구 양재대로 1428-0,맛집,한식,길동역
화진포막국수,서울 강동구 성내로10길 12-0,맛집,한식,강동구청역
황도바지락칼국수,서울 강동구 천호대로 1256-0,맛집,한식,석촌역
