순위,업소명,주소,분류,합산 검색 수
1,카페산아래,서울 강북구 삼양로181길 56-0,카페/찻집,19443
2,맥도날드미아DT점,서울 강북구 삼양로 158-0,간이음식,13973
3,맥도날드서울번동DT점,서울 강북구 월계로 191-0,간이음식,11211
4,대보명가서울본점 [한식],서울 강북구 4.19로 69-0,한식,10062
5,엘림들깨수제비본점,서울 강북구 삼각산로 67-0,한식,7321
6,미림산장[한식],서울 강북구 삼양로181길 253-0,한식,6447
7,한옥카페선운각,서울 강북구,카페/찻집,6071
8,우이산장키토산오리집,서울 강북구 삼양로181길 141-5,외국식,5976
9,릴렉스,서울 강북구 삼양로181길 142-0,카페/찻집,5941
10,쿠우쿠우강북구청점,서울 강북구 도봉로 308-0,외국식,5450
11,하이그라운드제빵소,서울 강북구 삼양로181길 157-0,카페/찻집,4570
12,문가네정육식당수유본점,서울 강북구 한천로 1077-0,한식,4407
13,수유손칼국수,서울 강북구 도봉로101길 45-0,한식,4148
14,애슐리퀸즈미아사거리역점,서울 강북구 도봉로 52-0,외국식,4055
15,다래함박스텍,서울 강북구 수유로 20-2,외국식,3925
16,한일산장,서울 강북구 삼양로181길 239-0,한식,3812
17,미즐카페엠,서울 강북구 4.19로 107-0,카페/찻집,3573
18,장수마늘보쌈,서울 강북구 덕릉로 192-0,외국식,3519
19,맥도날드수유점,서울 강북구 도봉로 342-0,간이음식,3434
20,우이동카페거리,서울 강북구,기타음식,3374
21,이설함흥냉면,서울 강북구 4.19로 42-0,한식,3294
22,스타벅스파라스파라서울점,서울 강북구 삼양로 689-0,카페/찻집,3279
23,서당골,서울 강북구 한천로 1153-0,한식,2984
24,스타벅스미아뉴타운점,서울 강북구 삼양로 161-0,카페/찻집,2964
25,숲속에바다,서울 강북구 삼양로181길 194-19,한식,2896
26,착한낙지수유점,서울 강북구 4.19로 82-0,외국식,2860
27,소담촌미아사거리점,서울 강북구 월계로 3-0,한식,2857
28,왕가,서울 강북구 삼양로 681-0,한식,2787
29,소담촌수유점,서울 강북구 도봉로 388-0,외국식,2670
30,왕의장어,서울 강북구 삼양로181길 141-5,외국식,2635
31,아웃백스테이크하우스미아점,서울 강북구 도봉로 62-0,외국식,2572
32,갈비예찬미아점,서울 강북구 도봉로 156-0,한식,2551
33,시골길본점,서울 강북구 삼양로179길 172-0,한식,2505
34,엄마손기사식당,서울 강북구 한천로 1138-0,한식,2504
35,투썸플레이스북한산우이역점,서울 강북구 삼양로 685-0,카페/찻집,2424
36,탐앤탐스덕성여대점,서울 강북구 삼양로 547-0,카페/찻집,2349
37,버거킹미아역점,서울 강북구 도봉로 188-0,간이음식,2320
37,풍천장어마을,서울 강북구 삼양로181길 45-0,외국식,2320
39,메이린[중식],서울 강북구 월계로 173-0,외국식,2255
40,스타벅스미아역점,서울 강북구 도봉로 196-0,카페/찻집,2234
41,벼랑순대국,서울 강북구 한천로 924-0,한식,2228
42,진호횟집,서울 강북구 도봉로98길 33-0,외국식,2200
43,시래기화덕생선구이,서울 강북구 4.19로 61-1,한식,2198
44,맥도날드미아역점,서울 강북구 도봉로 204-0,간이음식,2166
45,투썸플레이스미아테라스파크점,서울 강북구 삼양로27길 43-0,카페/찻집,2131
46,산성골,서울 강북구 덕릉로 126-0,한식,2094
47,백란[한식],서울 강북구 삼양로181길 201-20,한식,2065
48,고메스퀘어수유점,서울 강북구 도봉로 308-0,전문음식,2061
49,옥류헌[한식],서울 강북구 삼양로181길 142-0,한식,2041
50,명인갈비미아직영점,서울 강북구 솔샘로 327-0,한식,2024
50,몽브루,서울 강북구 4.19로 105-0,카페/찻집,2024
52,골방집,서울 강북구 한천로 926-0,한식,2019
53,와겐커피,서울 강북구 솔매로 131-0,카페/찻집,1853
54,버거킹수유역점,서울 강북구 도봉로 314-0,간이음식,1847
55,카페어니언미아점,서울 강북구 솔매로50길 55-0,카페/찻집,1818
