NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
갈비예찬미아점,서울 강북구 도봉로 156-0,맛집,한식,미아역
고메스퀘어수유점,서울 강북구 도봉로 308-0,맛집,전문음식,수유역
능이마을,서울 강북구 솔샘로 330-0,맛집,외국식,미아사거리역
다래함박스텍,서울 강북구 수유로 20-2,맛집,외국식,수유역
마루국시미아직영점,서울 강북구 도봉로 242-0,맛집,한식,미아역
메이린,서울 강북구 월계로 173-0,맛집,외국식,미아사거리역
명인갈비미아직영점,서울 강북구 솔샘로 327-0,맛집,한식,미아사거리역
문가네정육식당수유본점,서울 강북구 한천로 1077-0,맛집,한식,수유역
벼랑순대국,서울 강북구 한천로 924-0,맛집,한식,수유역
산성골,서울 강북구 덕릉로 126-0,맛집,한식,수유역
섬진강민물장어,서울 강북구 한천로 1151-0,맛집,외국식,수유역
소담촌미아사거리점,서울 강북구 월계로 3-0,맛집,한식,미아사거리역
소담촌수유점,서울 강북구 도봉로 388-0,맛집,외국식,수유역
송담추어탕미아점,서울 강북구 도봉로 30-0,맛집,한식,미아사거리역
수유리먹자골목,서울 강북구,맛집,기타음식,수유역
수유리우동집본점,서울 강북구 덕릉로 98-0,맛집,외국식,수유역
수유리조트,서울 강북구 노해로8가길 45-0,맛집,카페/찻집,수유역
수유손칼국수,서울 강북구 도봉로101길 45-0,맛집,한식,수유역
쉐이크쉑수유점,서울 강북구 도봉로 315-0,맛집,간이음식,수유역
스시노칸도수유점,서울 강북구 한천로139나길 1-0,맛집,외국식,수유역
아웃백스테이크하우스미아점,서울 강북구 도봉로 62-0,맛집,외국식,미아사거리역
애슐리퀸즈미아사거리역점,서울 강북구 도봉로 52-0,맛집,외국식,미아사거리역
엔제리너스수유역점,서울 강북구 도봉로 333-0,맛집,카페/찻집,수유역
엘림들깨수제비본점,서울 강북구 삼각산로 67-0,맛집,한식,수유역
옛가,서울 강북구 노해로 91-14,맛집,한식,수유역
와겐커피,서울 강북구 솔매로 131-0,맛집,카페/찻집,종로3가역
장수마늘보쌈,서울 강북구 덕릉로 192-0,맛집,외국식,수유역
제프리카벤디쉬런던수유프리미어엠점,서울 강북구 덕릉로 76-0,맛집,카페/찻집,수유역
조마루감자탕미아점,서울 강북구 솔샘로 332-0,맛집,한식,미아사거리역
지우정,서울 강북구 삼각산로 130-0,맛집,한식,가오리역
진호횟집,서울 강북구 도봉로98길 33-0,맛집,외국식,수유역
카페어니언미아점,서울 강북구 솔매로50길 55-0,맛집,카페/찻집,미아역
풍천장어마을,서울 강북구 삼양로181길 45-0,맛집,외국식,미아사거리역
