,NAME,ADDRESS,CATE,SUBCATE,STATION,LAT,LON,STATION_NAME
0,갈비예찬미아점,서울 강북구 도봉로 156-0,맛집,한식,미아역,37.62285092,127.0278576,미아
1,고메스퀘어수유점,서울 강북구 도봉로 308-0,맛집,전문음식,수유역,37.63566409,127.0238352,수유
2,능이마을,서울 강북구 솔샘로 330-0,맛집,외국식,미아사거리역,37.61698513,127.0285939,미아사거리
3,다래함박스텍,서울 강북구 수유로 20-2,맛집,외국식,수유역,37.63276839,127.0190317,수유
4,마루국시미아직영점,서울 강북구 도봉로 242-0,맛집,한식,미아역,37.63058484,127.0248864,미아
5,메이린,서울 강북구 월계로 173-0,맛집,외국식,미아사거리역,37.62025446,127.0443247,미아사거리
6,명인갈비미아직영점,서울 강북구 솔샘로 327-0,맛집,한식,미아사거리역,37.61743935,127.0284555,미아사거리
7,문가네정육식당수유본점,서울 강북구 한천로 1077-0,맛집,한식,수유역,37.64231358,127.0232052,수유
8,벼랑순대국,서울 강북구 한천로 924-0,맛집,한식,수유역,37.63430392,127.0372513,수유
9,산성골,서울 강북구 덕릉로 126-0,맛집,한식,수유역,37.63475903,127.027676,수유
10,섬진강민물장어,서울 강북구 한천로 1151-0,맛집,외국식,수유역,37.64661177,127.0170991,수유
11,소담촌미아사거리점,서울 강북구 월계로 3-0,맛집,한식,미아사거리역,37.60958992,127.0306828,미아사거리
12,소담촌수유점,서울 강북구 도봉로 388-0,맛집,외국식,수유역,37.64135638,127.0296291,수유
13,송담추어탕미아점,서울 강북구 도봉로 30-0,맛집,한식,미아사거리역,37.61162984,127.0307276,미아사거리
14,수유리먹자골목,서울 강북구,맛집,기타음식,수유역,37.63975133,127.0255381,수유
15,수유리우동집본점,서울 강북구 덕릉로 98-0,맛집,외국식,수유역,37.63460015,127.0245882,수유
16,수유리조트,서울 강북구 노해로8가길 45-0,맛집,카페/찻집,수유역,37.64009497,127.0233137,수유
17,수유손칼국수,서울 강북구 도봉로101길 45-0,맛집,한식,수유역,37.64396765,127.028361,수유
18,쉐이크쉑수유점,서울 강북구 도봉로 315-0,맛집,간이음식,수유역,37.63693054,127.0232816,수유
19,스시노칸도수유점,서울 강북구 한천로139나길 1-0,맛집,외국식,수유역,37.63904042,127.0252787,수유
20,아웃백스테이크하우스미아점,서울 강북구 도봉로 62-0,맛집,외국식,미아사거리역,37.61459298,127.0305177,미아사거리
21,애슐리퀸즈미아사거리역점,서울 강북구 도봉로 52-0,맛집,외국식,미아사거리역,37.61369937,127.0305285,미아사거리
22,엔제리너스수유역점,서울 강북구 도봉로 333-0,맛집,카페/찻집,수유역,37.63786991,127.0250518,수유
23,엘림들깨수제비본점,서울 강북구 삼각산로 67-0,맛집,한식,수유역,37.63999614,127.0117752,수유
24,옛가,서울 강북구 노해로 91-14,맛집,한식,수유역,37.6439573,127.0219732,수유
25,와겐커피,서울 강북구 솔매로 131-0,맛집,카페/찻집,종로3가역,37.62650685,127.0266844,종로3가
26,장수마늘보쌈,서울 강북구 덕릉로 192-0,맛집,외국식,수유역,37.63575931,127.0350964,수유
27,제프리카벤디쉬런던수유프리미어엠점,서울 강북구 덕릉로 76-0,맛집,카페/찻집,수유역,37.63434592,127.0221609,수유
28,조마루감자탕미아점,서울 강북구 솔샘로 332-0,맛집,한식,미아사거리역,37.61700448,127.0290427,미아사거리
29,지우정,서울 강북구 삼각산로 130-0,맛집,한식,가오리역,37.64082731,127.0186592,가오리
30,진호횟집,서울 강북구 도봉로98길 33-0,맛집,외국식,수유역,37.64130129,127.0315024,수유
31,카페어니언미아점,서울 강북구 솔매로50길 55-0,맛집,카페/찻집,미아역,37.62402918,127.0284335,미아
32,풍천장어마을,서울 강북구 삼양로181길 45-0,맛집,외국식,미아사거리역,37.66593044,127.0102855,미아사거리
