,NAME,ADDRESS,CATE,SUBCATE,STATION,LAT,LON,STATION_NAME
0,LAB1004,서울 금천구 벚꽃로 104-0,맛집,카페/찻집,독산역,37.46456408,126.8910696,독산
1,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128-0,맛집,한식,가산디지털단지역,37.47723652,126.8836952,가산디지털단지
2,강강술래시흥점,서울 금천구 시흥대로 193-0,맛집,한식,금천구청역,37.45099327,126.9012779,금천구청
3,개성손만두요리전문점가산디지털점,서울 금천구 가산로9길 22-0,맛집,한식,가산디지털단지역,37.47684165,126.8905299,가산디지털단지
4,궁전산들애밥상,서울 금천구 독산로 178-1,맛집,한식,독산역,37.46324816,126.9039601,독산
5,김명태매운갈비찜가산점,서울 금천구 가산로 132-1,맛집,한식,가산디지털단지역,37.47734912,126.8919219,가산디지털단지
6,김밥전문공간얌얌,서울 금천구 금하로 675-0,맛집,간이음식,독산역,37.45279752,126.9054298,독산
7,논빼미돼지볶음,서울 금천구 시흥대로 185-0,맛집,한식,독산역,37.45035977,126.9018324,독산
8,더카페이네스트점,서울 금천구 범안로 1155-0,맛집,카페/찻집,독산역,37.46681871,126.8900295,독산
9,도넛 인사이드 도넛,서울 금천구 시흥대로141길 81-0,맛집,간이음식,가산디지털단지역,37.47650429,126.8976418,가산디지털단지
10,도원,서울 금천구 범안로 1130-0,맛집,외국식,독산역,37.46552156,126.8876722,독산
11,독산동먹자골목,서울 금천구,맛집,기타음식,독산역,37.45684115,126.8954568,독산
12,동남집,서울 금천구 가산디지털1로 149-0,맛집,한식,가산디지털단지역,37.47874164,126.8818627,가산디지털단지
13,동흥관,서울 금천구 시흥대로63길 20-0,맛집,외국식,금천구청역,37.45522396,126.8985984,금천구청
14,두껍삼가산직영점,서울 금천구 벚꽃로38길 43-0,맛집,한식,가산디지털단지역,37.48301816,126.884759,가산디지털단지
15,떡볶이랑걸레만두랑,서울 금천구 시흥대로58길 13-0,맛집,간이음식,금천구청역,37.45383936,126.9022223,금천구청
16,로운샤브샤브금천점,서울 금천구 시흥대로 291-0,맛집,외국식,금천구청역,37.45995605,126.8966992,금천구청
17,마벨리에시흥점,서울 금천구 시흥대로 201-0,맛집,전문음식,금천구청역,37.45190478,126.9007948,금천구청
18,만두라,서울 금천구 시흥대로 97-0,맛집,한식,석수역,37.44468212,126.9010724,석수
19,망향비빔국수금천직영점,서울 금천구 가산디지털1로 186-0,맛집,한식,가산디지털단지역,37.48191309,126.8815811,가산디지털단지
20,명륜진사갈비독산점,서울 금천구 시흥대로 447-0,맛집,한식,독산역,37.47356478,126.8978903,독산
21,명륜진사갈비석수역점,서울 금천구 시흥대로 10-0,맛집,한식,석수역,37.43498672,126.9034307,석수
22,명륜진사갈비시흥사거리점,서울 금천구 시흥대로 266-0,맛집,한식,금천구청역,37.45752185,126.8999192,금천구청
23,미분당가산점,서울 금천구 디지털로10길 69-0,맛집,외국식,가산디지털단지역,37.47530023,126.8908539,가산디지털단지
24,본가집가마솥설렁탕금천구청본점,서울 금천구 시흥대로 269-0,맛집,한식,금천구청역,37.45765662,126.8989418,금천구청
25,부뚜막청국장,서울 금천구 독산로 242-0,맛집,한식,독산역,37.46837833,126.9024057,독산
26,북창동순두부독산점,서울 금천구 시흥대로123길 14-0,맛집,한식,독산역,37.47049161,126.8972654,독산
