업소명,주소,대분류,분류
강강술래신림점,서울 관악구 남부순환로 1660-0,맛집,한식
강릉형제장칼국수,서울 관악구 대학5길 10-7,맛집,한식
고베그릴,서울 관악구 남부순환로 2082-25,맛집,한식
고창복의낙지세상봉천점,서울 관악구 남부순환로 1725-0,맛집,외국식
구수옥설렁탕,서울 관악구 남부순환로 1674-0,맛집,한식
기절초풍왕순대,서울 관악구 봉천로62길 2-0,맛집,한식
김영자나주곰탕신림본점,서울 관악구 신림로28길 38-0,맛집,한식
낙성기사식당,서울 관악구 봉천로 550-0,맛집,한식
녹두거리,서울 관악구,맛집,기타음식
논밭골봉천점,서울 관악구 청룡길 30-0,맛집,한식
담양에초대사당역점,서울 관악구 남현1길 38-10,맛집,한식
담양죽순추어탕,서울 관악구 남부순환로 2082-37,맛집,한식
대원갈비,서울 관악구 신림로67길 5-0,맛집,한식
디자이너리카페,서울 관악구 관천로 71-1,맛집,카페/찻집
락구정,서울 관악구 관악로 1-0,맛집,한식
려,서울 관악구 봉천로 456-0,맛집,외국식
만양순대국,서울 관악구 은천로 132-0,맛집,한식
명륜진사갈비서울봉천점,서울 관악구 양녕로 29-0,맛집,한식
모힝낙성대점,서울 관악구 봉천로62길 7-0,맛집,외국식
물찬조개,서울 관악구 조원로 43-0,맛집,한식
미가할매집,서울 관악구 신림로 374-0,맛집,한식
미림분식,서울 관악구 호암로 553-0,맛집,간이음식
미추원주추어탕서울본점,서울 관악구 관악로 108-0,맛집,한식
박막례청진동해장국,서울 관악구 관악로 105-0,맛집,한식
봉천동진순자김밥,서울 관악구 청룡1길 19-0,맛집,간이음식
부림식당[한식],서울 관악구 청룡1길 7-0,맛집,한식
산촌신쭈꾸미서울대점,서울 관악구 신림로 211-0,맛집,외국식
상무초밥구로디지털점,서울 관악구 시흥대로 568-0,맛집,외국식
샤로수길,서울 관악구,맛집,기타음식
서울갈비신림점,서울 관악구 남부순환로 1645-0,맛집,한식
서울집,서울 관악구 신림동길 6-0,맛집,한식
쉐이크쉑신림점,서울 관악구 신림로 330-0,맛집,간이음식
시골집,서울 관악구 낙성대로 22-7,맛집,한식
신림동또순이원조순대본점,서울 관악구 신림로59길 14-0,맛집,한식
신림동순대타운,서울 관악구,맛집,기타음식
신림정,서울 관악구 봉천로 248-0,맛집,한식
신선설농탕서울대역점,서울 관악구 관악로 163-0,맛집,한식
아리차이신림점 [중식],서울 관악구 신림동길 4-0,맛집,외국식
아웃백스테이크하우스서울대점,서울 관악구 남부순환로 1840-0,맛집,외국식
애슐리퀸즈서울대입구점,서울 관악구 남부순환로 1820-0,맛집,외국식
양평해장국,서울 관악구 봉천로 229-0,맛집,한식
엔제리너스구로디지털역점,서울 관악구 시흥대로 572-0,맛집,카페/찻집
옛날농장신림점,서울 관악구 봉천로 262-0,맛집,한식
오발탄사당점,서울 관악구 남부순환로 2074-0,맛집,외국식
오월의김밥,서울 관악구 봉천로 605-0,맛집,간이음식
온정돈까스본점,서울 관악구 조원로 60-0,맛집,외국식
완산정,서울 관악구 봉천로 484-0,맛집,한식
외래향,서울 관악구 남부순환로 1801-0,맛집,외국식
우디가스트로,서울 관악구 관악로 116-0,맛집,외국식
우리설렁탕,서울 관악구 신림로 190-0,맛집,한식
월화고기보라매점,서울 관악구 보라매로3길 16-0,맛집,한식
유천냉면봉천점,서울 관악구 쑥고개로 104-0,맛집,한식
은행골본점,서울 관악구 조원로 10-1,맛집,외국식
이라운지서울대점,서울 관악구 관악로 1-0,맛집,외국식
쟝블랑제리,서울 관악구 낙성대역길 8-0,맛집,간이음식
정가한정식,서울 관악구 남부순환로 1710-0,맛집,한식
정담은보쌈신림점,서울 관악구 남부순환로 1661-0,맛집,전문음식
정원쌈밥보리밥,서울 관악구 신림로18가길 23-0,맛집,한식
조마루감자탕구로1호점,서울 관악구 조원로 8-0,맛집,한식
차이나당,서울 관악구 낙성대로 16-0,맛집,외국식
천미미,서울 관악구 시흥대로 552-0,맛집,외국식
청기와타운서울대점,서울 관악구 남부순환로 1838-0,맛집,한식
청보리한우화로구이,서울 관악구 남부순환로 1453-0,맛집,한식
카페보니또사당점,서울 관악구 남부순환로 2032-0,맛집,카페/찻집
카페인중독신림본점,서울 관악구 봉천로6길 40-0,맛집,카페/찻집
킷사서울,서울 관악구 남부순환로226길 31-0,맛집,외국식
팔공,서울 관악구 남부순환로 1680-0,맛집,외국식
푸드웰,서울 관악구 호암로22길 25-0,맛집,한식
풍천민물장어삼억집,서울 관악구 남부순환로 1875-0,맛집,외국식
하남돼지집서울대입구역점,서울 관악구 관악로17길 3-0,맛집,한식
하이보,서울 관악구 관악로 134-0,맛집,외국식
한근한방삼계탕,서울 관악구 봉천로 396-0,맛집,한식
한우정육마당구로점,서울 관악구 시흥대로164길 3-0,맛집,한식
혼자두면장판뜯어서차린개카페,서울 관악구 남부순환로 1665-0,맛집,카페/찻집
황제갈비,서울 관악구 남부순환로 1644-0,맛집,한식
