NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
강강술래신림점,서울 관악구 남부순환로 1660-0,맛집,한식,신림역
강릉형제장칼국수,서울 관악구 대학5길 10-7,맛집,한식,봉천역
고베그릴,서울 관악구 남부순환로 2082-25,맛집,한식,사당역
고창복의낙지세상봉천점,서울 관악구 남부순환로 1725-0,맛집,외국식,봉천역
구수옥설렁탕,서울 관악구 남부순환로 1674-0,맛집,한식,봉천역
기절초풍왕순대,서울 관악구 봉천로62길 2-0,맛집,한식,낙성대역
김영자나주곰탕신림본점,서울 관악구 신림로28길 38-0,맛집,한식,봉천역
낙성기사식당,서울 관악구 봉천로 550-0,맛집,한식,낙성대역
논밭골봉천점,서울 관악구 청룡길 30-0,맛집,한식,봉천역
담양에초대사당역점,서울 관악구 남현1길 38-10,맛집,한식,사당역
담양죽순추어탕,서울 관악구 남부순환로 2082-37,맛집,한식,사당역
대원갈비,서울 관악구 신림로67길 5-0,맛집,한식,신림역
디자이너리카페,서울 관악구 관천로 71-1,맛집,카페/찻집,신림역
락구정,서울 관악구 관악로 1-0,맛집,한식,낙성대역
려,서울 관악구 봉천로 456-0,맛집,외국식,서울대입구역
만양순대국,서울 관악구 은천로 132-0,맛집,한식,서울대입구역
명륜진사갈비서울봉천점,서울 관악구 양녕로 29-0,맛집,한식,봉천역
모힝낙성대점,서울 관악구 봉천로62길 7-0,맛집,외국식,낙성대역
물찬조개,서울 관악구 조원로 43-0,맛집,한식,구로디지털단지역
미가할매집,서울 관악구 신림로 374-0,맛집,한식,신림역
미추원주추어탕서울본점,서울 관악구 관악로 108-0,맛집,한식,서울대입구역
박막례청진동해장국,서울 관악구 관악로 105-0,맛집,한식,서울대입구역
봉천동진순자김밥,서울 관악구 청룡1길 19-0,맛집,간이음식,고잔역
부림식당[한식],서울 관악구 청룡1길 7-0,맛집,한식,봉천역
산촌신쭈꾸미서울대점,서울 관악구 신림로 211-0,맛집,외국식,서원역
상무초밥구로디지털점,서울 관악구 시흥대로 568-0,맛집,외국식,구로디지털단지역
샤로수길,서울 관악구,맛집,기타음식,서울대입구역
서울갈비신림점,서울 관악구 남부순환로 1645-0,맛집,한식,신림역
서울집,서울 관악구 신림동길 6-0,맛집,한식,당곡역
쉐이크쉑신림점,서울 관악구 신림로 330-0,맛집,간이음식,신림역
시골집,서울 관악구 낙성대로 22-7,맛집,한식,낙성대역
신림동또순이원조순대본점,서울 관악구 신림로59길 14-0,맛집,한식,신림역
신림동순대타운,서울 관악구,맛집,기타음식,신림역
신림정,서울 관악구 봉천로 248-0,맛집,한식,신림역
신선설농탕서울대역점,서울 관악구 관악로 163-0,맛집,한식,서울대입구역
아리차이신림점,서울 관악구 신림동길 4-0,맛집,외국식,신림역
아웃백스테이크하우스서울대점,서울 관악구 남부순환로 1840-0,맛집,외국식,신림역
애슐리퀸즈서울대입구점,서울 관악구 남부순환로 1820-0,맛집,외국식,서울대입구역
양평해장국,서울 관악구 봉천로 229-0,맛집,한식,양평역
엔제리너스구로디지털역점,서울 관악구 시흥대로 572-0,맛집,카페/찻집,구로디지털단지역
