,NAME,ADDRESS,CATE,SUBCATE,STATION,LAT,LON,STATION_NAME
0,강강술래신림점,서울 관악구 남부순환로 1660-0,맛집,한식,신림역,37.484572,126.9350331,신림
1,강릉형제장칼국수,서울 관악구 대학5길 10-7,맛집,한식,봉천역,37.46901048,126.9383964,봉천
2,고베그릴,서울 관악구 남부순환로 2082-25,맛집,한식,사당역,37.47605668,126.9810128,사당
3,고창복의낙지세상봉천점,서울 관악구 남부순환로 1725-0,맛집,외국식,봉천역,37.48268453,126.9418913,봉천
4,구수옥설렁탕,서울 관악구 남부순환로 1674-0,맛집,한식,봉천역,37.484358,126.9365012,봉천
5,기절초풍왕순대,서울 관악구 봉천로62길 2-0,맛집,한식,낙성대역,37.47811024,126.9584195,낙성대
6,김영자나주곰탕신림본점,서울 관악구 신림로28길 38-0,맛집,한식,봉천역,37.47226877,126.935285,봉천
7,낙성기사식당,서울 관악구 봉천로 550-0,맛집,한식,낙성대역,37.47809738,126.9587533,낙성대
8,논밭골봉천점,서울 관악구 청룡길 30-0,맛집,한식,봉천역,37.48048258,126.9459309,봉천
9,담양에초대사당역점,서울 관악구 남현1길 38-10,맛집,한식,사당역,37.47537657,126.9792451,사당
10,담양죽순추어탕,서울 관악구 남부순환로 2082-37,맛집,한식,사당역,37.47616809,126.980172,사당
11,대원갈비,서울 관악구 신림로67길 5-0,맛집,한식,신림역,37.48607741,126.9289463,신림
12,디자이너리카페,서울 관악구 관천로 71-1,맛집,카페/찻집,신림역,37.48506213,126.9241148,신림
13,락구정,서울 관악구 관악로 1-0,맛집,한식,낙성대역,37.46803806,126.9592943,낙성대
14,려,서울 관악구 봉천로 456-0,맛집,외국식,서울대입구역,37.48210541,126.9504877,서울대입구
15,만양순대국,서울 관악구 은천로 132-0,맛집,한식,서울대입구역,37.48638659,126.9499407,서울대입구
16,명륜진사갈비서울봉천점,서울 관악구 양녕로 29-0,맛집,한식,봉천역,37.48466735,126.9463951,봉천
17,모힝낙성대점,서울 관악구 봉천로62길 7-0,맛집,외국식,낙성대역,37.47763821,126.9589622,낙성대
18,물찬조개,서울 관악구 조원로 43-0,맛집,한식,구로디지털단지역,37.48378725,126.9073753,구로디지털단지
19,미가할매집,서울 관악구 신림로 374-0,맛집,한식,신림역,37.48770782,126.9290087,신림
20,미추원주추어탕서울본점,서울 관악구 관악로 108-0,맛집,한식,서울대입구역,37.4748286,126.9531674,서울대입구
21,박막례청진동해장국,서울 관악구 관악로 105-0,맛집,한식,서울대입구역,37.47462961,126.9525993,서울대입구
22,봉천동진순자김밥,서울 관악구 청룡1길 19-0,맛집,간이음식,고잔역,37.48123913,126.9474611,고잔
23,부림식당[한식],서울 관악구 청룡1길 7-0,맛집,한식,봉천역,37.48132452,126.9466072,봉천
24,산촌신쭈꾸미서울대점,서울 관악구 신림로 211-0,맛집,외국식,서원역,37.47649247,126.9365239,서원
25,상무초밥구로디지털점,서울 관악구 시흥대로 568-0,맛집,외국식,구로디지털단지역,37.48337578,126.9023739,구로디지털단지
26,샤로수길,서울 관악구,맛집,기타음식,서울대입구역,37.47836838,126.9515619,서울대입구
27,서울갈비신림점,서울 관악구 남부순환로 1645-0,맛집,한식,신림역,37.48498494,126.9335883,신림
28,서울집,서울 관악구 신림동길 6-0,맛집,한식,당곡역,37.48757437,126.9280844,당곡
29,쉐이크쉑신림점,서울 관악구 신림로 330-0,맛집,간이음식,신림역,37.48385134,126.9302345,신림
30,시골집,서울 관악구 낙성대로 22-7,맛집,한식,낙성대역,37.47686434,126.9584681,낙성대
31,신림동또순이원조순대본점,서울 관악구 신림로59길 14-0,맛집,한식,신림역,37.48328986,126.9287761,신림
32,신림동순대타운,서울 관악구,맛집,기타음식,신림역,37.47836838,126.9515619,신림
33,신림정,서울 관악구 봉천로 248-0,맛집,한식,신림역,37.48865063,126.9288514,신림
34,신선설농탕서울대역점,서울 관악구 관악로 163-0,맛집,한식,서울대입구역,37.47987533,126.9520448,서울대입구
35,아리차이신림점,서울 관악구 신림동길 4-0,맛집,외국식,신림역,37.48763485,126.928272,신림
36,아웃백스테이크하우스서울대점,서울 관악구 남부순환로 1840-0,맛집,외국식,신림역,37.48036232,126.9542973,신림
37,애슐리퀸즈서울대입구점,서울 관악구 남부순환로 1820-0,맛집,외국식,서울대입구역,37.480948,126.9520838,서울대입구
38,양평해장국,서울 관악구 봉천로 229-0,맛집,한식,양평역,37.48984942,126.9273656,양평
39,엔제리너스구로디지털역점,서울 관악구 시흥대로 572-0,맛집,카페/찻집,구로디지털단지역,37.48388927,126.9028163,구로디지털단지
40,옛날농장신림점,서울 관악구 봉천로 262-0,맛집,한식,신림역,37.48807332,126.9301525,신림
41,오발탄사당점,서울 관악구 남부순환로 2074-0,맛집,외국식,사당역,37.47613564,126.9790706,사당
42,오월의김밥,서울 관악구 봉천로 605-0,맛집,간이음식,낙성대역,37.4760912,126.9646038,낙성대
43,온정돈까스본점,서울 관악구 조원로 60-0,맛집,외국식,신대방역,37.48354675,126.9090973,신대방
44,완산정,서울 관악구 봉천로 484-0,맛집,한식,서울대입구역,37.48167509,126.9536044,서울대입구
45,외래향,서울 관악구 남부순환로 1801-0,맛집,외국식,서울대입구역,37.48182209,126.9503819,서울대입구
46,우디가스트로,서울 관악구 관악로 116-0,맛집,외국식,서울대입구역,37.4756046,126.9530835,서울대입구
47,우리설렁탕,서울 관악구 신림로 190-0,맛집,한식,봉천역,37.47442743,126.9364918,봉천
48,월화고기보라매점,서울 관악구 보라매로3길 16-0,맛집,한식,신림역,37.49162834,126.926303,신림
49,유천냉면봉천점,서울 관악구 쑥고개로 104-0,맛집,한식,서울대입구역,37.47881762,126.9481644,서울대입구
50,은행골본점,서울 관악구 조원로 10-1,맛집,외국식,구로디지털단지역,37.48329684,126.9034492,구로디지털단지
51,이라운지서울대점,서울 관악구 관악로 1-0,맛집,외국식,낙성대역,37.46803806,126.9592943,낙성대
52,쟝블랑제리,서울 관악구 낙성대역길 8-0,맛집,간이음식,낙성대역,37.47720007,126.9619847,낙성대
53,정가한정식,서울 관악구 남부순환로 1710-0,맛집,한식,봉천역,37.48275064,126.9398511,봉천
54,정담은보쌈신림점,서울 관악구 남부순환로 1661-0,맛집,전문음식,신림역,37.48521975,126.9353937,신림
55,정원쌈밥보리밥,서울 관악구 신림로18가길 23-0,맛집,한식,봉천역,37.4719593,126.9350122,봉천
56,조마루감자탕구로1호점,서울 관악구 조원로 8-0,맛집,한식,구로디지털단지역,37.48336019,126.903026,구로디지털단지
57,차이나당,서울 관악구 낙성대로 16-0,맛집,외국식,낙성대역,37.47714566,126.9588113,낙성대
