,NAME,ADDRESS,CATE,SUBCATE,STATIO,LAT,LON,STATION_NAME
0,37.5광진점,서울 광진구 아차산로76가길 5-0,맛집,외국식,광나루역,37.54720014,127.1076063,광나루
1,VIPS어린이대공원점,서울 광진구 광나루로 410-0,맛집,전문음식,어린이대공원역,37.54656228,127.075048,어린이대공원
2,감성타코건대점,서울 광진구 능동로13길 39-0,맛집,외국식,건대입구역,37.54395902,127.0697577,건대입구
3,건대양꼬치거리,서울 광진구,맛집,기타음식,건대입구역,37.53855831,127.0823852,건대입구
4,건대우동집,서울 광진구 아차산로 201-0,맛집,외국식,건대입구역,37.54175219,127.06602,건대입구
5,경복궁불고기건대점,서울 광진구 능동로 92-0,맛집,한식,건대입구역,37.53899977,127.0712144,건대입구
6,고고기,서울 광진구 아차산로 471-0,맛집,한식,강변역,37.54041878,127.0939741,강변
7,귀품찬숯불갈비건대직영점,서울 광진구 아차산로 192-0,맛집,한식,건대입구역,37.54155681,127.064967,건대입구
8,남한강민물매운탕,서울 광진구 동일로 150-0,맛집,한식,건대입구역,37.54562611,127.0662103,건대입구
9,대가식당,서울 광진구 광나루로 596-0,맛집,한식,강변역,37.54203162,127.094371,강변
10,대게나라광장점,서울 광진구 천호대로 611-0,맛집,외국식,아차산역,37.55512746,127.0857288,아차산
11,더뷔페,서울 광진구 워커힐로 177-0,맛집,외국식,광나루역,37.55862873,127.1117068,광나루
12,도치피자강변점,서울 광진구 아차산로62길 14-4,맛집,간이음식,강변역,37.53905707,127.0933376,강변
13,도톰,서울 광진구 능동로 386-0,맛집,한식,중곡역,37.56357041,127.0832475,중곡
14,등촌샤브칼국수자양점,서울 광진구 자양번영로 84-1,맛집,한식,건대입구역,37.53701523,127.0770865,건대입구
15,라구뜨,서울 광진구 능동로 90-0,맛집,외국식,건대입구역,37.53836258,127.0709218,건대입구
16,라구뜨,서울 광진구 능동로 90-0,맛집,전문음식,건대입구역,37.53836258,127.0709218,건대입구
17,로니로티건대점,서울 광진구 아차산로 225-0,맛집,외국식,건대입구역,37.54091808,127.068481,건대입구
18,마루샤브구의점,서울 광진구 아차산로 355-0,맛집,외국식,구의역,37.53736761,127.0825655,구의
19,마루샤브아차산역점,서울 광진구 천호대로 633-0,맛집,외국식,구의역,37.55419702,127.0880259,구의
20,망향비빔국수광진구점,서울 광진구 천호대로 694-0,맛집,한식,아차산역,37.54931199,127.0912405,아차산
21,매화반점건대점 ,서울 광진구 동일로18길 96-0,맛집,외국식,건대입구역,37.53835651,127.0679141,건대입구
22,메이탄구의점,서울 광진구 광나루로 590-0,맛집,외국식,광나루역,37.54258869,127.0939375,광나루
23,멕시칼리,서울 광진구 능동로36길 181-0,맛집,외국식,아차산역,37.55272398,127.0883913,아차산
24,명월관,서울 광진구 워커힐로 177-0,맛집,한식,광나루역,37.55862873,127.1117068,광나루
25,모두랑분식,서울 광진구 자양로28길 24-0,맛집,간이음식,구의역,37.54206665,127.0855151,구의
26,모모랑라이더카페,서울 광진구 동일로 341-0,맛집,카페/찻집,군자역,37.56153922,127.0745929,군자
27,바르미샤브샤브앤칼국수구의점,서울 광진구 아차산로 471-0,맛집,외국식,강변역,37.54041878,127.0939741,강변
28,버터버거,서울 광진구 구천면로 13-0,맛집,간이음식,광나루역,37.54679706,127.1072846,광나루
29,범가,서울 광진구 광장로 58-1,맛집,외국식,광나루역,37.54711155,127.1036041,광나루
30,보난자커피군자점,서울 광진구 능동로 239-0,맛집,카페/찻집,어린이대공원역,37.5515185,127.0761507,어린이대공원
31,뽀빠이기사식당,서울 광진구 긴고랑로 17-1,맛집,한식,중곡역,37.56377364,127.0785664,중곡
32,뽕사부건대점,서울 광진구 아차산로 205-0,맛집,외국식,건대입구역,37.54168207,127.0663857,건대입구
33,삼백집건대점,서울 광진구 아차산로 350-0,맛집,한식,구의역,37.53666263,127.0815808,구의
34,삼일민물장어,서울 광진구 천호대로 685-0,맛집,외국식,아차산역,37.55022741,127.0912334,아차산
35,서북면옥,서울 광진구 자양로 199-1,맛집,한식,아차산역,37.54541697,127.0853291,아차산
36,서울편백찜광장점,서울 광진구 광장로 83-0,맛집,한식,광나루역,37.54802944,127.1062853,광나루
37,선남SEA,서울 광진구 자양번영로 62-0,맛집,외국식,건대입구역,37.53500244,127.0764741,건대입구
38,설빙건대직영2호점,서울 광진구 아차산로 230-0,맛집,카페/찻집,건대입구역,37.54025588,127.068736,건대입구
39,소문난숯불구이,서울 광진구 자양번영로 28-0,맛집,한식,뚝섬유원지역,37.53215556,127.0756129,뚝섬유원지
40,송림식당,서울 광진구 자양번영로 79-0,맛집,한식,건대입구역,37.53678576,127.0765173,건대입구
41,송쉐프구의점,서울 광진구 아차산로 355-0,맛집,외국식,구의역,37.53736761,127.0825655,구의
42,송화산시도삭면,서울 광진구 뚝섬로27길 48-0,맛집,외국식,건대입구역,37.53790446,127.0665174,건대입구
43,송화양꼬치,서울 광진구 동일로18길 70-0,맛집,외국식,건대입구역,37.53879021,127.0665617,건대입구
44,스시텐강변점,서울 광진구 구의강변로 86-0,맛집,외국식,강변역,37.5381147,127.0940398,강변
45,스시토푸,서울 광진구 아차산로 612-0,맛집,외국식,광나루역,37.54733855,127.1066943,광나루
46,신선설농탕광나루역점,서울 광진구 천호대로 813-0,맛집,한식,광나루역,37.5456165,127.1041358,광나루
47,신선설농탕자양점,서울 광진구 자양로 139-0,맛집,한식,구의역,37.54031625,127.0829085,구의
48,신토불이떡볶이본점,서울 광진구 자양로43길 42-0,맛집,간이음식,아차산역,37.55254781,127.0904481,아차산
49,아웃백스테이크하우스건대스타시티점,서울 광진구 능동로 92-0,맛집,외국식,건대입구역,37.53899977,127.0712144,건대입구
50,안다즈커피,서울 광진구 천호대로132길 10-0,맛집,카페/찻집,아차산역,37.55036045,127.0895161,아차산
51,애슐리퀸즈강변점,서울 광진구 광나루로56길 85-0,맛집,외국식,강변역,37.53572518,127.0956922,강변
52,양촌리생삼겹살,서울 광진구 아차산로 482-0,맛집,한식,강변역,37.54053939,127.0954797,강변
53,영미오리탕,서울 광진구 동일로60길 53-0,맛집,한식,군자역,37.5576743,127.0762929,군자
54,우성식당,서울 광진구 자양번영로 60-1,맛집,한식,건대입구역,37.534862,127.0764326,건대입구
55,원조남원추어탕숙회,서울 광진구 동일로 114-0,맛집,한식,건대입구역,37.54274841,127.0645798,건대입구
56,원조할아버지손두부,서울 광진구 자양로 324-0,맛집,한식,아차산역,37.55407595,127.0941927,아차산
57,유일설렁탕,서울 광진구 용마산로 154-0,맛집,한식,중곡역,37.5673945,127.0865062,중곡
58,은혜즉석떡볶이,서울 광진구 광나루로 381-1,맛집,간이음식,어린이대공원역,37.5480982,127.0723244,어린이대공원
59,이이요,서울 광진구 능동로32길 6-0,맛집,외국식,군자역,37.5551942,127.0789152,군자
60,이화만두,서울 광진구 능동로 278-1,맛집,한식,군자역,37.55470869,127.0784571,군자
61,장군갈비,서울 광진구 용마산로 11-0,맛집,한식,아차산역,37.55476059,127.0881541,아차산
62,제주탐하리,서울 광진구 천호대로101길 11-0,맛집,한식,군자역,37.55973214,127.074653,군자
63,줄줄이김밥,서울 광진구 구의로12길 4-0,맛집,간이음식,구의역,37.5429588,127.0903914,구의
64,중일가든,서울 광진구 아차산로76가길 4-0,맛집,한식,광나루역,37.54752379,127.1074993,광나루
65,짬뽕지존아차산역점,서울 광진구 천호대로 682-0,맛집,외국식,아차산역,37.55010488,127.0902763,아차산
66,천미향,서울 광진구 능동로 237-0,맛집,외국식,어린이대공원역,37.551325,127.0761017,어린이대공원
67,청와옥군자역직영점,서울 광진구 천호대로 562-0,맛집,한식,군자역,37.5564876,127.080355,군자
68,체리커피,서울 광진구 능동로 284-0,맛집,카페/찻집,군자역,37.55515361,127.0787202,군자
69,카페드노보,서울 광진구 아차산로78길 157-0,맛집,카페/찻집,광나루역,37.54814428,127.1091023,광나루
70,콩예원,서울 광진구 아차산로78길 75-0,맛집,한식,광나루역,37.5515974,127.1109845,광나루
71,팀스쿡,서울 광진구 광나루로50길 10-0,맛집,외국식,구의역,37.54247623,127.0936162,구의
72,피자힐,서울 광진구 워커힐로 177-0,맛집,간이음식,광나루역,37.55862873,127.1117068,광나루
73,하이난,서울 광진구 능동로 243-1,맛집,외국식,어린이대공원역,37.55206838,127.0764335,어린이대공원
74,하이디라오건대지점,서울 광진구 능동로 110-0,맛집,외국식,건대입구역,37.54084161,127.0710464,건대입구
75,함흥본가면옥,서울 광진구 광나루로 456-0,맛집,한식,길동역,37.54517538,127.0798409,길동
76,호야본점,서울 광진구 능동로13길 39-0,맛집,외국식,건대입구역,37.54395902,127.0697577,건대입구
77,후문카페,서울 광진구 능동로36길 183-0,맛집,카페/찻집,아차산역,37.5526425,127.0885537,아차산
78,힘찬갯벌낙지,서울 광진구 능동로37길 6-0,맛집,외국식,군자역,37.55819011,127.0795766,군자
