NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
59쌀피자오류남부역점,서울 구로구 오류로8길 46-0,맛집,간이음식,오류동역
갈비명가,서울 구로구 가마산로 260-0,맛집,한식,대림역
갓파스시구로점,서울 구로구 디지털로 288-0,맛집,외국식,구로디지털단지역
강촌숯불닭갈비본점,서울 구로구 공원로6나길 35-2,맛집,외국식,신도림역
개성면옥,서울 구로구 가마산로 204-0,맛집,한식,남구로역
경복궁디큐브점,서울 구로구 경인로 662-0,맛집,한식,신도림역
깔깔거리,서울 구로구,맛집,기타음식,구로디지털단지역
다채개봉점,서울 구로구 개봉로23길 38-0,맛집,한식,개봉역
닥터로빈고척점,서울 구로구 경인로46길 51-0,맛집,외국식,구일역
동대문엽기떡볶이구로점,서울 구로구 도림천로 338-0,맛집,간이음식,대림역
뒤뜰,서울 구로구 안양천로539길 6-0,맛집,외국식,구일역
등촌샤브칼국수,서울 구로구 구로중앙로 57-0,맛집,외국식,오목교역
라무진신도림역점,서울 구로구 경인로67길 23-0,맛집,한식,신도림역
류타이쿠진,서울 구로구 연동로11길 14-0,맛집,외국식,역곡역
메이비,서울 구로구 디지털로32나길 51-0,맛집,외국식,구로디지털단지역
명륜진사갈비서울 개봉점,서울 구로구 개봉로 27-0,맛집,한식,개봉역
명륜진사갈비서울오류점,서울 구로구 서해안로 2293-0,맛집,한식,오류동역
모메존칼국수,서울 구로구 경인로 18-0,맛집,한식,온수역
봉고기신도림본점,서울 구로구 경인로 619-3,맛집,한식,신도림역
사월에쭈꾸미 현대백화점 디큐브시티,서울 구로구 경인로 662-0,맛집,외국식,신도림역
새벽집 양곱창,서울 구로구 경인로61길 21-0,맛집,외국식,신도림역
생어거스틴지밸리몰점,서울 구로구 디지털로 300-0,맛집,외국식,구로디지털단지역
샤브향구로점,서울 구로구 중앙로 13-0,맛집,외국식,구일역
서울안심축산정육식당,서울 구로구 공원로 47-0,맛집,한식,대림역
서일순대국전문구로점,서울 구로구 구로중앙로 6-0,맛집,한식,대림역
소담촌고척점,서울 구로구 경인로 397-0,맛집,한식,구일역
송림가,서울 구로구 경인로 398-0,맛집,한식,구일역
스시메이진구로점,서울 구로구 디지털로 300-0,맛집,외국식,구로디지털단지역
신도림전주관,서울 구로구 새말로 97-0,맛집,한식,신도림역
신도림참족발신도림점,서울 구로구 경인로 661-0,맛집,외국식,신도림역
신림춘천집구로디지털직영점,서울 구로구 디지털로32나길 17-23,맛집,외국식,구로디지털단지역
신선설농탕고척점,서울 구로구 경인로 387-0,맛집,한식,개봉역
실크로드,서울 구로구 경인로 398-0,맛집,외국식,구일역
애슐리퀸즈NC신구로점,서울 구로구 구로중앙로 152-0,맛집,외국식,구로역
앵커스볼링라운지,서울 구로구 디지털로31길 12-0,맛집,외국식,남구로역
어다리횟집구로점,서울 구로구 시흥대로 551-0,맛집,외국식,구로디지털단지역
옹기종기감자옹심이,서울 구로구 서해안로30길 13-8,맛집,한식,오류동역
왕뼈감자탕고척점,서울 구로구 중앙로 101-0,맛집,한식,양천구청역
우방정육식당,서울 구로구 부일로1길 110-0,맛집,한식,온수역
우월소곱창신도림본점,서울 구로구 경인로 631-0,맛집,외국식,신도림역
월래순교자관,서울 구로구 디지털로19길 12-0,맛집,외국식,남구로역
이춘복참치신도림디큐브시티점,서울 구로구 경인로 662-0,맛집,외국식,신도림역
제주은희네해장국신도림점,서울 구로구 공원로6나길 44-0,맛집,한식,신도림역
조선갈비실록구로점,서울 구로구 경인로 572-0,맛집,한식,구로역
참조은순대국전문점구로직영점,서울 구로구 구로중앙로 47-0,맛집,한식,대림역
초가집부뚜막청국장,서울 구로구 구로중앙로28길 24-0,맛집,한식,우장산역
최우영스시,서울 구로구 디지털로 288-0,맛집,외국식,구로디지털단지역
컴포신도림점,서울 구로구 경인로67길 57-0,맛집,외국식,신도림역
토마토김밥 고척사거리점,서울 구로구 고척로 237-0,맛집,간이음식,양천구청역
팔각도신도림역점,서울 구로구 경인로 643-0,맛집,전문음식,신도림역
평양면옥,서울 구로구 고척로10길 65-0,맛집,한식,동대문역사문화공원역
폴바셋구로지밸리몰점,서울 구로구 디지털로 300-0,맛집,카페/찻집,구로디지털단지역
한라산도새기오류점,서울 구로구 서해안로 2318-0,맛집,한식,신도림역
한우가,서울 구로구 공원로 67-0,맛집,한식,구로역
할머니추어탕,서울 구로구 개봉로19길 39-0,맛집,한식,부평삼거리역
행주산성 국수집,서울 구로구 신도림로 105-0,맛집,간이음식,도림천역
향원갈비,서울 구로구 개봉로20길 18-0,맛집,한식,개봉역
