,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,59쌀피자오류남부역점,서울 구로구 오류로8길 46-0,맛집,간이음식,오류동역,37.49182893,126.8430607,오류동
1,갈비명가,서울 구로구 가마산로 260-0,맛집,한식,대림역,37.49526303,126.8896663,대림
2,갓파스시구로점,서울 구로구 디지털로 288-0,맛집,외국식,구로디지털단지역,37.48356957,126.8955028,구로디지털단지
3,강촌숯불닭갈비본점,서울 구로구 공원로6나길 35-2,맛집,외국식,신도림역,37.50443248,126.8917146,신도림
4,개성면옥,서울 구로구 가마산로 204-0,맛집,한식,남구로역,37.49290273,126.8838109,남구로
5,경복궁디큐브점,서울 구로구 경인로 662-0,맛집,한식,신도림역,37.50812307,126.888213,신도림
6,깔깔거리,서울 구로구,맛집,기타음식,구로디지털단지역,37.49543309,126.8875053,구로디지털단지
7,다채개봉점,서울 구로구 개봉로23길 38-0,맛집,한식,개봉역,37.49599482,126.8566744,개봉
8,닥터로빈고척점,서울 구로구 경인로46길 51-0,맛집,외국식,구일역,37.49562175,126.8657527,구일
9,동대문엽기떡볶이구로점,서울 구로구 도림천로 338-0,맛집,간이음식,대림역,37.49480605,126.8938015,대림
10,뒤뜰,서울 구로구 안양천로539길 6-0,맛집,외국식,구일역,37.5050772,126.8705414,구일
11,등촌샤브칼국수,서울 구로구 구로중앙로 57-0,맛집,외국식,오목교역,37.49457168,126.8889855,오목교
12,라무진신도림역점,서울 구로구 경인로67길 23-0,맛집,한식,신도림역,37.51070955,126.8892324,신도림
13,류타이쿠진,서울 구로구 연동로11길 14-0,맛집,외국식,역곡역,37.48341844,126.8207469,역곡
14,메이비,서울 구로구 디지털로32나길 51-0,맛집,외국식,구로디지털단지역,37.48490133,126.9003821,구로디지털단지
15,명륜진사갈비서울 개봉점,서울 구로구 개봉로 27-0,맛집,한식,개봉역,37.48819048,126.8560058,개봉
16,명륜진사갈비서울오류점,서울 구로구 서해안로 2293-0,맛집,한식,오류동역,37.4914453,126.8397215,오류동
17,모메존칼국수,서울 구로구 경인로 18-0,맛집,한식,온수역,37.48907226,126.8248882,온수
18,봉고기신도림본점,서울 구로구 경인로 619-3,맛집,한식,신도림역,37.50688385,126.8840367,신도림
19,사월에쭈꾸미 현대백화점 디큐브시티,서울 구로구 경인로 662-0,맛집,외국식,신도림역,37.50812307,126.888213,신도림
20,새벽집 양곱창,서울 구로구 경인로61길 21-0,맛집,외국식,신도림역,37.50772099,126.8841447,신도림
21,생어거스틴지밸리몰점,서울 구로구 디지털로 300-0,맛집,외국식,구로디지털단지역,37.48492704,126.896538,구로디지털단지
22,샤브향구로점,서울 구로구 중앙로 13-0,맛집,외국식,구일역,37.49917235,126.8641089,구일
23,서울안심축산정육식당,서울 구로구 공원로 47-0,맛집,한식,대림역,37.5010208,126.889644,대림
24,서일순대국전문구로점,서울 구로구 구로중앙로 6-0,맛집,한식,대림역,37.49108694,126.8927768,대림
25,소담촌고척점,서울 구로구 경인로 397-0,맛집,한식,구일역,37.49769957,126.8638709,구일
26,송림가,서울 구로구 경인로 398-0,맛집,한식,구일역,37.49699769,126.8643486,구일
27,스시메이진구로점,서울 구로구 디지털로 300-0,맛집,외국식,구로디지털단지역,37.48492704,126.896538,구로디지털단지
