NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
LAB1004,서울 금천구 벚꽃로 104-0,맛집,카페/찻집,독산역
가산물갈비&백년불고기,서울 금천구 가산디지털1로 128-0,맛집,한식,가산디지털단지역
강강술래시흥점,서울 금천구 시흥대로 193-0,맛집,한식,금천구청역
개성손만두요리전문점가산디지털점,서울 금천구 가산로9길 22-0,맛집,한식,가산디지털단지역
궁전산들애밥상,서울 금천구 독산로 178-1,맛집,한식,독산역
김명태매운갈비찜가산점,서울 금천구 가산로 132-1,맛집,한식,가산디지털단지역
김밥전문공간얌얌,서울 금천구 금하로 675-0,맛집,간이음식,독산역
논빼미돼지볶음,서울 금천구 시흥대로 185-0,맛집,한식,독산역
더카페이네스트점,서울 금천구 범안로 1155-0,맛집,카페/찻집,독산역
도넛 인사이드 도넛,서울 금천구 시흥대로141길 81-0,맛집,간이음식,가산디지털단지역
도원,서울 금천구 범안로 1130-0,맛집,외국식,독산역
독산동먹자골목,서울 금천구,맛집,기타음식,독산역
동남집,서울 금천구 가산디지털1로 149-0,맛집,한식,가산디지털단지역
동흥관,서울 금천구 시흥대로63길 20-0,맛집,외국식,금천구청역
두껍삼가산직영점,서울 금천구 벚꽃로38길 43-0,맛집,한식,가산디지털단지역
떡볶이랑걸레만두랑,서울 금천구 시흥대로58길 13-0,맛집,간이음식,금천구청역
로운샤브샤브금천점,서울 금천구 시흥대로 291-0,맛집,외국식,금천구청역
마벨리에시흥점,서울 금천구 시흥대로 201-0,맛집,전문음식,금천구청역
만두라,서울 금천구 시흥대로 97-0,맛집,한식,석수역
망향비빔국수금천직영점,서울 금천구 가산디지털1로 186-0,맛집,한식,가산디지털단지역
명륜진사갈비독산점,서울 금천구 시흥대로 447-0,맛집,한식,독산역
명륜진사갈비석수역점,서울 금천구 시흥대로 10-0,맛집,한식,석수역
명륜진사갈비시흥사거리점,서울 금천구 시흥대로 266-0,맛집,한식,금천구청역
미분당가산점,서울 금천구 디지털로10길 69-0,맛집,외국식,가산디지털단지역
본가집가마솥설렁탕금천구청본점,서울 금천구 시흥대로 269-0,맛집,한식,금천구청역
부뚜막청국장,서울 금천구 독산로 242-0,맛집,한식,독산역
북창동순두부독산점,서울 금천구 시흥대로123길 14-0,맛집,한식,독산역
빵집아저씨,서울 금천구 독산로 112-0,맛집,간이음식,독산역
삼숙이 갈비,서울 금천구 벚꽃로 308-0,맛집,한식,금천구청역
솔향기해물칼국수,서울 금천구 금하로 722-0,맛집,한식,독산역
순댕이네얼큰수제비,서울 금천구 시흥대로136길 1-0,맛집,한식,가산디지털단지역
신선설농탕독산점,서울 금천구 시흥대로 405-0,맛집,한식,독산역
아웃백스테이크하우스가산점,서울 금천구 디지털로10길 9-0,맛집,외국식,가산디지털단지역
암소한마리,서울 금천구 시흥대로 371-0,맛집,한식,독산역
어물전금천독산점,서울 금천구 시흥대로152길 11-43,맛집,한식,구로디지털단지역
왕게수산시흥동점,서울 금천구 시흥대로 182-0,맛집,외국식,독산역
우리소양평해장국본점,서울 금천구 범안로 1244-0,맛집,한식,독산역
우시장3호집,서울 금천구 시흥대로 364-0,맛집,한식,독산역
원조홍어집,서울 금천구 금하로14길 2-3,맛집,외국식,금천구청역
은행골가산디지털단지역점,서울 금천구 가산디지털1로 171-0,맛집,외국식,가산디지털단지역
은행골시흥분점,서울 금천구 시흥대로 198-0,맛집,외국식,금천구청역
인크커피가산점,서울 금천구 가산디지털2로 127-20,맛집,카페/찻집,가산디지털단지역
진영면옥,서울 금천구 가산로 22-5,맛집,한식,독산역
차림,서울 금천구 가산디지털1로 131-0,맛집,한식,가산디지털단지역
참숯구이육향,서울 금천구 가산디지털1로 225-0,맛집,한식,가산디지털단지역
채선당금천구청점,서울 금천구 시흥대로 277-0,맛집,외국식,금천구청역
춘천옥,서울 금천구 디지털로12길 19-0,맛집,외국식,가산디지털단지역
커피베이가산직영점,서울 금천구 벚꽃로 254-0,맛집,카페/찻집,가산디지털단지역
코애식당,서울 금천구 가산디지털2로 127-33,맛집,외국식,가산디지털단지역
파티엘하우스,서울 금천구 디지털로 173-0,맛집,외국식,가산디지털단지역
풍년갈비,서울 금천구 디지털로12길 33-0,맛집,한식,가산디지털단지역
호세가,서울 금천구 남부순환로108길 19-0,맛집,외국식,가산디지털단지역
화로구이독산점,서울 금천구 범안로 1200-0,맛집,한식,독산역
