업소명,주소,대분류,분류
DNJ,서울 노원구 노원로 244-0,맛집,외국식
감동식당,서울 노원구 한글비석로47길 58-0,맛집,한식
강강술래상계점,서울 노원구 동일로 1628-0,맛집,한식
경복식당,서울 노원구 공릉로39길 10-0,맛집,한식
경성초밥,서울 노원구 공릉로 119-5,맛집,외국식
경회루,서울 노원구 동일로 1005-0,맛집,한식
고기파티,서울 노원구 중계로12길 6-0,맛집,한식
공릉동국수거리,서울 노원구,맛집,기타음식
공릉본점닭한마리본점,서울 노원구 동일로 1020-0,맛집,한식
기차가있는풍경,서울 노원구 화랑로 608-0,맛집,카페/찻집
돈까스먹는용만이,서울 노원구 한글비석로20길 52-0,맛집,외국식
라라브레드공릉점,서울 노원구 공릉로41길 32-0,맛집,카페/찻집
로니로티노원점,서울 노원구 상계로 63-7,맛집,외국식
마들원,서울 노원구 공릉로62길 27-11,맛집,한식
마실노원점,서울 노원구 노원로 412-0,맛집,한식
마포생고기,서울 노원구 동일로190길 39-0,맛집,한식
멍텅구리즉석떡볶이,서울 노원구 공릉로51길 14-2,맛집,간이음식
메트로폴리스,서울 노원구 동일로178길 11-9,맛집,간이음식
무명칼국수,서울 노원구 석계로7길 4-0,맛집,한식
무봉리토종순대국,서울 노원구 동일로192길 63-0,맛집,한식
미스터아구,서울 노원구 덕릉로 744-0,맛집,한식
백소정공릉점,서울 노원구 동일로 1024-0,맛집,외국식
보타닉커피,서울 노원구 상계로3길 38-8,맛집,카페/찻집
비손칼국수수락산점,서울 노원구 동일로 1660-0,맛집,한식
산들바다,서울 노원구 화랑로 443-0,맛집,한식
생선까시,서울 노원구 동일로191가길 22-0,맛집,한식
소담촌노원역점,서울 노원구 상계로 90-0,맛집,한식
소문난멸치국수,서울 노원구 동일로173가길 81-0,맛집,간이음식
수락산먹자골목,서울 노원구 동일로230가길 0-0,맛집,기타음식
수락이오냉면,서울 노원구 동일로237다길 7-0,맛집,한식
쉐이크쉑노원점,서울 노원구 동일로 1414-0,맛집,간이음식
슈엔챠이상계점,서울 노원구 동일로 1335-0,맛집,외국식
스시웨이노원점,서울 노원구 동일로 1374-0,맛집,외국식
신가네칼국수,서울 노원구 공릉로59나길 78-14,맛집,한식
신고집찜칼국수본점,서울 노원구 노원로15길 51-30,맛집,한식
신선설농탕노원역점,서울 노원구 노해로 511-0,맛집,한식
아웃백스테이크하우스노원점,서울 노원구 동일로 1419-0,맛집,전문음식
안시성,서울 노원구 화랑로 475-0,맛집,외국식
애슐리퀸즈2001아울렛중계점,서울 노원구 동일로204가길 46-0,맛집,외국식
애슐리퀸즈이마트월계점,서울 노원구 마들로3길 15-0,맛집,외국식
엄마손칼국수,서울 노원구 상계로39길 5-0,맛집,한식
오스테리아잭팟,서울 노원구 화랑로53길 14-0,맛집,외국식
용순가재골수제비,서울 노원구 동일로242길 100-0,맛집,한식
유정집,서울 노원구 동일로173가길 65-0,맛집,한식
이종구낙지세상본점,서울 노원구 중계로 90-0,맛집,외국식
이춘복참치노원직영점,서울 노원구 노해로85길 10-7,맛집,외국식
장위동유성집노원점,서울 노원구 한글비석로1길 68-0,맛집,한식
전민규의황제누룽지탕노원직영점,서울 노원구 노해로77길 14-8,맛집,한식
제일콩집,서울 노원구 동일로174길 37-8,맛집,한식
제형면옥하계점,서울 노원구 공릉로65길 16-0,맛집,한식
중원,서울 노원구 동일로242가길 36-0,맛집,외국식
쪼매매운떡볶이공릉점,서울 노원구 공릉로 208-0,맛집,간이음식
참누렁소가든,서울 노원구 공릉로63길 13-0,맛집,한식
천하뼈다귀감자탕,서울 노원구 동일로 1595-0,맛집,한식
청와정,서울 노원구 동일로 1611-0,맛집,한식
청학골,서울 노원구 동일로192길 6-0,맛집,한식
춘보만두,서울 노원구 섬밭로 56-0,맛집,한식
카페브람스,서울 노원구 중계로8길 48-0,맛집,카페/찻집
코타브레드,서울 노원구 공릉로 165-0,맛집,간이음식
크래버대게나라노원점,서울 노원구 한글비석로 326-0,맛집,외국식
태능고향풍천장어본점,서울 노원구 화랑로 459-0,맛집,외국식
터줏대감,서울 노원구 동일로246길 21-0,맛집,한식
테르미니,서울 노원구 화랑로53길 12-0,맛집,외국식
페페그라노,서울 노원구 공릉로32길 5-0,맛집,외국식
평양칼국수,서울 노원구 동일로 1652-0,맛집,한식
풍미연노원본점,서울 노원구 노해로85길 7-0,맛집,한식
피노키오냉면,서울 노원구 한글비석로 474-0,맛집,한식
핏짜굽는언니,서울 노원구 동일로198길 58-0,맛집,외국식
하나샤브샤브,서울 노원구 동일로203가길 29-0,맛집,외국식
한촌설렁탕공릉역점,서울 노원구 동일로 1045-0,맛집,한식
해품장팔팔장어,서울 노원구 노원로 192-0,맛집,외국식
향림,서울 노원구 한글비석로 127-0,맛집,외국식
호접몽,서울 노원구 중계로18길 9-0,맛집,외국식
