,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,DNJ,서울 노원구 노원로 244-0,맛집,외국식,하계역,37.63952211,127.0743111,하계
1,감동식당,서울 노원구 한글비석로47길 58-0,맛집,한식,노원역,37.66161558,127.0665925,노원
2,강강술래상계점,서울 노원구 동일로 1628-0,맛집,한식,수락산역,37.67384341,127.0560304,수락산
3,경복식당,서울 노원구 공릉로39길 10-0,맛집,한식,공릉역,37.62371127,127.0788582,공릉
4,경성초밥,서울 노원구 공릉로 119-5,맛집,외국식,태릉입구역,37.62104058,127.0781639,태릉입구
5,경회루,서울 노원구 동일로 1005-0,맛집,한식,태릉입구역,37.6199277,127.0745144,태릉입구
6,고기파티,서울 노원구 중계로12길 6-0,맛집,한식,상계역,37.64763097,127.0811424,상계
7,공릉동국수거리,서울 노원구,맛집,기타음식,공릉역,37.65436176,127.0564305,공릉
8,공릉본점닭한마리본점,서울 노원구 동일로 1020-0,맛집,한식,태릉입구역,37.62120017,127.0747914,태릉입구
9,기차가있는풍경,서울 노원구 화랑로 608-0,맛집,카페/찻집,화랑대역,37.62445098,127.0930897,화랑대
10,돈까스먹는용만이,서울 노원구 한글비석로20길 52-0,맛집,외국식,상계역,37.66125624,127.0746116,상계
11,라라브레드공릉점,서울 노원구 공릉로41길 32-0,맛집,카페/찻집,공릉역,37.62486124,127.0778588,공릉
12,로니로티노원점,서울 노원구 상계로 63-7,맛집,외국식,노원역,37.65650993,127.0618893,노원
13,마들원,서울 노원구 공릉로62길 27-11,맛집,한식,하계역,37.63641548,127.0712969,하계
14,마실노원점,서울 노원구 노원로 412-0,맛집,한식,노원역,37.65340587,127.0681043,노원
15,마포생고기,서울 노원구 동일로190길 39-0,맛집,한식,공릉역,37.62601213,127.0752653,공릉
16,멍텅구리즉석떡볶이,서울 노원구 공릉로51길 14-2,맛집,간이음식,공릉역,37.62887637,127.0763821,공릉
17,메트로폴리스,서울 노원구 동일로178길 11-9,맛집,간이음식,태릉입구역,37.621492,127.075073,태릉입구
18,무명칼국수,서울 노원구 석계로7길 4-0,맛집,한식,석계역,37.61672145,127.063907,석계
19,무봉리토종순대국,서울 노원구 동일로192길 63-0,맛집,한식,공릉역,37.62715484,127.0762692,공릉
20,미스터아구,서울 노원구 덕릉로 744-0,맛집,한식,상계역,37.66387577,127.0765612,상계
21,백소정공릉점,서울 노원구 동일로 1024-0,맛집,외국식,태릉입구역,37.62163183,127.0746429,태릉입구
22,보타닉커피,서울 노원구 상계로3길 38-8,맛집,카페/찻집,노원역,37.65797486,127.0630404,노원
23,비손칼국수수락산점,서울 노원구 동일로 1660-0,맛집,한식,수락산역,37.67658859,127.0556677,수락산
24,산들바다,서울 노원구 화랑로 443-0,맛집,한식,태릉입구역,37.61828027,127.0765852,태릉입구
25,생선까시,서울 노원구 동일로191가길 22-0,맛집,한식,공릉역,37.62598217,127.0714211,공릉
26,소담촌노원역점,서울 노원구 상계로 90-0,맛집,한식,노원역,37.65627586,127.0645755,노원
