NAME,ADDRESS,CATE,SUBCATE,STATION_NAME,,,,,,,,,,"창동(4), 쌍문(4), 도봉산(7)"
감포면옥,서울 도봉구 노해로 243-0,맛집,한식,쌍문역,,,,,,,,,,
경복궁창동점,서울 도봉구 도봉로 610-0,맛집,한식,방학역,,,,,,,,,,
고기싸롱쌍문역점,서울 도봉구 도봉로 454-0,맛집,한식,쌍문역,,,,,,,,,,
고려가든,서울 도봉구 방학로 266-40,맛집,한식,쌍문역,,,,,,,,,,
공릉동닭한마리방학점,서울 도봉구 도봉로 683-0,맛집,한식,방학역,,,,,,,,,,
글림쌍문점,서울 도봉구 도봉로118길 6-8,맛집,카페/찻집,쌍문역,,,,,,,,,,
금강산감자탕방학점,서울 도봉구 도봉로 669-0,맛집,한식,방학역,,,,,,,,,,
꿀소담,서울 도봉구 해등로16길 67-0,맛집,카페/찻집,창동역,,,,,,,,,,
대관령감자옹심이,서울 도봉구 해등로16길 55-0,맛집,외국식,창동역,,,,,,,,,,
대문한정식,서울 도봉구 시루봉로 139-6,맛집,한식,방학역,,,,,,,,,,
도레미즉석떡볶이,서울 도봉구 삼양로144길 18-0,맛집,간이음식,쌍문역,,,,,,,,,,
도봉산갈비,서울 도봉구 도봉로 919-0,맛집,한식,도봉산역,,,,,,,,,,
도봉산양고기,서울 도봉구 도봉로191길 99-6,맛집,한식,도봉산역,,,,,,,,,,
동적깡통구이쌍문점,서울 도봉구 도봉로109길 30-0,맛집,한식,쌍문역,,,,,,,,,,
동해수산,서울 도봉구 도봉로 663-8,맛집,외국식,방학역,,,,,,,,,,
등촌샤브칼국수창동역점,서울 도봉구 도봉로136가길 69-0,맛집,한식,창동역,,,,,,,,,,
뚝배기손칼국수,서울 도봉구 도봉로 683-0,맛집,한식,방학역,,,,,,,,,,
뚱보냉면,서울 도봉구 도봉로110길 51-0,맛집,한식,쌍문역,,,,,,,,,,
로로옴,서울 도봉구 도봉로152가길 152-0,맛집,카페/찻집,도봉역,,,,,,,,,,
리프패럿방학동점,서울 도봉구 도당로 80-0,맛집,카페/찻집,방학역,,,,,,,,,,
망향비빔국수창동점,서울 도봉구 도봉로 534-0,맛집,한식,쌍문역,,,,,,,,,,
먹고을밥상,서울 도봉구 덕릉로 268-0,맛집,한식,녹천역,,,,,,,,,,
메이다이닝,서울 도봉구 도봉로169길 202-0,맛집,전문음식,도봉역,,,,,,,,,,
명륜진사갈비서울도봉산점,서울 도봉구 도봉산길 10-0,맛집,한식,도봉산역,,,,,,,,,,
모래스푼,서울 도봉구 시루봉로 2-0,맛집,카페/찻집,쌍문역,,,,,,,,,,
