업소명,주소,대분류,분류
갈비명가이상답십리점,서울 동대문구 천호대로 327-0,맛집,한식
고황24시뼈다귀해장국감자탕,서울 동대문구 경희대로1길 8-16,맛집,한식
나정순할매주꾸미,서울 동대문구 무학로 144-0,맛집,전문음식
나정순할매쭈꾸미2호점,서울 동대문구 약령시로 65-0,맛집,외국식
놀부만두,서울 동대문구 망우로16길 15-0,맛집,한식
늘봄해물찜손칼국수답십리본점,서울 동대문구 전농로 39-0,맛집,한식
니뽕내뽕바우하우스장안점,서울 동대문구 답십리로 288-0,맛집,한식
대한곱창장안점,서울 동대문구 천호대로85길 21-0,맛집,외국식
대한닭발1979본점,서울 동대문구 장한로 116-0,맛집,외국식
더모임,서울 동대문구 왕산로 6-0,맛집,외국식
레알라면,서울 동대문구 회기로25길 23-5,맛집,간이음식
로운샤브샤브롯데백화점청량리점,서울 동대문구 왕산로 214-0,맛집,외국식
마루샤브용두직영점,서울 동대문구 왕산로 61-0,맛집,외국식
먹깨비간장게장해물아구찜,서울 동대문구 장한로 92-0,맛집,외국식
명륜진사갈비장안점,서울 동대문구 답십리로 240-0,맛집,한식
부부횟집,서울 동대문구 장한로 198-0,맛집,전문음식
비케이볏짚직화구이장안동본점,서울 동대문구 장한로26가길 29-0,맛집,한식
삼육서울병원 추모관식당,서울 동대문구 망우로 82-0,맛집,한식
서산간장게장,서울 동대문구 장한로24길 7-0,맛집,외국식
선진국낙지마당,서울 동대문구 장한로 149-1,맛집,외국식
성천막국수,서울 동대문구 답십리로48나길 2-0,맛집,한식
소담촌용두점,서울 동대문구 왕산로 60-1,맛집,외국식
소담촌장안점,서울 동대문구 사가정로 207-0,맛집,외국식
속초명가장안점,서울 동대문구 한천로 42-0,맛집,한식
송쉐프,서울 동대문구 장한로2길 20-0,맛집,외국식
송학수산,서울 동대문구 장한로26길 67-0,맛집,외국식
신가네왕코등갈비장안동점,서울 동대문구 한천로 202-0,맛집,한식
신락원[중식],서울 동대문구 전농로20길 2-0,맛집,외국식
신토불이장안직영점,서울 동대문구 사가정로 278-0,맛집,외국식
아티제외대점,서울 동대문구 이문로 107-0,맛집,카페/찻집
안흥갈비,서울 동대문구 장한로 153-0,맛집,한식
애슐리퀸즈롯데백화점청량리점,서울 동대문구 왕산로 214-0,맛집,외국식
어머니대성집,서울 동대문구 왕산로11길 4-0,맛집,한식
영동교집장안직영점,서울 동대문구 천호대로83길 32-0,맛집,한식
영화장[중식],서울 동대문구 휘경로 3-8,맛집,외국식
오소리순대본점,서울 동대문구 회기로4길 16-0,맛집,한식
오실장강남면옥장안점,서울 동대문구 사가정로 207-0,맛집,한식
옥천옥설렁탕,서울 동대문구 하정로 16-0,맛집,한식
용두동복집,서울 동대문구 왕산로16길 9-0,맛집,외국식
용두동임오네쭈꾸미1호점본점,서울 동대문구 무학로36길 6-0,맛집,외국식
용두동쭈꾸미본점,서울 동대문구 무학로36길 10-0,맛집,외국식
원골전통순대국,서울 동대문구 사가정로 232-0,맛집,한식
육전식당3호점,서울 동대문구 천호대로 38-0,맛집,한식
육전식당본점,서울 동대문구 난계로30길 16-0,맛집,한식
은하곱창,서울 동대문구 전농로15길 22-0,맛집,외국식
일미간장게장본점,서울 동대문구 장한로24길 7-0,맛집,외국식
일번지정육식당,서울 동대문구 장한로 18-0,맛집,한식
일심해장국본점,서울 동대문구 장한로 179-0,맛집,한식
장안설렁탕,서울 동대문구 천호대로89길 3-0,맛집,한식
장안순대국밥,서울 동대문구 고미술로 81-0,맛집,한식
장안정본점,서울 동대문구 답십리로 291-3,맛집,외국식
장원닭한마리,서울 동대문구 전농로 30-1,맛집,한식
정대감감자탕,서울 동대문구 천호대로83길 46-0,맛집,한식
제주은희네해장국장안점,서울 동대문구 장한로 43-0,맛집,한식
지호한방삼계탕장안점,서울 동대문구 장한로 161-0,맛집,한식
진미기사식당,서울 동대문구 장한로 64-0,맛집,한식
채선당답십리점,서울 동대문구 사가정로 6-0,맛집,외국식
천호낙지,서울 동대문구 사가정로 207-0,맛집,외국식
카페NSW,서울 동대문구 왕산로 273-0,맛집,카페/찻집
커피나인본점,서울 동대문구 전농로3길 12-0,맛집,카페/찻집
쿠우쿠우장안아트몰링점,서울 동대문구 답십리로 288-0,맛집,외국식
킹수제만두,서울 동대문구 한빛로 3-0,맛집,한식
팔각도경희대점,서울 동대문구 회기로13길 10-0,맛집,외국식
팔선생제기점,서울 동대문구 회기로 34-0,맛집,외국식
한우천국장안점,서울 동대문구 장한로 96-0,맛집,한식
할머니냉면,서울 동대문구 왕산로37길 51-0,맛집,한식
함경면옥,서울 동대문구 왕산로 87-0,맛집,한식
행운돈까스,서울 동대문구 장한로 173-0,맛집,외국식
혜성칼국수,서울 동대문구 왕산로 247-1,맛집,한식
홍능갈비집본점,서울 동대문구 제기로 85-0,맛집,한식
홍릉각[중식],서울 동대문구 약령시로 90-0,맛집,외국식
홍익돈까스회기역점,서울 동대문구 망우로21길 52-0,맛집,외국식
회기왕족발,서울 동대문구 회기로 158-0,맛집,외국식
흥부골숯불갈비장안2호점,서울 동대문구 장한로 149-0,맛집,한식
흥부골숯불돼지왕갈비본점,서울 동대문구 장한로24길 46-0,맛집,한식
