NAME,ADDRESS,CATE,SUBCATE,STATION_NAME,,
갈비명가이상답십리점,서울 동대문구 천호대로 327-0,맛집,한식,답십리역,,
고황24시뼈다귀해장국감자탕,서울 동대문구 경희대로1길 8-16,맛집,한식,회기역,,
나정순할매주꾸미,서울 동대문구 무학로 144-0,맛집,전문음식,제기동역,,
나정순할매쭈꾸미2호점,서울 동대문구 약령시로 65-0,맛집,한식,제기동역,,
놀부만두,서울 동대문구 망우로16길 15-0,맛집,한식,회기역,,
늘봄해물찜손칼국수답십리본점,서울 동대문구 전농로 39-0,맛집,한식,답십리역,,
대한곱창장안점,서울 동대문구 천호대로85길 21-0,맛집,외국식,장한평역,,
대한닭발1979본점,서울 동대문구 장한로 116-0,맛집,한식,장한평역,,
더모임,서울 동대문구 왕산로 6-0,맛집,외국식,신설동역,,
레알라면,서울 동대문구 회기로25길 23-5,맛집,간이음식,회기역,,
로운샤브샤브롯데백화점청량리점,서울 동대문구 왕산로 214-0,맛집,외국식,청량리역,,
마루샤브용두직영점,서울 동대문구 왕산로 61-0,맛집,외국식,제기동역,,
먹깨비간장게장해물아구찜,서울 동대문구 장한로 92-0,맛집,외국식,장한평역,,
명륜진사갈비장안점,서울 동대문구 답십리로 240-0,맛집,한식,장한평역,,
부부횟집,서울 동대문구 장한로 198-0,맛집,전문음식,장한평역,,
삼육서울병원 추모관식당,서울 동대문구 망우로 82-0,맛집,한식,회기역,,
서산간장게장,서울 동대문구 장한로24길 7-0,맛집,한식,장한평역,,
선진국낙지마당,서울 동대문구 장한로 149-1,맛집,외국식,장한평역,,
성천막국수,서울 동대문구 답십리로48나길 2-0,맛집,한식,답십리역,,
소담촌용두점,서울 동대문구 왕산로 60-1,맛집,외국식,제기동역,,
소담촌장안점,서울 동대문구 사가정로 207-0,맛집,외국식,회기역,,
속초명가장안점,서울 동대문구 한천로 42-0,맛집,한식,장한평역,,
송쉐프,서울 동대문구 장한로2길 20-0,맛집,외국식,신사역,,
송학수산,서울 동대문구 장한로26길 67-0,맛집,외국식,장한평역,,
신락원,서울 동대문구 전농로20길 2-0,맛집,외국식,청량리역,,
아티제외대점,서울 동대문구 이문로 107-0,맛집,카페/찻집,외대앞역,,
안흥갈비,서울 동대문구 장한로 153-0,맛집,한식,답십리역,,
애슐리퀸즈롯데백화점청량리점,서울 동대문구 왕산로 214-0,맛집,외국식,청량리역,,
어머니대성집,서울 동대문구 왕산로11길 4-0,맛집,한식,신설동역,,
영동교집장안직영점,서울 동대문구 천호대로83길 32-0,맛집,한식,장한평역,,
영화장[중식],서울 동대문구 휘경로 3-8,맛집,외국식,외대앞역,,
오소리순대본점,서울 동대문구 회기로4길 16-0,맛집,한식,고려대역,,
옥천옥설렁탕,서울 동대문구 하정로 16-0,맛집,한식,신설동역,,
용두동복집,서울 동대문구 왕산로16길 9-0,맛집,외국식,제기동역,,
용두동임오네쭈꾸미1호점본점,서울 동대문구 무학로36길 6-0,맛집,외국식,제기동역,,
용두동쭈꾸미본점,서울 동대문구 무학로36길 10-0,맛집,외국식,제기동역,,
원골전통순대국,서울 동대문구 사가정로 232-0,맛집,한식,장한평역,,
육전식당3호점,서울 동대문구 천호대로 38-0,맛집,한식,신설동역,,
육전식당본점,서울 동대문구 난계로30길 16-0,맛집,한식,신설동역,,
은하곱창,서울 동대문구 전농로15길 22-0,맛집,외국식,청량리역,,
일미간장게장본점,서울 동대문구 장한로24길 7-0,맛집,외국식,장한평역,,
일번지정육식당,서울 동대문구 장한로 18-0,맛집,한식,장한평역,,
일심해장국본점,서울 동대문구 장한로 179-0,맛집,한식,장한평역,,
장안설렁탕,서울 동대문구 천호대로89길 3-0,맛집,한식,장한평역,,
장안순대국밥,서울 동대문구 고미술로 81-0,맛집,한식,답십리역,,
장안정본점,서울 동대문구 답십리로 291-3,맛집,외국식,장한평역,,
장원닭한마리,서울 동대문구 전농로 30-1,맛집,한식,답십리역,,
정대감감자탕,서울 동대문구 천호대로83길 46-0,맛집,한식,장한평역,,
제주은희네해장국장안점,서울 동대문구 장한로 43-0,맛집,한식,장한평역,,
지호한방삼계탕장안점,서울 동대문구 장한로 161-0,맛집,한식,장한평역,,
진미기사식당,서울 동대문구 장한로 64-0,맛집,한식,장한평역,,
채선당답십리점,서울 동대문구 사가정로 6-0,맛집,외국식,신답역,,
천호낙지,서울 동대문구 사가정로 207-0,맛집,한식,답십리역,,
카페NSW,서울 동대문구 왕산로 273-0,맛집,카페/찻집,청량리역,,
커피나인본점,서울 동대문구 전농로3길 12-0,맛집,카페/찻집,답십리역,,
킹수제만두,서울 동대문구 한빛로 3-0,맛집,한식,신설동역,,
팔각도경희대점,서울 동대문구 회기로13길 10-0,맛집,외국식,회기역,,
팔선생제기점,서울 동대문구 회기로 34-0,맛집,외국식,고려대역,,
한우천국장안점,서울 동대문구 장한로 96-0,맛집,한식,장한평역,,
할머니냉면,서울 동대문구 왕산로37길 51-0,맛집,한식,청량리역,,
함경면옥,서울 동대문구 왕산로 87-0,맛집,한식,제기동역,,
행운돈까스,서울 동대문구 장한로 173-0,맛집,외국식,장한평역,,
혜성칼국수,서울 동대문구 왕산로 247-1,맛집,한식,청량리역,,
홍능갈비집본점,서울 동대문구 제기로 85-0,맛집,한식,고려대역,,
홍릉각[중식],서울 동대문구 약령시로 90-0,맛집,외국식,청량리역,,
홍익돈까스회기역점,서울 동대문구 망우로21길 52-0,맛집,외국식,회기역,,
회기왕족발,서울 동대문구 회기로 158-0,맛집,외국식,회기역,,
흥부골숯불갈비장안2호점,서울 동대문구 장한로 149-0,맛집,한식,장한평역,,
