,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,갈비명가이상답십리점,서울 동대문구 천호대로 327-0,맛집,한식,답십리역,37.56454376,127.0564192,답십리
1,고황24시뼈다귀해장국감자탕,서울 동대문구 경희대로1길 8-16,맛집,한식,회기역,37.59234054,127.0520486,회기
2,나정순할매주꾸미,서울 동대문구 무학로 144-0,맛집,전문음식,제기동역,37.5770815,127.0306946,제기동
3,나정순할매쭈꾸미2호점,서울 동대문구 약령시로 65-0,맛집,한식,제기동역,37.58301299,127.0370765,제기동
4,놀부만두,서울 동대문구 망우로16길 15-0,맛집,한식,회기역,37.58935254,127.0614879,회기
5,늘봄해물찜손칼국수답십리본점,서울 동대문구 전농로 39-0,맛집,한식,답십리역,37.5685604,127.0568082,답십리
6,대한곱창장안점,서울 동대문구 천호대로85길 21-0,맛집,외국식,장한평역,37.56298604,127.0662915,장한평
7,대한닭발1979본점,서울 동대문구 장한로 116-0,맛집,한식,장한평역,37.57073273,127.0710615,장한평
8,더모임,서울 동대문구 왕산로 6-0,맛집,외국식,신설동역,37.57572444,127.0244608,신설동
9,레알라면,서울 동대문구 회기로25길 23-5,맛집,간이음식,회기역,37.59112079,127.0553776,회기
10,로운샤브샤브롯데백화점청량리점,서울 동대문구 왕산로 214-0,맛집,외국식,청량리역,37.58419614,127.0511471,청량리
11,마루샤브용두직영점,서울 동대문구 왕산로 61-0,맛집,외국식,제기동역,37.57802042,127.0300389,제기동
12,먹깨비간장게장해물아구찜,서울 동대문구 장한로 92-0,맛집,외국식,장한평역,37.56881082,127.0698438,장한평
13,명륜진사갈비장안점,서울 동대문구 답십리로 240-0,맛집,한식,장한평역,37.57250194,127.0668652,장한평
14,부부횟집,서울 동대문구 장한로 198-0,맛집,전문음식,장한평역,37.5780776,127.0724585,장한평
15,삼육서울병원 추모관식당,서울 동대문구 망우로 82-0,맛집,한식,회기역,37.58621194,127.0635533,회기
