업소명,주소,대분류,분류
37.5동작이수점,서울 동작구 동작대로27가길 23-0,맛집,외국식
가마솥손두부사당본점,서울 동작구 남부순환로271길 20-0,맛집,한식
고봉삼계탕중앙대점,서울 동작구 서달로 166-0,맛집,한식
낙성곱창,서울 동작구 동작대로19길 60-0,맛집,외국식
낙지세상신대방본점,서울 동작구 대림로 57-0,맛집,외국식
낙지한마리수제비상도본점,서울 동작구 상도로31길 19-0,맛집,한식
노량진컵밥거리,서울 동작구,맛집,기타음식
농실가,서울 동작구 상도로 142-0,맛집,한식
늘보리,서울 동작구 상도로26길 19-0,맛집,한식
다래식당,서울 동작구 만양로2길 2-0,맛집,한식
다채대방점,서울 동작구 알마타길 6-0,맛집,한식
닥터로빈흑석점,서울 동작구 현충로 124-0,맛집,외국식
단아한정식,서울 동작구 동작대로27가길 44-0,맛집,한식
대방싸리집,서울 동작구 여의대방로26길 24-0,맛집,한식
대성관,서울 동작구 여의대방로 204-1,맛집,외국식
더한강,서울 동작구 노량진로32길 29-6,맛집,카페/찻집
동작노을카페,서울 동작구 동작대로 335-0,맛집,카페/찻집
등나무집,서울 동작구 대림로 52-0,맛집,한식
뚜스뚜스흑석역점,서울 동작구 현충로 75-0,맛집,카페/찻집
라시에스타,서울 동작구 동작대로 21-0,맛집,외국식
망향비빔국수동작점,서울 동작구 상도로 319-0,맛집,한식
명륜진사갈비서울상도점,서울 동작구 상도로 128-0,맛집,한식
미분당신대방삼거리점,서울 동작구 보라매로19길 25-0,맛집,외국식
반디앤스타,서울 동작구 신대방1가길 38-0,맛집,외국식
방배김밥,서울 동작구 동작대로27길 59-16,맛집,간이음식
백제갈비,서울 동작구 사당로 231-0,맛집,한식
보라매볼링장,서울 동작구 보라매로5가길 16-0,맛집,한식
사리원,서울 동작구 상도로50길 2-15,맛집,한식
상도면옥,서울 동작구 성대로1길 3-0,맛집,한식
서일순대국,서울 동작구 여의대방로24길 10-4,맛집,한식
서일순대국전문,서울 동작구 여의대방로24길 16-0,맛집,한식
설빙보라매점,서울 동작구 보라매로3길 29-0,맛집,카페/찻집
세녹,서울 동작구 사당로 304-0,맛집,카페/찻집
세종대왕숯불갈비보라매점,서울 동작구 여의대방로 136-0,맛집,한식
소담촌사당직영점,서울 동작구 동작대로 43-0,맛집,외국식
순천집,서울 동작구 노량진로 80-0,맛집,외국식
스시로로,서울 동작구 동작대로23길 29-0,맛집,외국식
시간을들이다본점,서울 동작구 국사봉5길 4-0,맛집,간이음식
신도세기보라매점,서울 동작구 보라매로5길 43-0,맛집,한식
신온누리에생돈까스대방점,서울 동작구 여의대방로24길 107-0,맛집,외국식
아웃백스테이크하우스신대방점,서울 동작구 보라매로5가길 16-0,맛집,전문음식
애플하우스이수점,서울 동작구 동작대로27다길 29-0,맛집,간이음식
약초마을,서울 동작구 노량진로 26-0,맛집,한식
어촌,서울 동작구 상도로 122-0,맛집,한식
오페뜨총신대점,서울 동작구 사당로 178-0,맛집,카페/찻집
우부래도,서울 동작구 상도로37길 3-0,맛집,간이음식
은희네온집닭떡볶이,서울 동작구 상도로41길 35-0,맛집,간이음식
일진아구찜,서울 동작구 여의대방로24길 93-0,맛집,한식
쟝블랑제리이수직영점,서울 동작구 동작대로23길 8-0,맛집,간이음식
전주전집,서울 동작구 동작대로7길 19-0,맛집,외국식
조가네갑오징어사당점,서울 동작구 남부순환로271길 24-0,맛집,외국식
조선화로집상도역점,서울 동작구 상도로 263-6,맛집,한식
차이30,서울 동작구 보라매로5길 15-0,맛집,외국식
천외천,서울 동작구 만양로 19-0,맛집,외국식
청와옥사당직영점,서울 동작구 동작대로 71-0,맛집,한식
초록애대방점,서울 동작구 여의대방로54길 5-0,맛집,한식
초와밥,서울 동작구 동작대로5길 8-0,맛집,외국식
침사추이,서울 동작구 현충로 131-0,맛집,외국식
컵오브커브,서울 동작구 현충로 99-0,맛집,카페/찻집
쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,맛집,외국식
팔각도이수역점,서울 동작구 동작대로27다길 12-0,맛집,외국식
한울갈비,서울 동작구 동작대로1길 9-0,맛집,한식
형제상회,서울 동작구 노들로 688-0,맛집,외국식
희래등,서울 동작구 등용로 123-0,맛집,외국식
