,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,37.5동작이수점,서울 동작구 동작대로27가길 23-0,맛집,외국식,이수역,37.48653799,126.9813502,이수
1,가마솥손두부사당본점,서울 동작구 남부순환로271길 20-0,맛집,한식,사당역,37.4777354,126.9801955,사당
2,고봉삼계탕중앙대점,서울 동작구 서달로 166-0,맛집,한식,상도역,37.50776441,126.9628813,상도
3,낙성곱창,서울 동작구 동작대로19길 60-0,맛집,외국식,이수역,37.4836193,126.9783628,이수
4,낙지세상신대방본점,서울 동작구 대림로 57-0,맛집,외국식,신대방역,37.4882009,126.9071155,신대방
5,낙지한마리수제비상도본점,서울 동작구 상도로31길 19-0,맛집,한식,장승배기역,37.50623587,126.9445418,장승배기
6,노량진컵밥거리,서울 동작구,맛집,기타음식,노량진역,37.51248204,126.9393151,노량진
7,농실가,서울 동작구 상도로 142-0,맛집,한식,장승배기역,37.50244334,126.9354442,장승배기
8,늘보리,서울 동작구 상도로26길 19-0,맛집,한식,장승배기역,37.50414463,126.9386778,장승배기
9,다래식당,서울 동작구 만양로2길 2-0,맛집,한식,상도역,37.50626337,126.9477383,상도
10,다채대방점,서울 동작구 알마타길 6-0,맛집,한식,대방역,37.50985709,126.9249542,대방
11,단아한정식,서울 동작구 동작대로27가길 44-0,맛집,한식,이수역,37.48565573,126.9808147,이수
12,대방싸리집,서울 동작구 여의대방로26길 24-0,맛집,한식,보라매역,37.49919404,126.9217254,보라매
13,등나무집,서울 동작구 대림로 52-0,맛집,한식,신대방역,37.48816696,126.9079542,신대방
14,라시에스타,서울 동작구 동작대로 21-0,맛집,외국식,사당역,37.47848162,126.9813621,사당
15,망향비빔국수동작점,서울 동작구 상도로 319-0,맛집,한식,상도역,37.49965566,126.9510769,상도
16,미분당신대방삼거리점,서울 동작구 보라매로19길 25-0,맛집,외국식,신대방삼거리역,37.49778512,126.9263227,신대방삼거리
17,방배김밥,서울 동작구 동작대로27길 59-16,맛집,간이음식,이수역,37.48812497,126.9784035,이수
18,백제갈비,서울 동작구 사당로 231-0,맛집,한식,남성역,37.48370105,126.9736557,남성
19,사리원,서울 동작구 상도로50길 2-15,맛집,한식,상도역,37.49915244,126.9506292,상도
20,상도면옥,서울 동작구 성대로1길 3-0,맛집,한식,신대방삼거리역,37.50046611,126.9325882,신대방삼거리
21,서일순대국,서울 동작구 여의대방로24길 10-4,맛집,한식,보라매역,37.49791433,126.9209109,보라매
22,서일순대국전문,서울 동작구 여의대방로24길 16-0,맛집,한식,보라매역,37.49786484,126.9211365,보라매
23,설빙보라매점,서울 동작구 보라매로3길 29-0,맛집,카페/찻집,신대방역,37.49121134,126.9249903,신대방
