업소명,주소,대분류,분류
VIPS합정역점,서울 마포구 월드컵로1길 14-0,맛집,외국식
각시보쌈,서울 마포구 성지길 25-0,맛집,외국식
감나무집기사식당,서울 마포구 연남로 23-0,맛집,한식
감성타코&그릴합정점,서울 마포구 월드컵로3길 14-0,맛집,외국식
경복궁서교점,서울 마포구 월드컵북로 37-0,맛집,한식
고구려홍대점,서울 마포구 월드컵북로 14-0,맛집,한식
고도식마포점,서울 마포구 마포대로1길 16-0,맛집,한식
괴르츠,서울 마포구 토정로 136-13,맛집,외국식
교다이야,서울 마포구 성지길 39-0,맛집,외국식
김영섭초밥,서울 마포구 월드컵북로 352-18,맛집,외국식
능라도마포점,서울 마포구 마포대로 25-0,맛집,한식
대도식당마포대로점,서울 마포구 마포대로 19-0,맛집,한식
덕승재,서울 마포구 월드컵북로 361-0,맛집,한식
두껍삼마포직영점,서울 마포구 독막로 331-0,맛집,한식
딥커피,서울 마포구 동교로 209-0,맛집,카페/찻집
랜디스도넛연남점,서울 마포구 동교로 247-0,맛집,간이음식
램랜드,서울 마포구 토정로 255-0,맛집,외국식
리치몬드과자점성산본점,서울 마포구 월드컵북로 86-0,맛집,간이음식
마루심마포점,서울 마포구 토정로 316-0,맛집,외국식
마키노차야마포점,서울 마포구 마포대로 92-0,맛집,외국식
마포양지설렁탕,서울 마포구 새창로 6-0,맛집,한식
마포옥,서울 마포구 토정로 312-0,맛집,한식
마포원조떡볶이,서울 마포구 도화2길 3-0,맛집,간이음식
마포진짜원조최대포본점,서울 마포구 마포대로 112-4,맛집,한식
만복기사식당,서울 마포구 희우정로 121-0,맛집,한식
맛이차이나,서울 마포구 독막로 68-0,맛집,외국식
망원동즉석우동,서울 마포구 동교로 83-0,맛집,외국식
명인갈비,서울 마포구 연남로 85-0,맛집,한식
몽중헌공덕점,서울 마포구 마포대로 92-0,맛집,외국식
무대륙,서울 마포구 토정로5길 12-0,맛집,카페/찻집
물결한강,서울 마포구 마포나루길 296-0,맛집,카페/찻집
바다회사랑,서울 마포구 동교로27길 60-0,맛집,외국식
바다회사랑2호점,서울 마포구 동교로 143-0,맛집,외국식
복성각마포본점,서울 마포구 마포대로 63-8,맛집,외국식
봉피양마포점,서울 마포구 토정로 308-0,맛집,한식
부영각,서울 마포구 토정로 268-0,맛집,외국식
비파티세리공덕점,서울 마포구 마포대로14길 4-0,맛집,카페/찻집
빈브라더스합정점,서울 마포구 토정로 35-1,맛집,카페/찻집
산리오러버스클럽,서울 마포구 와우산로19길 18-0,맛집,카페/찻집
삿뽀로홍대점,서울 마포구 월드컵북로 14-0,맛집,외국식
색동저고리마포점,서울 마포구 도화길 27-0,맛집,한식
서강8경,서울 마포구 토정로 128-0,맛집,외국식
서룡,서울 마포구 월드컵북로 361-0,맛집,외국식
소금집델리망원점,서울 마포구 월드컵로19길 14-0,맛집,외국식
소이연남,서울 마포구 동교로 267-0,맛집,외국식
송가네감자탕본점,서울 마포구 동교로 245-0,맛집,한식
송추가마골인어반마포점,서울 마포구 독막로 311-0,맛집,한식
쉐이크쉑홍대점,서울 마포구 양화로 186-0,맛집,간이음식
스케줄합정,서울 마포구 양화로6길 33-0,맛집,외국식
아소정,서울 마포구 백범로25길 9-0,맛집,한식
아웃백스테이크하우스합정점,서울 마포구 월드컵로3길 14-0,맛집,외국식
앤트러사이트합정점,서울 마포구 토정로5길 10-0,맛집,카페/찻집
양화정숯불갈비,서울 마포구 월드컵로1길 17-0,맛집,한식
어글리베이커리,서울 마포구 월드컵로13길 73-0,맛집,간이음식
역전회관,서울 마포구 토정로37길 47-0,맛집,한식
연남동카페거리,서울 마포구,맛집,기타음식
옛맛서울불고기,서울 마포구 독막로 56-0,맛집,한식
오레노라멘,서울 마포구 독막로6길 14-0,맛집,외국식
옥동식서교점,서울 마포구 양화로7길 44-10,맛집,한식
와이키키마켓,서울 마포구 마포나루길 332-0,맛집,외국식
우동카덴,서울 마포구 양화로7안길 2-1,맛집,외국식
원조조박집본관,서울 마포구 토정로 313-1,맛집,한식
을밀대본점,서울 마포구 숭문길 24-0,맛집,한식
일등식당,서울 마포구 방울내로 82-0,맛집,한식
일일향마포5호점,서울 마포구 새창로2길 15-2,맛집,외국식
저스티나,서울 마포구 양화진2길 31-0,맛집,카페/찻집
조선초가한끼,서울 마포구 독막로 288-0,맛집,한식
중화복춘골드,서울 마포구 월드컵북로6길 42-0,맛집,외국식
진미식당,서울 마포구 마포대로 186-6,맛집,외국식
진진본관,서울 마포구 잔다리로 123-0,맛집,외국식
진평925,서울 마포구 망원로 87-0,맛집,한식
창고43상암점,서울 마포구 매봉산로 75-0,맛집,한식
채그로,서울 마포구 마포대로4다길 31-0,맛집,카페/찻집
철길왕갈비살본점,서울 마포구 와우산로32길 24-0,맛집,한식
청기와타운마포용강점,서울 마포구 토정로 296-0,맛집,한식
청어람망원점,서울 마포구 망원로 97-0,맛집,외국식
카페노티드연남,서울 마포구 월드컵북로6길 12-13,맛집,카페/찻집
쿠우쿠우상암점,서울 마포구 매봉산로 80-0,맛집,외국식
탑클라우드23,서울 마포구 백범로 192-0,맛집,외국식
툭툭누들타이,서울 마포구 성미산로 161-8,맛집,외국식
포비베이직합정점,서울 마포구 양화로3길 66-0,맛집,카페/찻집
프릿츠도화점,서울 마포구 새창로2길 17-0,맛집,카페/찻집
프랑제리피어 신촌점,서울 마포구 서강로 75-16,맛집,간이음식
피오니,서울 마포구 독막로7길 51-0,맛집,카페/찻집
피오니연남점,서울 마포구 연남로 59-1,맛집,카페/찻집
핑크솔트숯불구이,서울 마포구 양화로 16-0,맛집,한식
하이디라오홍대점,서울 마포구 양화로 176-0,맛집,외국식
홍대조폭떡볶이,서울 마포구 어울마당로 60-0,맛집,간이음식
황금콩밭,서울 마포구 마포대로16길 9-0,맛집,한식
