,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,VIPS합정역점,서울 마포구 월드컵로1길 14-0,맛집,외국식,합정역,37.5500498,126.9120613,합정
1,각시보쌈,서울 마포구 성지길 25-0,맛집,외국식,합정역,37.54753542,126.9134635,합정
2,감나무집기사식당,서울 마포구 연남로 23-0,맛집,한식,홍대입구역,37.56169601,126.9220868,홍대입구
3,감성타코&그릴합정점,서울 마포구 월드컵로3길 14-0,맛집,외국식,합정역,37.55100797,126.911649,합정
4,경복궁서교점,서울 마포구 월드컵북로 37-0,맛집,한식,홍대입구역,37.55761482,126.9181744,홍대입구
5,고구려홍대점,서울 마포구 월드컵북로 14-0,맛집,한식,홍대입구역,37.55641412,126.9205069,홍대입구
6,고도식마포점,서울 마포구 마포대로1길 16-0,맛집,한식,마포역,37.53973088,126.9431424,마포
7,괴르츠,서울 마포구 토정로 136-13,맛집,외국식,상수역,37.54486886,126.925819,상수
8,교다이야,서울 마포구 성지길 39-0,맛집,외국식,합정역,37.54685579,126.9132069,합정
9,김영섭초밥,서울 마포구 월드컵북로 352-18,맛집,외국식,디지털미디어시티역,37.57766032,126.8933148,디지털미디어시티
10,능라도마포점,서울 마포구 마포대로 25-0,맛집,한식,마포역,37.53937876,126.9448336,마포
11,대도식당마포대로점,서울 마포구 마포대로 19-0,맛집,한식,마포역,37.53903118,126.944321,마포
12,덕승재,서울 마포구 월드컵북로 361-0,맛집,한식,디지털미디어시티역,37.5771097,126.8914039,디지털미디어시티
13,두껍삼마포직영점,서울 마포구 독막로 331-0,맛집,한식,공덕역,37.54300173,126.9493784,공덕
14,딥커피,서울 마포구 동교로 209-0,맛집,카페/찻집,홍대입구역,37.55872012,126.9233446,홍대입구
15,랜디스도넛연남점,서울 마포구 동교로 247-0,맛집,간이음식,홍대입구역,37.56203605,126.924167,홍대입구
16,램랜드,서울 마포구 토정로 255-0,맛집,외국식,대흥역,37.54344807,126.9388695,대흥
17,리치몬드과자점성산본점,서울 마포구 월드컵북로 86-0,맛집,간이음식,망원역,37.56141433,126.9156201,망원
18,마루심마포점,서울 마포구 토정로 316-0,맛집,외국식,마포역,37.53951912,126.9434763,마포
19,마키노차야마포점,서울 마포구 마포대로 92-0,맛집,외국식,공덕역,37.54254304,126.9521969,공덕
20,마포양지설렁탕,서울 마포구 새창로 6-0,맛집,한식,공덕역,37.54203652,126.9505092,공덕
21,마포옥,서울 마포구 토정로 312-0,맛집,한식,마포역,37.53987424,126.9433512,마포
22,마포원조떡볶이,서울 마포구 도화2길 3-0,맛집,간이음식,마포역,37.54033614,126.9487963,마포
23,마포진짜원조최대포본점,서울 마포구 마포대로 112-4,맛집,한식,공덕역,37.5445611,126.9519749,공덕
24,만복기사식당,서울 마포구 희우정로 121-0,맛집,한식,망원역,37.5552842,126.8999129,망원
25,맛이차이나,서울 마포구 독막로 68-0,맛집,외국식,상수역,37.54759981,126.9208586,상수
26,망원동즉석우동,서울 마포구 동교로 83-0,맛집,외국식,망원역,37.55424866,126.9111483,망원
27,명인갈비,서울 마포구 연남로 85-0,맛집,한식,홍대입구역,37.56627697,126.9182621,홍대입구
28,몽중헌공덕점,서울 마포구 마포대로 92-0,맛집,외국식,공덕역,37.54254304,126.9521969,공덕
29,무대륙,서울 마포구 토정로5길 12-0,맛집,카페/찻집,상수역,37.54604749,126.9183619,상수
30,물결한강,서울 마포구 마포나루길 296-0,맛집,카페/찻집,망원역,37.56056597,126.8858519,망원
31,바다회사랑,서울 마포구 동교로27길 60-0,맛집,외국식,홍대입구역,37.56041474,126.9210611,홍대입구
32,바다회사랑2호점,서울 마포구 동교로 143-0,맛집,외국식,홍대입구역,37.55549558,126.9177779,홍대입구
33,복성각마포본점,서울 마포구 마포대로 63-8,맛집,외국식,마포역,37.54225971,126.9478155,마포
34,봉피양마포점,서울 마포구 토정로 308-0,맛집,한식,마포역,37.540089,126.942906,마포
35,부영각,서울 마포구 토정로 268-0,맛집,외국식,마포역,37.54251866,126.9395073,마포
36,비파티세리공덕점,서울 마포구 마포대로14길 4-0,맛집,카페/찻집,공덕역,37.54863186,126.9550788,공덕
37,빈브라더스합정점,서울 마포구 토정로 35-1,맛집,카페/찻집,합정역,37.54572065,126.9149816,합정
38,산리오러버스클럽,서울 마포구 와우산로19길 18-0,맛집,카페/찻집,상수역,37.5513475,126.9220584,상수
39,삿뽀로홍대점,서울 마포구 월드컵북로 14-0,맛집,외국식,홍대입구역,37.55641412,126.9205069,홍대입구
40,색동저고리마포점,서울 마포구 도화길 27-0,맛집,한식,마포역,37.54087042,126.9489576,마포
41,서강8경,서울 마포구 토정로 128-0,맛집,외국식,상수역,37.5449373,126.9253383,상수
42,서룡,서울 마포구 월드컵북로 361-0,맛집,외국식,디지털미디어시티역,37.5771097,126.8914039,디지털미디어시티
43,소금집델리망원점,서울 마포구 월드컵로19길 14-0,맛집,외국식,망원역,37.55682401,126.9082359,망원
44,소이연남,서울 마포구 동교로 267-0,맛집,외국식,홍대입구역,37.56353256,126.9253779,홍대입구
45,송가네감자탕본점,서울 마포구 동교로 245-0,맛집,한식,홍대입구역,37.56183649,126.9240507,홍대입구
46,송추가마골인어반마포점,서울 마포구 독막로 311-0,맛집,한식,공덕역,37.54399651,126.9474812,공덕
47,쉐이크쉑홍대점,서울 마포구 양화로 186-0,맛집,간이음식,홍대입구역,37.55766848,126.9258931,홍대입구
48,스케줄합정,서울 마포구 양화로6길 33-0,맛집,외국식,합정역,37.54912929,126.9160816,합정
49,아소정,서울 마포구 백범로25길 9-0,맛집,한식,대흥역,37.54660449,126.9463767,대흥
50,아웃백스테이크하우스합정점,서울 마포구 월드컵로3길 14-0,맛집,외국식,합정역,37.55100797,126.911649,합정
51,앤트러사이트합정점,서울 마포구 토정로5길 10-0,맛집,카페/찻집,상수역,37.54581905,126.9184341,상수
52,양화정숯불갈비,서울 마포구 월드컵로1길 17-0,맛집,한식,망원역,37.54943508,126.9119945,망원
53,어글리베이커리,서울 마포구 월드컵로13길 73-0,맛집,간이음식,망원역,37.55503526,126.906061,망원
54,역전회관,서울 마포구 토정로37길 47-0,맛집,한식,공덕역,37.54293781,126.9470167,공덕
55,연남동카페거리,서울 마포구,맛집,기타음식,홍대입구역,37.56621419,126.9019551,홍대입구
56,옛맛서울불고기,서울 마포구 독막로 56-0,맛집,한식,상수역,37.54750773,126.9196656,상수
57,오레노라멘,서울 마포구 독막로6길 14-0,맛집,외국식,합정역,37.5474781,126.9173344,합정
58,옥동식서교점,서울 마포구 양화로7길 44-10,맛집,한식,합정역,37.55266477,126.9145275,합정
59,와이키키마켓,서울 마포구 마포나루길 332-0,맛집,외국식,망원역,37.55889604,126.8886605,망원
60,우동카덴,서울 마포구 양화로7안길 2-1,맛집,외국식,합정역,37.5516856,126.9150686,합정
61,원조조박집본관,서울 마포구 토정로 313-1,맛집,한식,마포역,37.53997161,126.9438662,마포
62,을밀대본점,서울 마포구 숭문길 24-0,맛집,한식,대흥역,37.54749267,126.9455317,대흥
63,일등식당,서울 마포구 방울내로 82-0,맛집,한식,마포구청역,37.56056511,126.9043503,마포구청
64,일일향마포5호점,서울 마포구 새창로2길 15-2,맛집,외국식,마포역,37.54114199,126.9491924,마포
65,저스티나,서울 마포구 양화진2길 31-0,맛집,카페/찻집,합정역,37.54772848,126.9108814,합정
66,조선초가한끼,서울 마포구 독막로 288-0,맛집,한식,대흥역,37.54443307,126.944966,대흥
67,중화복춘골드,서울 마포구 월드컵북로6길 42-0,맛집,외국식,홍대입구역,37.55875711,126.920821,홍대입구
68,진미식당,서울 마포구 마포대로 186-6,맛집,외국식,애오개역,37.55060775,126.9558023,애오개
69,진진본관,서울 마포구 잔다리로 123-0,맛집,외국식,망원역,37.55781153,126.9132782,망원
70,진평925,서울 마포구 망원로 87-0,맛집,한식,망원역,37.55794393,126.9063819,망원
71,창고43상암점,서울 마포구 매봉산로 75-0,맛집,한식,디지털미디어시티역,37.57845183,126.8928994,디지털미디어시티
72,채그로,서울 마포구 마포대로4다길 31-0,맛집,카페/찻집,마포역,37.53565159,126.9442586,마포
73,철길왕갈비살본점,서울 마포구 와우산로32길 24-0,맛집,한식,서강대역,37.5545423,126.9315767,서강대
74,청기와타운마포용강점,서울 마포구 토정로 296-0,맛집,한식,마포역,37.54069513,126.9420419,마포
75,청어람망원점,서울 마포구 망원로 97-0,맛집,외국식,망원역,37.55810647,126.907522,망원
76,카페노티드연남,서울 마포구 월드컵북로6길 12-13,맛집,카페/찻집,홍대입구역,37.55771176,126.9201367,홍대입구
77,쿠우쿠우상암점,서울 마포구 매봉산로 80-0,맛집,외국식,디지털미디어시티역,37.57852975,126.8942848,디지털미디어시티
