업소명,주소,대분류,분류
37.5DMC가재울점,서울 서대문구 가재울미래로 17-0,맛집,외국식
SICTAC이대하늬솔점,서울 서대문구 성산로 527-0,맛집,외국식
가미분식,서울 서대문구 이화여대8길 2-0,맛집,간이음식
가타쯔무리,서울 서대문구 명지대길 72-0,맛집,외국식
강수사,서울 서대문구 연희로 157-0,맛집,외국식
고미정,서울 서대문구 연희로26길 28-0,맛집,한식
그로어스,서울 서대문구 연희로27길 52-0,맛집,외국식
난향,서울 서대문구 신촌로 67-0,맛집,외국식
노아스로스팅연희점,서울 서대문구 연희로 160-0,맛집,카페/찻집
녹원쌈밥,서울 서대문구 연희로25길 22-0,맛집,한식
데스툴,서울 서대문구 연희로25길 98-0,맛집,카페/찻집
도깨비우동,서울 서대문구 증가로 250-0,맛집,외국식
등촌샤브칼국수명지대점,서울 서대문구 모래내로 273-0,맛집,외국식
뚜레쥬르무악재점,서울 서대문구 통일로 363-0,맛집,간이음식
라이라이,서울 서대문구 연희로15길 27-0,맛집,외국식
락희안가좌본점,서울 서대문구 가재울로4길 53-0,맛집,외국식
로덴드론연희점,서울 서대문구 연희로25길 82-0,맛집,카페/찻집
르솔레이,서울 서대문구 연희맛로 7-29,맛집,간이음식
만동제과,서울 서대문구 연희로 32-0,맛집,간이음식
맛있는집,서울 서대문구 거북골로20길 55-0,맛집,간이음식
맛있는칼국수,서울 서대문구 불광천길 150-0,맛집,한식
모래내곱창,서울 서대문구 증가로10길 26-0,맛집,외국식
모래내설농탕본점,서울 서대문구 모래내로 271-0,맛집,한식
목란,서울 서대문구 연희로15길 21-0,맛집,외국식
문화촌초밥집,서울 서대문구 세무서7길 12-6,맛집,외국식
민스키친연희점,서울 서대문구 연희맛로 7-0,맛집,한식
백년약수골,서울 서대문구 백련사길 99-0,맛집,한식
벽제갈비신촌점,서울 서대문구 명물길 22-0,맛집,한식
빈플루,서울 서대문구 응암로 118-0,맛집,카페/찻집
사조미가,서울 서대문구 통일로 107-39,맛집,한식
소담촌홍제점,서울 서대문구 통일로 413-0,맛집,한식
수빈,서울 서대문구 연희로25길 31-3,맛집,한식
시오,서울 서대문구 연희로11가길 23-0,맛집,외국식
아웃백스테이크하우스신촌점,서울 서대문구 연세로12길 33-0,맛집,외국식
아워온즈,서울 서대문구 연희맛로 45-0,맛집,카페/찻집
앤트러사이트연희점,서울 서대문구 연희로 135-0,맛집,카페/찻집
엄마손떡볶이,서울 서대문구 증가로10길 37-0,맛집,간이음식
연경연희점,서울 서대문구 연희로 145-0,맛집,외국식
연남장,서울 서대문구 연희로5길 22-0,맛집,간이음식
연대북문우리집,서울 서대문구 연희로26길 23-0,맛집,한식
연탄생고기집,서울 서대문구 홍제천로 76-0,맛집,한식
연희곰탕,서울 서대문구 증가로 17-0,맛집,한식
연희김밥본점,서울 서대문구 연희로11가길 2-0,맛집,간이음식
연희녹두삼계탕,서울 서대문구 연희맛로 43-1,맛집,한식
연희동손칼국수본점,서울 서대문구 연희맛로 37-0,맛집,한식
연희보리밥,서울 서대문구 연희맛로 33-0,맛집,한식
연희예술극장,서울 서대문구 연희맛로 2-3,맛집,카페/찻집
영양센타모래내점,서울 서대문구 모래내로 271-0,맛집,한식
우자매순대국,서울 서대문구 거북골로24길 65-0,맛집,한식
월순철판동태찜연희본점,서울 서대문구 연희맛로 17-14,맛집,한식
이정희떡볶이,서울 서대문구 증가로10길 14-0,맛집,간이음식
이화원,서울 서대문구 연희맛로 13-0,맛집,외국식
정육면체,서울 서대문구 연세로5다길 22-8,맛집,외국식
조은집,서울 서대문구 연희맛로 43-0,맛집,한식
지호한방삼계탕연희점,서울 서대문구 연희로25길 10-0,맛집,한식
진보,서울 서대문구 연희맛로 9-0,맛집,외국식
짚불집,서울 서대문구 연희로8길 5-3,맛집,한식
철길떡볶이,서울 서대문구 충정로 35-6,맛집,간이음식
청송함흥냉면,서울 서대문구 연희맛로 6-0,맛집,한식
카덴,서울 서대문구 연희로 173-0,맛집,외국식
콘하스연희점,서울 서대문구 연희로27길 99-0,맛집,카페/찻집
쿳사,서울 서대문구 증가로 48-0,맛집,카페/찻집
크리스피크림도넛가좌역점,서울 서대문구 수색로 56-0,맛집,간이음식
키친봄날,서울 서대문구 신촌로11길 62-0,맛집,간이음식
타코벨신촌점,서울 서대문구 연세로 26-1,맛집,외국식
티원연세대점 [중식],서울 서대문구 연세로 50-0,맛집,외국식
평택고여사집냉면,서울 서대문구 연희로 81-9,맛집,한식
폴앤폴리나연희점,서울 서대문구 연희로11길 56-0,맛집,간이음식
프로토콜,서울 서대문구 연희로 109-0,맛집,카페/찻집
피터팬1978본점,서울 서대문구 증가로 10-0,맛집,간이음식
하노이의아침연희점,서울 서대문구 연희맛로 10-0,맛집,외국식
한옥집,서울 서대문구 통일로9길 12-0,맛집,한식
한옥집김치찜본점,서울 서대문구 통일로9길 12-0,맛집,한식
한촌설렁탕북가좌점,서울 서대문구 응암로 67-0,맛집,한식
형제갈비,서울 서대문구 명물1길 2-0,맛집,한식
호천식당,서울 서대문구 연희로14길 5-0,맛집,한식
홍은손칼국수전문점,서울 서대문구 홍은중앙로 27-0,맛집,한식
