,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,37.5DMC가재울점,서울 서대문구 가재울미래로 17-0,맛집,외국식,가좌역,37.57075584,126.9168774,가좌
1,SICTAC이대하늬솔점,서울 서대문구 성산로 527-0,맛집,외국식,이대역,37.5637751,126.9440902,이대
2,가미분식,서울 서대문구 이화여대8길 2-0,맛집,간이음식,이대역,37.5586536,126.9459207,이대
3,가타쯔무리,서울 서대문구 명지대길 72-0,맛집,외국식,새절역,37.58322931,126.9234286,새절
4,강수사,서울 서대문구 연희로 157-0,맛집,외국식,홍대입구역,37.5713635,126.9342059,홍대입구
5,고미정,서울 서대문구 연희로26길 28-0,맛집,한식,홍대입구역,37.57270329,126.9370328,홍대입구
6,그로어스,서울 서대문구 연희로27길 52-0,맛집,외국식,홍대입구역,37.57228257,126.9333349,홍대입구
7,난향,서울 서대문구 신촌로 67-0,맛집,외국식,신촌역,37.55650346,126.9340422,신촌
8,노아스로스팅연희점,서울 서대문구 연희로 160-0,맛집,카페/찻집,홍대입구역,37.57143824,126.9349463,홍대입구
9,녹원쌈밥,서울 서대문구 연희로25길 22-0,맛집,한식,홍대입구역,37.57248124,126.934146,홍대입구
10,데스툴,서울 서대문구 연희로25길 98-0,맛집,카페/찻집,홍대입구역,37.56955349,126.931826,홍대입구
11,도깨비우동,서울 서대문구 증가로 250-0,맛집,외국식,증산역,37.58334857,126.9122459,증산
12,등촌샤브칼국수명지대점,서울 서대문구 모래내로 273-0,맛집,외국식,증산역,37.57725237,126.9284214,증산
13,뚜레쥬르무악재점,서울 서대문구 통일로 363-0,맛집,간이음식,무악재역,37.58274756,126.9497808,무악재
14,라이라이,서울 서대문구 연희로15길 27-0,맛집,외국식,신사역,37.56859015,126.9304371,신사
15,락희안가좌본점,서울 서대문구 가재울로4길 53-0,맛집,외국식,홍대입구역,37.57609364,126.9241529,홍대입구
16,로덴드론연희점,서울 서대문구 연희로25길 82-0,맛집,카페/찻집,홍대입구역,37.57013291,126.9322707,홍대입구
17,르솔레이,서울 서대문구 연희맛로 7-29,맛집,간이음식,홍대입구역,37.56636908,126.9279853,홍대입구
18,만동제과,서울 서대문구 연희로 32-0,맛집,간이음식,홍대입구역,37.56153345,126.9272755,홍대입구
19,맛있는집,서울 서대문구 거북골로20길 55-0,맛집,간이음식,홍대입구역,37.58044046,126.9108437,홍대입구
