,NAME,ADDRESS_1,CATE,SUBCATE,STATION_NAME,LAT_1,LON_1
0,10꼬르소꼬모청담점,서울 강남구 압구정로 416-0,맛집,외국식,강남구청,37.52692895,127.0424039
1,JS가든청담점,서울 강남구 도산대로 318-0,맛집,외국식,강남구청,37.52184176,127.0368952
2,VIPS도곡역점,서울 강남구 남부순환로 2912-0,맛집,외국식,도곡,37.49070599,127.0561429
3,강강술래역삼점,서울 강남구 논현로 325-0,맛집,한식,역삼,37.49414845,127.0394788
4,강강술래청담점,서울 강남구 도산대로 535-0,맛집,한식,청담,37.52518026,127.0521655
5,강남면옥대치점,서울 강남구 도곡로 428-0,맛집,한식,한티,37.49746684,127.0573425
6,강남면옥본점,서울 강남구 논현로152길 34-0,맛집,한식,압구정,37.52142784,127.0309445
7,강서면옥압구정점,서울 강남구 언주로164길 19-0,맛집,한식,압구정,37.52557597,127.0351216
8,경복궁도곡점,서울 강남구 언주로 201-0,맛집,한식,매봉,37.48842728,127.048778
9,고센클래식,서울 강남구 선릉로158길 18-0,맛집,카페/찻집,강남구청,37.52521046,127.0414324
10,곰바위본점,서울 강남구 영동대로115길 10-0,맛집,외국식,봉은사,37.514892,127.0588141
11,금수복국압구정점,서울 강남구 언주로 821-0,맛집,외국식,압구정,37.52354659,127.0327954
12,긴자청담점,서울 강남구 도산대로 534-0,맛집,외국식,청담,37.52439472,127.0518573
13,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,맛집,간이음식,매봉,37.48733867,127.0515539
14,꽁티드툴레아도산점,서울 강남구 도산대로49길 39-0,맛집,카페/찻집,압구정,37.52556317,127.0368893
15,나리식당청담점,서울 강남구 선릉로152길 25-0,맛집,한식,강남구청,37.52448046,127.0416925
16,농민백암순대본점,서울 강남구 선릉로86길 40-4,맛집,한식,선릉,37.50373294,127.0529821
17,누데이크하우스도산,서울 강남구 압구정로46길 50-0,맛집,카페/찻집,압구정,37.52537037,127.0356795
18,능라도강남점,서울 강남구 삼성로 534-0,맛집,한식,삼성중앙,37.50967768,127.0555363
19,다운타우너청담,서울 강남구 도산대로53길 14-0,맛집,간이음식,압구정,37.5240649,127.0385739
20,달마시안,서울 강남구 압구정로42길 42-0,맛집,카페/찻집,압구정,37.52626703,127.0345274
21,대가방본점,서울 강남구 선릉로145길 13-0,맛집,외국식,강남구청,37.5211553,127.0385496
22,대도식당삼성직영점,서울 강남구 삼성로 545-0,맛집,한식,삼성,37.51018057,127.0544822
23,대려도,서울 강남구 역삼로 118-0,맛집,외국식,강남,37.49343157,127.03218
24,더라운드,서울 강남구 선릉로148길 37-0,맛집,외국식,강남구청,37.52301306,127.0425279
25,더라운드삼성점,서울 강남구 영동대로 648-0,맛집,외국식,청담,37.51999513,127.0576678
26,덕후선생,서울 강남구 선릉로 822-0,맛집,외국식,압구정,37.52525711,127.0401737
27,돝고기506,서울 강남구 역삼로17길 53-0,맛집,한식,역삼,37.49824827,127.0362062
28,뜨락,서울 강남구 영동대로142길 13-3,맛집,한식,청담,37.52441484,127.0555512
