업소명,주소,대분류,분류
3대삼계장인,서울 서초구 반포대로28길 56-3,맛집,한식
TODAH,서울 서초구 성촌6길 39-0,맛집,카페/찻집
VIPS반포역점,서울 서초구 나루터로4길 61-0,맛집,외국식
갈비사랑,서울 서초구 강남대로 204-0,맛집,한식
경복궁서초점,서울 서초구 서초중앙로 195-0,맛집,한식
곤드레집,서울 서초구 청룡마을1길 1-0,맛집,한식
교대곱창,서울 서초구 서초중앙로 77-0,맛집,외국식
교대이층집본점,서울 서초구 서초대로50길 24-0,맛집,한식
금수복국서초점,서울 서초구 서초중앙로24길 22-0,맛집,외국식
김영모과자점서초성당점,서울 서초구 서초대로64길 41-4,맛집,간이음식
김영모과자점신반포점,서울 서초구 신반포로 100-0,맛집,간이음식
대나무골,서울 서초구 법원로3길 15-0,맛집,한식
대도식당강남대로점,서울 서초구 강남대로 567-0,맛집,한식
더리버,서울 서초구 동작대로 350-0,맛집,외국식
동작구름카페,서울 서초구 동작대로 350-0,맛집,카페/찻집
딘타이펑강남역점,서울 서초구 서초대로73길 12-0,맛집,외국식
라그릴리아양재점,서울 서초구 남부순환로 2620-0,맛집,외국식
리숨두부,서울 서초구 원터4길 7-0,맛집,한식
마루심본점,서울 서초구 고무래로10길 10-0,맛집,외국식
모나크비스트로,서울 서초구,맛집,외국식
모던눌랑반포센트럴시티점,서울 서초구 사평대로 205-0,맛집,외국식
몽중헌반포점,서울 서초구 서초중앙로 249-0,맛집,외국식
무한쌈밥집,서울 서초구 강남대로93길 23-10,맛집,한식
미우야,서울 서초구 강남대로23길 90-0,맛집,외국식
방배동카페골목,서울 서초구,맛집,기타음식
배나무골양재점,서울 서초구 마방로2길 12-0,맛집,외국식
백년옥,서울 서초구 남부순환로 2407-0,맛집,한식
밴건디스테이크하우스,서울 서초구 사평대로22길 5-0,맛집,외국식
버드나무집서초본점,서울 서초구 효령로 434-0,맛집,한식
버드나무집우면점,서울 서초구 남부순환로 2461-0,맛집,한식
봉산옥서초동본점,서울 서초구 반포대로8길 5-6,맛집,한식
봉피양양재점,서울 서초구 강남대로 283-0,맛집,한식
브루클린더버거조인트서래마을점,서울 서초구 서래로2길 27-0,맛집,간이음식
산들해반포점,서울 서초구 반포대로 287-0,맛집,한식
산들해양재동점,서울 서초구 강남대로 213-0,맛집,한식
삿뽀로서초점,서울 서초구 서초중앙로 195-0,맛집,외국식
샘밭막국수,서울 서초구 서초중앙로24길 27-0,맛집,한식
서관면옥,서울 서초구 서초대로56길 11-0,맛집,한식
서래본가,서울 서초구 사평대로 126-0,맛집,한식
서석대,서울 서초구 서초대로 346-0,맛집,한식
서초면옥서래마을점,서울 서초구 동광로 97-0,맛집,한식
설마중,서울 서초구 남부순환로 2648-0,맛집,한식
소나무집,서울 서초구 식유촌길 71-0,맛집,한식
소들녘서초점,서울 서초구 효령로 232-0,맛집,한식
소백산양재별관,서울 서초구 강남대로8길 36-0,맛집,한식
소호정본점,서울 서초구 논현로 27-0,맛집,한식
소호정신관,서울 서초구 논현로13길 1-0,맛집,한식
스시타노,서울 서초구 서래로5길 30-0,맛집,외국식
신선설농탕도곡점,서울 서초구 논현로 161-0,맛집,한식
아티제삼성타운점,서울 서초구 서초대로74길 11-0,맛집,카페/찻집
아티제서초역점,서울 서초구 반포대로27길 16-0,맛집,카페/찻집
여의도생고기내곡점,서울 서초구 신흥말길 27-9,맛집,한식
영동설렁탕,서울 서초구 강남대로101안길 24-0,맛집,한식
영동족발본점,서울 서초구 남부순환로358길 8-0,맛집,외국식
옛골토성청계산점,서울 서초구 청계산로 434-0,맛집,외국식
오발탄서초점,서울 서초구 반포대로 154-0,맛집,한식
오선채,서울 서초구 남부순환로 2634-8,맛집,한식
우참판서래본점,서울 서초구 서래로 23-0,맛집,한식
