NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
3대삼계장인,서울 서초구 반포대로28길 56-3,맛집,한식,교대역
TODAH,서울 서초구 성촌6길 39-0,맛집,카페/찻집,남부터미널역
VIPS반포역점,서울 서초구 나루터로4길 61-0,맛집,외국식,반포역
갈비사랑,서울 서초구 강남대로 204-0,맛집,한식,양재역
경복궁서초점,서울 서초구 서초중앙로 195-0,맛집,한식,교대역
곤드레집,서울 서초구 청룡마을1길 1-0,맛집,한식,교대역
교대곱창,서울 서초구 서초중앙로 77-0,맛집,외국식,교대역
교대이층집본점,서울 서초구 서초대로50길 24-0,맛집,한식,교대역
금수복국서초점,서울 서초구 서초중앙로24길 22-0,맛집,외국식,교대역
김영모과자점서초성당점,서울 서초구 서초대로64길 41-4,맛집,간이음식,교대역
대나무골,서울 서초구 법원로3길 15-0,맛집,한식,서초역
대도식당강남대로점,서울 서초구 강남대로 567-0,맛집,한식,신사역
더리버,서울 서초구 동작대로 350-0,맛집,외국식,동작역
딘타이펑강남역점,서울 서초구 서초대로73길 12-0,맛집,외국식,강남역
라그릴리아양재점,서울 서초구 남부순환로 2620-0,맛집,외국식,양재역
마루심본점,서울 서초구 고무래로10길 10-0,맛집,외국식,반포역
모던눌랑반포센트럴시티점,서울 서초구 사평대로 205-0,맛집,외국식,고속터미널역
몽중헌반포점,서울 서초구 서초중앙로 249-0,맛집,외국식,반포역
무한쌈밥집,서울 서초구 강남대로93길 23-10,맛집,한식,논현역
백년옥,서울 서초구 남부순환로 2407-0,맛집,한식,남부터미널역
밴건디스테이크하우스,서울 서초구 사평대로22길 5-0,맛집,외국식,내방역
버드나무집서초본점,서울 서초구 효령로 434-0,맛집,한식,양재역
버드나무집우면점,서울 서초구 남부순환로 2461-0,맛집,한식,남부터미널역
봉산옥서초동본점,서울 서초구 반포대로8길 5-6,맛집,한식,남부터미널역
봉피양양재점,서울 서초구 강남대로 283-0,맛집,한식,양재역
브루클린더버거조인트서래마을점,서울 서초구 서래로2길 27-0,맛집,간이음식,고속터미널역
산들해반포점,서울 서초구 반포대로 287-0,맛집,한식,고속터미널역
산들해양재동점,서울 서초구 강남대로 213-0,맛집,한식,양재역
삿뽀로서초점,서울 서초구 서초중앙로 195-0,맛집,외국식,교대역
샘밭막국수,서울 서초구 서초중앙로24길 27-0,맛집,한식,교대역
서관면옥,서울 서초구 서초대로56길 11-0,맛집,한식,교대역
서래본가,서울 서초구 사평대로 126-0,맛집,한식,고속터미널역
서석대,서울 서초구 서초대로 346-0,맛집,한식,교대역
서초면옥서래마을점,서울 서초구 동광로 97-0,맛집,한식,내방역
설마중,서울 서초구 남부순환로 2648-0,맛집,한식,양재역
소들녘서초점,서울 서초구 효령로 232-0,맛집,한식,남부터미널역
스시타노,서울 서초구 서래로5길 30-0,맛집,외국식,내방역
신선설농탕도곡점,서울 서초구 논현로 161-0,맛집,한식,매봉역
아티제삼성타운점,서울 서초구 서초대로74길 11-0,맛집,카페/찻집,강남역
아티제서초역점,서울 서초구 반포대로27길 16-0,맛집,카페/찻집,서초역
영동설렁탕,서울 서초구 강남대로101안길 24-0,맛집,한식,신사역
영동족발본점,서울 서초구 남부순환로358길 8-0,맛집,외국식,양재역
오발탄서초점,서울 서초구 반포대로 154-0,맛집,한식,서초역
오선채,서울 서초구 남부순환로 2634-8,맛집,한식,양재역
우참판서래본점,서울 서초구 서래로 23-0,맛집,한식,내방역
울돌목가는길,서울 서초구 서초대로40길 41-0,맛집,한식,서초역
이남장서초점,서울 서초구 서초대로49길 4-0,맛집,한식,교대역
이솔라,서울 서초구 올림픽대로 2085-14,맛집,외국식,잠원역
인덕원비빔국수서초점,서울 서초구 남부순환로 2656-0,맛집,한식,매봉역
임병주산동손칼국수,서울 서초구 강남대로37길 65-0,맛집,한식,양재역
장꼬방김치찌개전문,서울 서초구 효령로 364-0,맛집,한식,남부터미널역
진동둔횟집,서울 서초구 강남대로91길 18-0,맛집,외국식,논현역
채빛퀴진,서울 서초구 올림픽대로 2085-14,맛집,외국식,잠원역
챠이797서래마을점,서울 서초구 동광로 78-0,맛집,외국식,내방역
카페노티드서래,서울 서초구 방배로32길 30-9,맛집,카페/찻집,내방역
카페캐틀앤비양재점,서울 서초구 양재천로 131-0,맛집,카페/찻집,양재역
커피빈방배카페골목점,서울 서초구 방배중앙로 187-0,맛집,카페/찻집,내방역
퀸즈파크서래점,서울 서초구 동광로 95-1,맛집,외국식,내방역
크라이치즈버거양재점,서울 서초구 강남대로41길 8-0,맛집,간이음식,양재역
크리스탈제이드잠원점,서울 서초구 신반포로33길 27-0,맛집,외국식,반포역
탐라도야지본점,서울 서초구 서초대로50길 82-0,맛집,한식,교대역
태양커피,서울 서초구 서초대로25길 55-0,맛집,카페/찻집,사당역
텍사스데브라질센트럴시티점,서울 서초구 사평대로 205-0,맛집,외국식,고속터미널역
통나무집강남점,서울 서초구 헌인릉길 9-0,맛집,한식,일원역
파리크라상반포서래,서울 서초구 서래로5길 2-0,맛집,간이음식,신반포역
프릿츠양재점,서울 서초구 강남대로37길 24-11,맛집,카페/찻집,양재역
프로간장게장신사본점,서울 서초구 강남대로97길 17-0,맛집,외국식,신사역
하오차이,서울 서초구 효령로 260-0,맛집,외국식,남부터미널역
하이디라오서초지점,서울 서초구 서초대로77길 54-0,맛집,외국식,강남역
한국순대,서울 서초구 바우뫼로35길 4-0,맛집,한식,강남구청역
한국회관,서울 서초구 사평대로18길 10-0,맛집,한식,신반포역
한우다이닝울릉,서울 서초구 서운로 135-0,맛집,한식,강남역
해담채남부터미널점,서울 서초구 서초중앙로5길 10-8,맛집,한식,남부터미널역
혜장국,서울 서초구 사평대로56길 4-0,맛집,한식,신논현역
