,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,3대삼계장인,서울 서초구 반포대로28길 56-3,맛집,한식,교대역,37.49130288,127.0115914,교대
1,TODAH,서울 서초구 성촌6길 39-0,맛집,카페/찻집,남부터미널역,37.46752779,127.0226322,남부터미널
2,VIPS반포역점,서울 서초구 나루터로4길 61-0,맛집,외국식,반포역,37.50959121,127.0134667,반포
3,갈비사랑,서울 서초구 강남대로 204-0,맛집,한식,양재역,37.48247804,127.0367296,양재
4,경복궁서초점,서울 서초구 서초중앙로 195-0,맛집,한식,교대역,37.49918323,127.0120227,교대
5,곤드레집,서울 서초구 청룡마을1길 1-0,맛집,한식,교대역,37.44540504,127.0578509,교대
6,교대곱창,서울 서초구 서초중앙로 77-0,맛집,외국식,교대역,37.48867904,127.0142518,교대
7,교대이층집본점,서울 서초구 서초대로50길 24-0,맛집,한식,교대역,37.49208816,127.0128184,교대
8,금수복국서초점,서울 서초구 서초중앙로24길 22-0,맛집,외국식,교대역,37.49472412,127.0159927,교대
9,김영모과자점서초성당점,서울 서초구 서초대로64길 41-4,맛집,간이음식,교대역,37.49379271,127.0213887,교대
10,대나무골,서울 서초구 법원로3길 15-0,맛집,한식,서초역,37.49314523,127.0088375,서초
11,대도식당강남대로점,서울 서초구 강남대로 567-0,맛집,한식,신사역,37.51239375,127.0200688,신사
12,더리버,서울 서초구 동작대로 350-0,맛집,외국식,동작역,37.50576255,126.9810858,동작
13,딘타이펑강남역점,서울 서초구 서초대로73길 12-0,맛집,외국식,강남역,37.49855024,127.0257354,강남
14,라그릴리아양재점,서울 서초구 남부순환로 2620-0,맛집,외국식,양재역,37.48451441,127.037328,양재
15,마루심본점,서울 서초구 고무래로10길 10-0,맛집,외국식,반포역,37.50190081,127.0104612,반포
16,모던눌랑반포센트럴시티점,서울 서초구 사평대로 205-0,맛집,외국식,고속터미널역,37.50449212,127.0078453,고속터미널
17,몽중헌반포점,서울 서초구 서초중앙로 249-0,맛집,외국식,반포역,37.50367352,127.0106324,반포
18,무한쌈밥집,서울 서초구 강남대로93길 23-10,맛집,한식,논현역,37.51240152,127.0188512,논현
