,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,RSG성수,서울 성동구 연무장15길 11-0,맛집,카페/찻집,성수역,37.54282174,127.058906,성수
1,강남면옥성수점,서울 성동구 성수일로 77-0,맛집,한식,뚝섬역,37.54740494,127.0503435,뚝섬
2,군산아구산꽃게,서울 성동구 마장로 327-0,맛집,한식,마장역,37.5679114,127.0451576,마장
3,꿉당성수점,서울 성동구 성수이로20길 10-0,맛집,한식,성수역,37.54322764,127.0576415,성수
4,난포,서울 성동구 서울숲4길 18-8,맛집,한식,뚝섬역,37.54705171,127.0426738,뚝섬
5,다운타우너피치스,서울 성동구 연무장3길 9-0,맛집,간이음식,성수역,37.54466611,127.0513343,성수
6,대도식당본점,서울 성동구 무학로12길 3-0,맛집,한식,상왕십리역,37.56741501,127.0306567,상왕십리
7,대성갈비,서울 성동구 서울숲4길 27-0,맛집,한식,뚝섬역,37.54712708,127.0440183,뚝섬
8,도렐육지3호점,서울 성동구 연무장7길 11-0,맛집,카페/찻집,성수역,37.54378977,127.0544169,성수
9,땅코참숯구이본점,서울 성동구 행당로17길 26-0,맛집,한식,왕십리역,37.56068474,127.0330292,왕십리
10,뚝도농원,서울 성동구 아차산로 82-0,맛집,외국식,성수역,37.54513396,127.0532563,성수
11,로와이드,서울 성동구 서울숲2길 22-1,맛집,카페/찻집,뚝섬역,37.5469411,127.0410463,뚝섬
12,로우키,서울 성동구 연무장3길 6-0,맛집,카페/찻집,성수역,37.5441964,127.0515792,성수
13,롸카두들내쉬빌핫치킨성수점,서울 성동구 성수일로4길 25-0,맛집,간이음식,성수역,37.54250501,127.0518658,성수
14,르프리크,서울 성동구 연무장5길 9-16,맛집,외국식,성수역,37.54443911,127.0526591,성수
15,마리오네,서울 성동구 성수이로12길 15-0,맛집,외국식,성수역,37.53974338,127.0569105,성수
16,마장동한우촌,서울 성동구 마장로35길 68-0,맛집,한식,마장역,37.57068248,127.0412753,마장
17,메종파이프그라운드,서울 성동구 왕십리로 83-21,맛집,외국식,뚝섬역,37.54415475,127.0433578,뚝섬
18,목포산꽃게아구찜탕,서울 성동구 마장로 331-0,맛집,한식,마장역,37.56810728,127.045366,마장
19,몽련,서울 성동구 왕십리로10길 3-0,맛집,한식,뚝섬역,37.54714274,127.0450322,뚝섬
20,몽실이네토종한우,서울 성동구 마장로35길 70-0,맛집,한식,용두역,37.57064355,127.0415289,용두
21,무식당,서울 성동구 왕십리로10길 5-9,맛집,한식,뚝섬역,37.54721906,127.0452369,뚝섬
22,문츠바베큐,서울 성동구 연무장5길 6-0,맛집,외국식,성수역,37.54363416,127.0524339,성수
23,밀도,서울 성동구 왕십리로 96-0,맛집,간이음식,뚝섬역,37.54624134,127.0448831,뚝섬
24,백야드빌더성수점,서울 성동구 광나루로 152-0,맛집,카페/찻집,뚝섬역,37.55142493,127.0470523,뚝섬
25,보마켓서울숲점,서울 성동구 왕십리로 83-21,맛집,외국식,뚝섬역,37.54415475,127.0433578,뚝섬
26,본앤브레드신관,서울 성동구 마장로42길 1-0,맛집,한식,마장역,37.56679009,127.0445014,마장
27,블루보틀성수카페,서울 성동구 아차산로 7-0,맛집,카페/찻집,뚝섬역,37.54810603,127.0456414,뚝섬
28,비사벌전주콩나물국밥,서울 성동구 왕십리로6길 1-2,맛집,한식,뚝섬역,37.54628165,127.0450241,뚝섬
29,서울앵무새,서울 성동구 서울숲9길 3-0,맛집,카페/찻집,뚝섬역,37.54832072,127.0435497,뚝섬
30,성수다락,서울 성동구 뚝섬로9길 20-0,맛집,외국식,성수역,37.53992868,127.0562309,성수
31,성수동대림창고갤러리,서울 성동구 성수이로 78-0,맛집,카페/찻집,성수역,37.54163921,127.0566479,성수
32,성수동카페거리,서울 성동구,맛집,기타음식,성수역,37.56342721,127.0369301,성수
33,성수족발,서울 성동구 아차산로7길 7-0,맛집,외국식,성수역,37.54598719,127.0542707,성수
34,센터커피서울숲점,서울 성동구 서울숲2길 28-11,맛집,카페/찻집,뚝섬역,37.5465614,127.0416183,뚝섬
35,소문난성수감자탕,서울 성동구 연무장길 45-0,맛집,한식,성수역,37.54288265,127.054408,성수
36,소바식당,서울 성동구 연무장7가길 6-0,맛집,외국식,성수역,37.54301663,127.0549937,성수
37,소안도풍경성수점,서울 성동구 아차산로 126-0,맛집,한식,성수역,37.54349891,127.0580539,성수
38,송계옥성수점,서울 성동구 아차산로11길 11-0,맛집,외국식,성수역,37.54477642,127.0593473,성수
39,스시도쿠,서울 성동구 왕십리로 280-0,맛집,외국식,왕십리역,37.56020472,127.0380178,왕십리
40,쎈느,서울 성동구 연무장5길 20-0,맛집,카페/찻집,성수역,37.5448925,127.0534456,성수
41,아우프글렛,서울 성동구 독서당로51길 7-0,맛집,카페/찻집,신금호역,37.54887391,127.0262245,신금호
42,악어떡볶이,서울 성동구 마조로 33-0,맛집,간이음식,왕십리역,37.56064851,127.0410916,왕십리
43,에르제,서울 성동구 아차산로 135-0,맛집,간이음식,성수역,37.54394328,127.0589669,성수
44,오늘회성수센터,서울 성동구 성수이로 149-0,맛집,외국식,성수역,37.54838543,127.0577762,성수
45,오발탄서울숲점,서울 성동구 왕십리로 50-0,맛집,외국식,뚝섬역,37.54188662,127.0449106,뚝섬
46,오우드,서울 성동구 연무장길 101-1,맛집,카페/찻집,성수역,37.54123903,127.060542,성수
47,옥수해물찜칼국수,서울 성동구 독서당로40길 37-0,맛집,한식,옥수역,37.54185074,127.0178878,옥수
48,옹근달,서울 성동구 성수이로7길 41-1,맛집,카페/찻집,성수역,37.54273219,127.0529936,성수
49,원기옥,서울 성동구 아차산로17길 48-0,맛집,한식,어린이대공원역,37.54639376,127.0658895,어린이대공원
50,유래회관,서울 성동구 마장로 196-0,맛집,한식,상왕십리역,37.56643756,127.0315356,상왕십리
51,인더매스마장점,서울 성동구 마장로 270-0,맛집,카페/찻집,마장역,37.56554401,127.0399679,마장
52,인생한우,서울 성동구 마장로31길 43-0,맛집,한식,용두역,37.57014778,127.0381999,용두
53,일미락,서울 성동구 상원6나길 22-20,맛집,한식,오목교역,37.54762752,127.0496267,오목교
54,일일향성수점,서울 성동구 성수일로6길 47-0,맛집,외국식,압구정역,37.54429863,127.0552432,압구정
55,잠수교집성수점,서울 성동구 아차산로 137-0,맛집,한식,성수역,37.54381072,127.0593677,성수
56,전봇대집,서울 성동구 살곶이길 40-0,맛집,한식,용두역,37.57125885,127.0412652,용두
57,전풍호텔라운지,서울 성동구 무학봉28길 7-0,맛집,외국식,왕십리역,37.562202,127.0330748,왕십리
58,제스티살룬,서울 성동구 서울숲2길 19-0,맛집,간이음식,뚝섬역,37.54716291,127.0408548,뚝섬
59,제일곱창,서울 성동구 고산자로 281-0,맛집,외국식,신논현역,37.56482188,127.0359745,신논현
60,제제,서울 성동구 서울숲길 46-1,맛집,외국식,뚝섬역,37.54789661,127.0425749,뚝섬
61,조개창고왕십리점,서울 성동구 왕십리로 331-0,맛집,외국식,왕십리역,37.56263636,127.0328019,왕십리
62,중앙감속기,서울 성동구 성수일로6길 7-1,맛집,외국식,뚝섬역,37.54557352,127.0510862,뚝섬
63,진작다이닝,서울 성동구 왕십리로14나길 10-0,맛집,외국식,뚝섬역,37.54934776,127.0457057,뚝섬
64,채선당성수점,서울 성동구 왕십리로 38-0,맛집,외국식,뚝섬역,37.54100822,127.0442377,뚝섬
