NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
Neighborhood,서울 성북구 대사관로 133-0,맛집,카페/찻집,한성대입구역
VIPS프리미어미아점,서울 성북구 월계로 32-0,맛집,전문음식,미아사거리역
갈비명가이상길음신관,서울 성북구 정릉로 395-0,맛집,한식,길음역
갈비명가이상본관,서울 성북구 정릉로 364-0,맛집,한식,길음역
고른햇살,서울 성북구 개운사길 27-0,맛집,간이음식,안암역
공푸,서울 성북구 삼선교로24길 29-0,맛집,외국식,보문역
구포국수1호점,서울 성북구 성북로 52-1,맛집,한식,한성대입구역
국시집,서울 성북구 창경궁로43길 9-0,맛집,한식,한성대입구역
국화정원,서울 성북구 성북로 154-0,맛집,한식,한성대입구역
금왕돈까스,서울 성북구 성북로 138-0,맛집,외국식,한성대입구역
나폴레옹과자점본점,서울 성북구 성북로 7-0,맛집,간이음식,회현역
동우설렁탕,서울 성북구 개운사길 45-0,맛집,한식,안암역
두부촌,서울 성북구 안암로 43-0,맛집,한식,안암역
르한스,서울 성북구 정릉로10길 127-0,맛집,외국식,정릉역
메리킹서울북부점,서울 성북구 종암로 167-0,맛집,외국식,길음역
명륜진사갈비서울보문점,서울 성북구 보문로 94-0,맛집,한식,보문역
명문막국수,서울 성북구 창경궁로 319-0,맛집,한식,한성대입구역
모짜,서울 성북구 성북로 102-0,맛집,외국식,한성대입구역
문화식당,서울 성북구 혜화로 88-0,맛집,외국식,한성대입구역
미아리우동집본점,서울 성북구 종암로 176-0,맛집,외국식,길음역
밀곳간,서울 성북구 성북로18길 19-0,맛집,간이음식,한성대입구역
바람난오리궁뎅이,서울 성북구 보국문로29길 15-0,맛집,외국식,미아사거리역
배떡석계점,서울 성북구 한천로76다길 21-0,맛집,간이음식,석계역
보문골한옥집,서울 성북구 고려대로2길 77-0,맛집,한식,보문역
봉화묵집,서울 성북구 아리랑로19길 46-2,맛집,한식,성신여대입구역
블랑제메종북악,서울 성북구 성북로 156-0,맛집,카페/찻집,한성대입구역
비양도,서울 성북구 성북로 158-0,맛집,외국식,한성대입구역
삼청각한식당,서울 성북구 대사관로 3-0,맛집,한식,한성대입구역
서울노마드,서울 성북구 동소문로11길 5-0,맛집,카페/찻집,성신여대입구역
서울왕돈까스성북동본점,서울 성북구 창경궁로35다길 140-0,맛집,외국식,한성대입구역
선동보리밥,서울 성북구 성북로 134-4,맛집,한식,한성대입구역
성가네낙지마을석관점,서울 성북구 화랑로 236-0,맛집,외국식,돌곶이역
성북동돼지갈비본점,서울 성북구 성북로 115-0,맛집,한식,한성대입구역
성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9-0,맛집,한식,한성대입구역
성북동면옥집,서울 성북구 대사관로 40-0,맛집,한식,한성대입구역
성북동빵공장,서울 성북구 대사관로 40-0,맛집,간이음식,한성대입구역
성북동집,서울 성북구 성북로24길 4-0,맛집,한식,한성대입구역
손가네,서울 성북구 성북로15길 8-0,맛집,한식,한성대입구역
수아당,서울 성북구 동소문로20가길 33-0,맛집,간이음식,성신여대입구역
수연산방,서울 성북구 성북로26길 8-0,맛집,카페/찻집,한성대입구역
쌍다리돼지불백본점,서울 성북구 성북로23길 4-0,맛집,한식,한성대입구역
안동반점,서울 성북구 고려대로1길 35-1,맛집,외국식,보문역
알렉스더커피성북점,서울 성북구 성북로28길 9-0,맛집,카페/찻집,한성대입구역
옛날농장미아현대점,서울 성북구 동소문로 325-0,맛집,한식,미아사거리역
오박사네왕돈까스본점,서울 성북구 혜화로 80-0,맛집,외국식,한성대입구역
오버스토리,서울 성북구 선잠로2다길 13-13,맛집,카페/찻집,성신여대입구역
온달왕돈가스,서울 성북구 동소문로20가길 38-0,맛집,외국식,성신여대입구역
우주제빵소,서울 성북구 성북로28길 13-0,맛집,간이음식,한성대입구역
이공김밥안암본점,서울 성북구 안암로 61-6,맛집,간이음식,안암역
이웃사촌,서울 성북구 화랑로 280-0,맛집,한식,범계역
일번지정육식당돌곶이직영점,서울 성북구 화랑로 254-0,맛집,한식,돌곶이역
장원산꽃게월곡동본점,서울 성북구 오패산로 13-0,맛집,외국식,월곡역
장위기사식당,서울 성북구 돌곶이로 215-0,맛집,한식,돌곶이역
장위동유성집본점,서울 성북구 화랑로 118-0,맛집,한식,월곡역
제주은희네해장국성북길음점,서울 성북구 정릉로 307-0,맛집,한식,정릉역
조마루감자탕석관점,서울 성북구 화랑로 262-0,맛집,한식,돌곶이역
조셉의커피나무,서울 성북구 성북로31길 65-0,맛집,카페/찻집,한성대입구역
지호한방삼계탕미아점,서울 성북구 월계로 14-0,맛집,한식,미아사거리역
카페b,서울 성북구 보문로30길 71-0,맛집,카페/찻집,성신여대입구역
카페그레도,서울 성북구 화랑로 304-0,맛집,카페/찻집,석계역
커피명가안암점,서울 성북구 안암로5길 40-0,맛집,카페/찻집,신설동역
큰대문집,서울 성북구 종암로14길 6-21,맛집,한식,고려대역
태성식당,서울 성북구 화랑로33길 38-0,맛집,한식,돌곶이역
태조감자국성신여대점,서울 성북구 보문로34길 43-0,맛집,한식,성신여대입구역
팔백집,서울 성북구 보문로30길 46-0,맛집,한식,성신여대입구역
한상,서울 성북구 화랑로 248-0,맛집,한식,돌곶이역
한상차림밥상1호점,서울 성북구 고려대로8길 35-0,맛집,한식,보문역
