,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,Neighborhood,서울 성북구 대사관로 133-0,맛집,카페/찻집,한성대입구역,37.6007187,126.9951254,한성대입구
1,VIPS프리미어미아점,서울 성북구 월계로 32-0,맛집,전문음식,미아사거리역,37.61039762,127.0337891,미아사거리
2,갈비명가이상길음신관,서울 성북구 정릉로 395-0,맛집,한식,길음역,37.60388469,127.0257251,길음
3,갈비명가이상본관,서울 성북구 정릉로 364-0,맛집,한식,길음역,37.60147479,127.0236543,길음
4,고른햇살,서울 성북구 개운사길 27-0,맛집,간이음식,안암역,37.58752514,127.0291013,안암
5,공푸,서울 성북구 삼선교로24길 29-0,맛집,외국식,보문역,37.58881227,127.0161098,보문
6,구포국수1호점,서울 성북구 성북로 52-1,맛집,한식,한성대입구역,37.59251911,127.0027843,한성대입구
7,국시집,서울 성북구 창경궁로43길 9-0,맛집,한식,한성대입구역,37.58842775,127.0043041,한성대입구
8,국화정원,서울 성북구 성북로 154-0,맛집,한식,한성대입구역,37.59456399,126.9927028,한성대입구
9,금왕돈까스,서울 성북구 성북로 138-0,맛집,외국식,한성대입구역,37.59483159,126.9943851,한성대입구
10,나폴레옹과자점본점,서울 성북구 성북로 7-0,맛집,간이음식,회현역,37.58890002,127.0050617,회현
11,동우설렁탕,서울 성북구 개운사길 45-0,맛집,한식,안암역,37.58838957,127.0290559,안암
12,두부촌,서울 성북구 안암로 43-0,맛집,한식,안암역,37.58120269,127.026836,안암
13,르한스,서울 성북구 정릉로10길 127-0,맛집,외국식,정릉역,37.60413201,126.9985231,정릉
14,메리킹서울북부점,서울 성북구 종암로 167-0,맛집,외국식,길음역,37.60505876,127.0309904,길음
15,명륜진사갈비서울보문점,서울 성북구 보문로 94-0,맛집,한식,보문역,37.58371348,127.0206033,보문
16,명문막국수,서울 성북구 창경궁로 319-0,맛집,한식,한성대입구역,37.58830114,127.0048415,한성대입구
17,모짜,서울 성북구 성북로 102-0,맛집,외국식,한성대입구역,37.5930644,126.9975563,한성대입구
18,문화식당,서울 성북구 혜화로 88-0,맛집,외국식,한성대입구역,37.59275096,126.9981949,한성대입구
19,미아리우동집본점,서울 성북구 종암로 176-0,맛집,외국식,길음역,37.6056325,127.0317407,길음
20,밀곳간,서울 성북구 성북로18길 19-0,맛집,간이음식,한성대입구역,37.59411525,126.9993258,한성대입구
21,바람난오리궁뎅이,서울 성북구 보국문로29길 15-0,맛집,외국식,미아사거리역,37.61596287,127.0030095,미아사거리
22,배떡석계점,서울 성북구 한천로76다길 21-0,맛집,간이음식,석계역,37.61208488,127.0653639,석계
23,보문골한옥집,서울 성북구 고려대로2길 77-0,맛집,한식,보문역,37.58223718,127.0217459,보문
24,봉화묵집,서울 성북구 아리랑로19길 46-2,맛집,한식,성신여대입구역,37.60271382,127.0107476,성신여대입구
25,블랑제메종북악,서울 성북구 성북로 156-0,맛집,카페/찻집,한성대입구역,37.59475282,126.9923764,한성대입구
26,비양도,서울 성북구 성북로 158-0,맛집,외국식,한성대입구역,37.59456397,126.9923062,한성대입구
27,삼청각한식당,서울 성북구 대사관로 3-0,맛집,한식,한성대입구역,37.59728217,126.9835263,한성대입구
28,서울노마드,서울 성북구 동소문로11길 5-0,맛집,카페/찻집,성신여대입구역,37.5915844,127.0119084,성신여대입구
29,서울왕돈까스성북동본점,서울 성북구 창경궁로35다길 140-0,맛집,외국식,한성대입구역,37.5925377,126.9993291,한성대입구
30,선동보리밥,서울 성북구 성북로 134-4,맛집,한식,한성대입구역,37.5946944,126.9951459,한성대입구
31,성가네낙지마을석관점,서울 성북구 화랑로 236-0,맛집,외국식,돌곶이역,37.60987437,127.0557506,돌곶이
32,성북동돼지갈비본점,서울 성북구 성북로 115-0,맛집,한식,한성대입구역,37.59328727,126.9960708,한성대입구
33,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9-0,맛집,한식,한성대입구역,37.5945851,126.9904642,한성대입구
34,성북동면옥집,서울 성북구 대사관로 40-0,맛집,한식,한성대입구역,37.59589362,126.9886308,한성대입구
35,성북동빵공장,서울 성북구 대사관로 40-0,맛집,간이음식,한성대입구역,37.59589362,126.9886308,한성대입구
36,성북동집,서울 성북구 성북로24길 4-0,맛집,한식,한성대입구역,37.59445016,126.9956744,한성대입구
37,손가네,서울 성북구 성북로15길 8-0,맛집,한식,한성대입구역,37.59311371,127.000326,한성대입구
38,수아당,서울 성북구 동소문로20가길 33-0,맛집,간이음식,성신여대입구역,37.59307026,127.0180224,성신여대입구
39,수연산방,서울 성북구 성북로26길 8-0,맛집,카페/찻집,한성대입구역,37.59505307,126.9948358,한성대입구
40,쌍다리돼지불백본점,서울 성북구 성북로23길 4-0,맛집,한식,한성대입구역,37.59349872,126.9956881,한성대입구
41,안동반점,서울 성북구 고려대로1길 35-1,맛집,외국식,보문역,37.58705077,127.0189327,보문
42,알렉스더커피성북점,서울 성북구 성북로28길 9-0,맛집,카페/찻집,한성대입구역,37.59510536,126.9935172,한성대입구
43,옛날농장미아현대점,서울 성북구 동소문로 325-0,맛집,한식,미아사거리역,37.60912655,127.0292258,미아사거리
44,오박사네왕돈까스본점,서울 성북구 혜화로 80-0,맛집,외국식,한성대입구역,37.59259428,126.9989821,한성대입구
45,오버스토리,서울 성북구 선잠로2다길 13-13,맛집,카페/찻집,성신여대입구역,37.59872527,126.9996193,성신여대입구
46,온달왕돈가스,서울 성북구 동소문로20가길 38-0,맛집,외국식,성신여대입구역,37.59302237,127.0183453,성신여대입구
47,우주제빵소,서울 성북구 성북로28길 13-0,맛집,간이음식,한성대입구역,37.59521951,126.9934633,한성대입구
48,이공김밥안암본점,서울 성북구 안암로 61-6,맛집,간이음식,안암역,37.58239784,127.0284646,안암
49,이웃사촌,서울 성북구 화랑로 280-0,맛집,한식,범계역,37.61232063,127.0602018,범계
50,일번지정육식당돌곶이직영점,서울 성북구 화랑로 254-0,맛집,한식,돌곶이역,37.61080844,127.057599,돌곶이
51,장원산꽃게월곡동본점,서울 성북구 오패산로 13-0,맛집,외국식,월곡역,37.60344349,127.0371557,월곡
