,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,가락골마산아구찜,서울 송파구 송이로19길 3-0,맛집,한식,경찰병원역,37.49745788,127.1217177,경찰병원
1,강남면옥송파점,서울 송파구 법원로 55-0,맛집,한식,문정역,37.47986386,127.1217612,문정
2,경복궁방이점,서울 송파구 올림픽로 348-0,맛집,한식,몽촌토성역,37.51592311,127.1090334,몽촌토성
3,고도식,서울 송파구 백제고분로45길 28-0,맛집,한식,송파나루역,37.51035372,127.1086596,송파나루
4,고든램지버거,서울 송파구 올림픽로 300-0,맛집,간이음식,잠실역,37.51375196,127.1044469,잠실
5,골목떡볶이,서울 송파구 문정로1길 33-0,맛집,간이음식,문정역,37.48905615,127.1234696,문정
6,광화문갈비석촌호수점,서울 송파구 석촌호수로 296-0,맛집,한식,송파나루역,37.51142222,127.107771,송파나루
7,군산오징어본점,서울 송파구 삼학사로 101-0,맛집,외국식,석촌역,37.50628295,127.0970019,석촌
8,내고향횡성한우정육점식당,서울 송파구 오금로 113-0,맛집,한식,송파나루역,37.5121873,127.1084205,송파나루
9,놀부유황오리잠실점,서울 송파구 오금로 131-0,맛집,외국식,송파나루역,37.51153982,127.1099035,송파나루
10,늘푸른목장잠실본점,서울 송파구 백제고분로9길 34-0,맛집,한식,잠실새내역,37.50958784,127.08265,잠실새내
11,다운타우너잠실,서울 송파구 백제고분로45길 3-0,맛집,간이음식,송파나루역,37.50903765,127.1106654,송파나루
12,담은갈비,서울 송파구 삼전로 93-0,맛집,한식,잠실새내역,37.50685238,127.0895903,잠실새내
13,대호갈비,서울 송파구 백제고분로 83-0,맛집,한식,종합운동장역,37.50946281,127.0793243,종합운동장
14,더퍼스트클래스파티하우스송파문정점,서울 송파구 법원로 127-0,맛집,외국식,문정역,37.48629381,127.1187596,문정
15,돈까스의집,서울 송파구 삼전로 100-0,맛집,외국식,잠실새내역,37.506963,127.0906821,잠실새내
16,돈블랑송파석촌호수점,서울 송파구 석촌호수로 296-0,맛집,한식,송파나루역,37.51142222,127.107771,송파나루
17,동방명주,서울 송파구 백제고분로 2-0,맛집,외국식,종합운동장역,37.51920839,127.0765103,종합운동장
18,등촌샤브칼국수방이본점,서울 송파구 올림픽로30길 10-0,맛집,한식,잠실역,37.51484246,127.1079367,잠실
19,라라브레드송파점,서울 송파구 오금로16길 4-0,맛집,간이음식,송파나루역,37.51113268,127.1091047,송파나루
