,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,VIPS프리미어목동41타워점,서울 양천구 목동동로 293-0,맛집,외국식,오목교역,37.52817831,126.875772,오목교
1,가랑누룽지삼계탕,서울 양천구 목동동로14길 5-0,맛집,한식,목동역,37.52440427,126.872204,목동
2,강릉스낵,서울 양천구 목동동로 228-2,맛집,간이음식,오목교역,37.52576814,126.8721425,오목교
3,경복궁목동점,서울 양천구 목동동로 189-0,맛집,한식,오목교역,37.52294129,126.8701237,오목교
4,금강호민물장어신월본점,서울 양천구 남부순환로 431-0,맛집,외국식,까치산역,37.52949532,126.8330264,까치산
5,금화왕돈까스신월점,서울 양천구 화곡로 91-0,맛집,외국식,화곡역,37.53977532,126.8321698,화곡
6,나폴레옹과자점목동점,서울 양천구 목동동로 401-0,맛집,간이음식,오목교역,37.53637527,126.8811263,오목교
7,닥터로빈목동점,서울 양천구 오목로 299-0,맛집,외국식,오목교역,37.5260837,126.8703553,오목교
8,달콤커피목동역점,서울 양천구 목동로 213-0,맛집,카페/찻집,목동역,37.52747489,126.8638297,목동
9,대가,서울 양천구 신정중앙로 66-0,맛집,한식,신정역,37.5266057,126.8590707,신정
10,더브라운목동점,서울 양천구 오목로 354-0,맛집,외국식,오목교역,37.52398126,126.8767961,오목교
11,더아리엘목동점,서울 양천구 오목로 300-0,맛집,외국식,오목교역,37.5248304,126.8700225,오목교
12,동호철판낙지,서울 양천구 신월로15길 12-0,맛집,외국식,신정네거리역,37.51955239,126.8419847,신정네거리
13,락앤웍목동점,서울 양천구 목동동로 233-3,맛집,외국식,오목교역,37.52784649,126.8716543,오목교
14,락희안목동직영점,서울 양천구 오목로 330-0,맛집,외국식,오목교역,37.52443266,126.8739756,오목교
15,마루샤브목동점,서울 양천구 목동동로 339-0,맛집,외국식,오목교역,37.53217536,126.8767439,오목교
16,마실목동점,서울 양천구 목동동로 55-0,맛집,한식,양천구청역,37.51552334,126.8614004,양천구청
17,마장동김씨신정네거리역점,서울 양천구 중앙로34길 17-0,맛집,한식,신정네거리역,37.51966634,126.8537165,신정네거리
18,만복순대국,서울 양천구 목동로 219-0,맛집,한식,목동역,37.52794674,126.8638215,목동
19,망향비빔국수양천점,서울 양천구 신월로 344-0,맛집,한식,신정역,37.52162706,126.8592474,신정
20,먹자대게,서울 양천구 목동서로 213-0,맛집,외국식,오목교역,37.52801699,126.8706157,오목교
21,밥초,서울 양천구 오목로48길 10-0,맛집,외국식,목동역,37.52499714,126.8628168,목동
22,봉스시,서울 양천구 은행정로7길 25-0,맛집,외국식,신정역,37.52199514,126.8567904,신정
23,봉피양신월점,서울 양천구 신월로 112-0,맛집,한식,신정네거리역,37.51588358,126.8365441,신정네거리
24,부산돼지국밥신월점,서울 양천구 남부순환로 344-0,맛집,한식,화곡역,37.53622511,126.8277249,화곡
25,브런치빈목동점,서울 양천구 목동동로 233-3,맛집,외국식,오목교역,37.52784649,126.8716543,오목교
26,비엔나커피하우스목동7단지점,서울 양천구 목동서로 211-0,맛집,카페/찻집,오목교역,37.52796256,126.8710967,오목교
27,살구나무집칼국수,서울 양천구 중앙로32길 35-0,맛집,한식,신정네거리역,37.5195002,126.8575575,신정네거리
28,삿뽀로목동점,서울 양천구 목동동로 189-0,맛집,외국식,오목교역,37.52294129,126.8701237,오목교
29,색동저고리,서울 양천구 목동동로 411-0,맛집,한식,마포역,37.53672622,126.8822136,마포
30,서가앤쿡서울목동점,서울 양천구 오목로 286-0,맛집,외국식,목동역,37.52513079,126.8692807,목동
31,소플러스신월점,서울 양천구 화곡로 64-0,맛집,한식,화곡역,37.53905784,126.8289563,화곡
32,송추가마골인어반목동점,서울 양천구 목동동로 293-0,맛집,한식,오목교역,37.52817831,126.875772,오목교
33,스시노미찌,서울 양천구 목동동로 293-0,맛집,외국식,오목교역,37.52817831,126.875772,오목교
34,시골식당,서울 양천구 중앙로36길 22-9,맛집,한식,신정네거리역,37.51918059,126.8563432,신정네거리
35,신선설농탕목동점,서울 양천구 목동서로 349-0,맛집,한식,양천구청역,37.51740654,126.8653068,양천구청
36,아웃백스테이크하우스목동점,서울 양천구 목동동로 293-0,맛집,외국식,오목교역,37.52817831,126.875772,오목교
37,애슐리퀸즈목동행복한백화점점,서울 양천구 목동동로 309-0,맛집,외국식,오목교역,37.52914353,126.8760086,오목교
38,양천뼈다귀,서울 양천구 목동동로 258-0,맛집,한식,오목교역,37.52534139,126.8751427,오목교
39,양천옥설렁탕,서울 양천구 등촌로 86-0,맛집,한식,까치산역,37.53770404,126.8639039,까치산
40,억조1978,서울 양천구 목동동로10길 24-0,맛집,한식,오목교역,37.51935395,126.8723512,오목교
41,옛날마차,서울 양천구 신정중앙로 84-0,맛집,외국식,목동역,37.52650155,126.8609008,목동
42,오목집목동본점,서울 양천구 목동서로 155-0,맛집,외국식,오목교역,37.52999562,126.875072,오목교
43,원두막,서울 양천구 신목로 56-0,맛집,한식,오목교역,37.51985627,126.8729474,오목교
44,원조우리분식멸치국수,서울 양천구 오목로 14-0,맛집,한식,신정네거리역,37.52122037,126.8392809,신정네거리
45,은행골목동점,서울 양천구 목동서로 155-0,맛집,외국식,오목교역,37.52999562,126.875072,오목교
46,이조면옥,서울 양천구 신목로 88-0,맛집,한식,양천향교역,37.522405,126.8749487,양천향교
47,일미락,서울 양천구 목동동로 226-16,맛집,한식,오목교역,37.5254169,126.8729555,오목교
48,제주은희네해장국양천목동점,서울 양천구 오목로 321-1,맛집,한식,오목교역,37.5252739,126.8731125,오목교
49,젠틀한식탁,서울 양천구 목동동로14길 6-1,맛집,외국식,오목교역,37.52417865,126.872201,오목교
50,진대감목동점,서울 양천구 오목로 337-10,맛집,한식,오목교역,37.52521098,126.8753673,오목교
51,착한낙지목동점,서울 양천구 국회대로 289-0,맛집,외국식,목동역,37.53053052,126.8670445,목동
52,창고43목동점,서울 양천구 목동서로 159-1,맛집,한식,오목교역,37.52823182,126.8749907,오목교
53,초애삼계탕,서울 양천구 남부순환로 605-0,맛집,한식,신정네거리역,37.51505228,126.8407413,신정네거리
54,크리스피크림도넛오목교점,서울 양천구 오목로 300-0,맛집,간이음식,오목교역,37.5248304,126.8700225,오목교
