,NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
0,3일한우국밥영등포본점,서울 영등포구 영등포로 204-0,맛집,한식,-
1,63뷔페파빌리온,서울 영등포구 63로 50-0,맛집,외국식,-
2,63뷔페파빌리온,서울 영등포구 63로 50-0,맛집,전문음식,-
3,W페스타영등포점,서울 영등포구 국회대로 543-0,맛집,외국식,영등포구청역
4,가양칼국수버섯매운탕,서울 영등포구 국제금융로 78-0,맛집,한식,샛강역
5,가족천하,서울 영등포구 가마산로 330-0,맛집,한식,대림역
6,값진식육,서울 영등포구 선유로 58-4,맛집,한식,문래역
7,강강술래당산점,서울 영등포구 선유로 251-0,맛집,한식,선유도역
8,경복궁당산점,서울 영등포구 국회대로 539-0,맛집,한식,영등포구청역
9,경복궁블랙여의도IFC점 ,서울 영등포구 국제금융로 10-0,맛집,한식,여의도역
10,고봉삼계탕여의도점,서울 영등포구 국회대로72길 5-0,맛집,한식,국회의사당역
11,골목집,서울 영등포구 도림로139가길 11-0,맛집,외국식,문래역
12,그믐족발,서울 영등포구 경인로79길 21-0,맛집,외국식,문래역
13,낙지세상,서울 영등포구 신풍로 23-0,맛집,외국식,신풍역
14,능이버섯백숙,서울 영등포구 선유로 32-0,맛집,한식,문래역
15,단아여의도점 ,서울 영등포구 여의대방로67길 21-0,맛집,한식,샛강역
16,대한옥설렁탕,서울 영등포구 영등포로51길 6-0,맛집,한식,신길역
17,도쿄등심여의도점,서울 영등포구 여의나루로 50-0,맛집,한식,여의도역
18,돈블랑여의도점,서울 영등포구 여의대방로67길 11-0,맛집,한식,샛강역
19,동해도본점,서울 영등포구 은행로 25-0,맛집,외국식,국회의사당역
20,드롭탑서여의도점,서울 영등포구 국회대로70길 7-0,맛집,카페/찻집,국회의사당역
21,또순이네,서울 영등포구 선유로47길 16-0,맛집,한식,선유도역
22,뚜스뚜스선유도점,서울 영등포구 양평로 132-0,맛집,외국식,-
23,뚝심한우여의도점,서울 영등포구 국제금융로6길 26-0,맛집,한식,여의도역
24,라크라센타,서울 영등포구 문래로 92-5,맛집,카페/찻집,문래역
25,러스트베이커리,서울 영등포구 경인로79길 15-0,맛집,간이음식,문래역
26,모던눌랑여의도점 ,서울 영등포구 국제금융로8길 31-0,맛집,외국식,샛강역
27,모도우여의도점,서울 영등포구 국제금융로2길 32-0,맛집,한식,여의도역
28,문래돼지불백본점,서울 영등포구 당산로 2-1,맛집,한식,문래역
29,백리향,서울 영등포구 63로 50-0,맛집,외국식,-
30,복만루,서울 영등포구 디지털로 346-0,맛집,외국식,구로디지털단지역
31,부일갈비,서울 영등포구 영중로6길 23-8,맛집,한식,남부터미널역
32,브로트아트,서울 영등포구 국제금융로7길 3-0,맛집,카페/찻집,여의나루역
33,브루클린더버거조인트여의도점,서울 영등포구 국제금융로2길 24-0,맛집,간이음식,여의도역
34,사대부집곳간,서울 영등포구 여의대로 24-0,맛집,한식,여의도역
35,삼거리먼지막순대국,서울 영등포구 시흥대로185길 11-0,맛집,한식,신대방역
36,삿뽀로당산점,서울 영등포구 국회대로 539-0,맛집,외국식,영등포구청역
37,세상의모든아침,서울 영등포구 여의대로 24-0,맛집,외국식,여의도역
38,세상의모든아침,서울 영등포구 여의대로 24-0,맛집,전문음식,여의도역
39,소호정여의도점,서울 영등포구 국회대로 800-0,맛집,한식,국회의사당역
40,송죽장,서울 영등포구 문래로 203-0,맛집,외국식,영등포역
41,송추가마골인어반영등포점,서울 영등포구 문래로28길 25-0,맛집,한식,문래역
42,쉐프조문래본점,서울 영등포구 문래로 98-0,맛집,간이음식,문래역
43,신길동별난아찌짬뽕,서울 영등포구 영등포로62길 10-1,맛집,외국식,신길역
44,아리수만찬,서울 영등포구 노들로 111-0,맛집,한식,-
45,아웃백스테이크하우스여의도점,서울 영등포구 국제금융로8길 6-0,맛집,외국식,샛강역
46,아티제여의도점,서울 영등포구 국제금융로2길 17-0,맛집,카페/찻집,-
47,애슐리퀸즈여의도한강공원점,서울 영등포구 여의동로 290-0,맛집,외국식,-
48,양고바우설렁탕,서울 영등포구 도림로 272-0,맛집,한식,신풍역
49,어라운지선유도점,서울 영등포구 양평로28마길 9-0,맛집,카페/찻집,선유도역
50,영일분식,서울 영등포구 도림로141가길 34-1,맛집,한식,문래역
51,오발탄여의도점,서울 영등포구 여의대방로65길 20-0,맛집,한식,샛강역
52,오복수산여의도점,서울 영등포구 국제금융로2길 17-0,맛집,외국식,여의도역
53,올라여의도KBS점,서울 영등포구 의사당대로 38-0,맛집,외국식,국회의사당역
54,올라여의도파크센터점,서울 영등포구 여의대로 8-0,맛집,외국식,여의도역
55,운산,서울 영등포구 여의공원로 101-0,맛집,한식,국회의사당역
56,워킹온더클라우드,서울 영등포구 63로 50-0,맛집,외국식,-
57,원조호수삼계탕본점,서울 영등포구 도림로 274-1,맛집,한식,신풍역
58,은성회관,서울 영등포구 여의대방로65길 12-0,맛집,한식,샛강역
59,이조보쌈,서울 영등포구 당산로 244-0,맛집,외국식,당산역
60,이한스시,서울 영등포구 선유로22길 3-0,맛집,외국식,문래역
61,일심해장국,서울 영등포구 도신로 55-0,맛집,한식,신도림역
62,일일향여의도점,서울 영등포구 의사당대로 83-0,맛집,외국식,여의도역
63,잠수교집문래점,서울 영등포구 도림로 428-1,맛집,한식,문래역
64,정인면옥,서울 영등포구 국회대로76길 10-0,맛집,한식,국회의사당역
65,진주집,서울 영등포구 국제금융로6길 33-0,맛집,한식,여의도역
66,진진2호점,서울 영등포구 국회대로72길 11-0,맛집,한식,-
67,창고43샛강점,서울 영등포구 여의대방로 376-0,맛집,한식,샛강역
68,창고43여의도본점,서울 영등포구 국제금융로6길 33-0,맛집,한식,여의도역
69,청기와타운,서울 영등포구 영중로10길 32-4,맛집,한식,영등포역
70,청수,서울 영등포구 국제금융로 112-0,맛집,한식,-
71,청수,서울 영등포구 국제금융로 112-0,맛집,외국식,-
72,코끼리베이글,서울 영등포구 선유로 176-0,맛집,간이음식,영등포구청역
73,타코벨여의도메리츠점,서울 영등포구 국제금융로2길 11-0,맛집,외국식,여의도역
74,태양정육식당,서울 영등포구 문래로 92-3,맛집,한식,문래역
75,파라다이스,서울 영등포구 여의동로 252-0,맛집,외국식,도림천역
76,파리크라상더현대서울점,서울 영등포구 여의대로 108-0,맛집,간이음식,여의나루역
77,파리크라상여의도점,서울 영등포구 여의나루로4길 18-0,맛집,간이음식,여의나루역
78,폰트문래점,서울 영등포구 경인로77가길 6-0,맛집,카페/찻집,신도림역
79,푸주옥,서울 영등포구 대림로 171-0,맛집,한식,교대역
80,플로렌스파티하우스오목교점,서울 영등포구 영등포로 33-0,맛집,외국식,양평역
81,하동관국회의사당역직영점,서울 영등포구 은행로 3-0,맛집,한식,-
82,하이디라오영등포점,서울 영등포구 경인로 870-0,맛집,외국식,영등포역
83,한암동여의도점,서울 영등포구 국제금융로2길 32-0,맛집,한식,여의도역
84,해담채서여의도점,서울 영등포구 은행로 30-0,맛집,한식,국회의사당역
85,화목순대국,서울 영등포구 여의대방로 383-0,맛집,한식,샛강역
86,화사랑화로구이문래점,서울 영등포구 선유로9가길 16-0,맛집,한식,문래역
87,훈장골신길점,서울 영등포구 도신로49길 3-0,맛집,한식,영등포역
88,흑돈가여의도직영점,서울 영등포구 여의대방로69길 23-0,맛집,한식,-
