,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,3일한우국밥영등포본점,서울 영등포구 영등포로 204-0,맛집,한식,영등포시장역,37.51993431,126.9040767,영등포시장
1,63뷔페파빌리온,서울 영등포구 63로 50-0,맛집,외국식,여의나루역,37.51966416,126.9399093,여의나루
2,W페스타영등포점,서울 영등포구 국회대로 543-0,맛집,외국식,영등포구청역,37.5291591,126.8953436,영등포구청
3,가양칼국수버섯매운탕,서울 영등포구 국제금융로 78-0,맛집,한식,여의도역,37.52087248,126.9312982,여의도
4,가족천하,서울 영등포구 가마산로 330-0,맛집,한식,대림역,37.49880417,126.8963333,대림
5,값진식육,서울 영등포구 선유로 58-4,맛집,한식,문래역,37.51902876,126.8896857,문래
6,강강술래당산점,서울 영등포구 선유로 251-0,맛집,한식,당산역,37.53524218,126.896747,당산
7,경복궁당산점,서울 영등포구 국회대로 539-0,맛집,한식,영등포구청역,37.52931213,126.8948872,영등포구청
8,경복궁블랙여의도IFC점 ,서울 영등포구 국제금융로 10-0,맛집,한식,여의도역,37.52517752,126.9248767,여의도
9,고봉삼계탕여의도점,서울 영등포구 국회대로72길 5-0,맛집,한식,여의도역,37.53051314,126.9203055,여의도
10,골목집,서울 영등포구 도림로139가길 11-0,맛집,외국식,문래역,37.51335616,126.8931488,문래
11,그믐족발,서울 영등포구 경인로79길 21-0,맛집,외국식,문래역,37.51352206,126.893075,문래
12,낙지세상,서울 영등포구 신풍로 23-0,맛집,외국식,신풍역,37.50037105,126.9083637,신풍
13,능이버섯백숙,서울 영등포구 선유로 32-0,맛집,한식,문래역,37.51675718,126.8888578,문래
14,단아여의도점 ,서울 영등포구 여의대방로67길 21-0,맛집,한식,여의도역,37.52055164,126.9294754,여의도
15,대한옥설렁탕,서울 영등포구 영등포로51길 6-0,맛집,한식,신길역,37.51935552,126.9108841,신길
16,도쿄등심여의도점,서울 영등포구 여의나루로 50-0,맛집,한식,여의도역,37.52180529,126.9256512,여의도
17,돈블랑여의도점,서울 영등포구 여의대방로67길 11-0,맛집,한식,여의도역,37.51976516,126.9302412,여의도
18,동해도본점,서울 영등포구 은행로 25-0,맛집,외국식,여의도역,37.52869492,126.9213837,여의도
19,드롭탑서여의도점,서울 영등포구 국회대로70길 7-0,맛집,카페/찻집,여의도역,37.52999489,126.9199072,여의도
20,또순이네,서울 영등포구 선유로47길 16-0,맛집,한식,당산역,37.53586853,126.8953862,당산
21,뚜스뚜스선유도점,서울 영등포구 양평로 132-0,맛집,외국식,당산역,37.53851413,126.8933696,당산
22,뚝심한우여의도점,서울 영등포구 국제금융로6길 26-0,맛집,한식,여의도역,37.52195469,126.9269736,여의도
23,라크라센타,서울 영등포구 문래로 92-5,맛집,카페/찻집,문래역,37.51888808,126.8921915,문래
24,러스트베이커리,서울 영등포구 경인로79길 15-0,맛집,간이음식,문래역,37.5131908,126.8937163,문래
25,모던눌랑여의도점 ,서울 영등포구 국제금융로8길 31-0,맛집,외국식,여의도역,37.51974601,126.9280666,여의도
26,모도우여의도점,서울 영등포구 국제금융로2길 32-0,맛집,한식,여의도역,37.52386402,126.9241424,여의도
