,NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
0,패션5,서울 용산구 이태원로 272-0,맛집,카페/찻집,한강진역
1,경리단길,서울 용산구,맛집,기타음식,녹사평역
2,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,맛집,카페/찻집,-
3,몽탄,서울 용산구 백범로99길 50-0,맛집,한식,삼각지역
4,고메이494한남,서울 용산구 한남대로 91-0,맛집,외국식,한강진역
5,명동교자이태원점,서울 용산구 녹사평대로 136-0,맛집,한식,녹사평역
6,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,맛집,외국식,서빙고역
7,동아냉면이태원점,서울 용산구 대사관로 45-1,맛집,한식,한남역
8,쥬에,서울 용산구 독서당로 124-7,맛집,외국식,-
9,카페노티드한남,서울 용산구 대사관로5길 12-0,맛집,카페/찻집,이태원역
10,평양집,서울 용산구 한강대로 186-0,맛집,한식,삼각지역
11,오아시스한남점,서울 용산구 이태원로45길 30-0,맛집,카페/찻집,이태원역
12,남영돈,서울 용산구 한강대로80길 17-0,맛집,한식,숙대입구역
13,메종 한남,서울 용산구 유엔빌리지3길 24-0,맛집,외국식,-
14,나리의집,서울 용산구 이태원로 245-0,맛집,한식,한강진역
15,문배동육칼,서울 용산구 백범로90길 50-0,맛집,한식,삼각지역
16,봉피양용산점,서울 용산구 한강대로40길 31-0,맛집,한식,신용산역
17,한남북엇국,서울 용산구 독서당로 65-7,맛집,한식,한남역
18,동빙고,서울 용산구 이촌로 319-0,맛집,카페/찻집,-
19,제주식당,서울 용산구 대사관로 48-0,맛집,한식,-
20,오스테리아오르조한남,서울 용산구 한남대로20길 47-0,맛집,외국식,한남역
21,콘하스한남점,서울 용산구 이태원로55나길 22-0,맛집,카페/찻집,한강진역
22,이촌동면옥이촌직영점,서울 용산구 이촌로54길 17-0,맛집,한식,이촌역
23,오근내2닭갈비,서울 용산구 한강대로11길 13-0,맛집,외국식,용산역
24,올드페리도넛,서울 용산구 한남대로27길 66-0,맛집,카페/찻집,-
25,오만지아,서울 용산구 유엔빌리지길 14-0,맛집,외국식,한남역
26,현대본가,서울 용산구 이태원로4길 24-0,맛집,한식,삼각지역
27,현선이네용산본점,서울 용산구 한강대로39길 2-13,맛집,간이음식,신용산역
28,단비,서울 용산구 한남대로20길 21-12,맛집,한식,한남역
29,챔프커피2작업실,서울 용산구 녹사평대로26가길 24-0,맛집,카페/찻집,이태원역
30,라쿠치나본점,서울 용산구 회나무로44길 10-0,맛집,외국식,-
31,부자피자한강진1호점,서울 용산구 이태원로55가길 28-0,맛집,간이음식,한강진역
32,한와담한남본점,서울 용산구 독서당로 65-1,맛집,한식,한남역
33,IOU,서울 용산구 원효로1길 16-0,맛집,외국식,마포역
34,차이옌,서울 용산구 이촌로88길 8-0,맛집,외국식,이촌역
35,앤더슨씨나인원한남점,서울 용산구 한남대로 91-0,맛집,외국식,-
36,다운타우너한남,서울 용산구 대사관로5길 12-0,맛집,간이음식,이태원역
37,한입소반숙대본점,서울 용산구 청파로45길 3-0,맛집,간이음식,숙대입구역
38,폴바셋한남커피스테이션점,서울 용산구 한남대로 48-0,맛집,카페/찻집,한남역
39,종점숯불갈비,서울 용산구 장문로 112-0,맛집,한식,한남역
40,보니스피자펍,서울 용산구 신흥로3길 2-0,맛집,간이음식,녹사평역
41,라인드한남,서울 용산구 이태원로55길 11-0,맛집,외국식,한강진역
