,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,패션5,서울 용산구 이태원로 272-0,맛집,카페/찻집,한강진역,37.53871182,127.0020751,한강진
1,경리단길,서울 용산구,맛집,기타음식,녹사평역,37.53242743,126.9905778,녹사평
2,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,맛집,카페/찻집,이태원역,37.52438113,127.0015941,이태원
3,몽탄,서울 용산구 백범로99길 50-0,맛집,한식,삼각지역,37.53599585,126.9722454,삼각지
4,고메이494한남,서울 용산구 한남대로 91-0,맛집,외국식,한강진역,37.53656366,127.0021344,한강진
5,명동교자이태원점,서울 용산구 녹사평대로 136-0,맛집,한식,녹사평역,37.53087243,126.9909557,녹사평
6,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,맛집,외국식,이태원역,37.52125317,126.9964164,이태원
7,동아냉면이태원점,서울 용산구 대사관로 45-1,맛집,한식,한남역,37.53371007,127.0032596,한남
8,쥬에,서울 용산구 독서당로 124-7,맛집,외국식,옥수역,37.53748678,127.0127915,옥수
9,카페노티드한남,서울 용산구 대사관로5길 12-0,맛집,카페/찻집,이태원역,37.5348433,127.0008582,이태원
10,평양집,서울 용산구 한강대로 186-0,맛집,한식,삼각지역,37.53485647,126.9739683,삼각지
11,오아시스한남점,서울 용산구 이태원로45길 30-0,맛집,카페/찻집,이태원역,37.53660528,126.9979693,이태원
12,남영돈,서울 용산구 한강대로80길 17-0,맛집,한식,숙대입구역,37.54274937,126.9737758,숙대입구
13,메종 한남,서울 용산구 유엔빌리지3길 24-0,맛집,외국식,옥수역,37.53424947,127.0129218,옥수
14,나리의집,서울 용산구 이태원로 245-0,맛집,한식,한강진역,37.53690831,127.0000401,한강진
15,문배동육칼,서울 용산구 백범로90길 50-0,맛집,한식,삼각지역,37.53662284,126.9703239,삼각지
16,봉피양용산점,서울 용산구 한강대로40길 31-0,맛집,한식,신용산역,37.5303367,126.9709213,신용산
17,한남북엇국,서울 용산구 독서당로 65-7,맛집,한식,한남역,37.53395698,127.0080665,한남
18,동빙고,서울 용산구 이촌로 319-0,맛집,카페/찻집,이촌역,37.51796297,126.982327,이촌
19,제주식당,서울 용산구 대사관로 48-0,맛집,한식,이태원역,37.53335606,127.0035497,이태원
20,오스테리아오르조한남,서울 용산구 한남대로20길 47-0,맛집,외국식,한남역,37.53490149,127.0094797,한남
21,콘하스한남점,서울 용산구 이태원로55나길 22-0,맛집,카페/찻집,한강진역,37.53685225,126.9980384,한강진
22,이촌동면옥이촌직영점,서울 용산구 이촌로54길 17-0,맛집,한식,이촌역,37.52058635,126.9675667,이촌
23,오근내2닭갈비,서울 용산구 한강대로11길 13-0,맛집,외국식,용산역,37.52508771,126.9628026,용산
24,올드페리도넛,서울 용산구 한남대로27길 66-0,맛집,카페/찻집,한강진역,37.53959965,127.0030003,한강진
25,오만지아,서울 용산구 유엔빌리지길 14-0,맛집,외국식,한남역,37.53397235,127.0098302,한남
26,현대본가,서울 용산구 이태원로4길 24-0,맛집,한식,삼각지역,37.53350572,126.9753592,삼각지
27,현선이네용산본점,서울 용산구 한강대로39길 2-13,맛집,간이음식,신용산역,37.53115086,126.9692181,신용산
28,단비,서울 용산구 한남대로20길 21-12,맛집,한식,한남역,37.53522203,127.0087938,한남
29,챔프커피2작업실,서울 용산구 녹사평대로26가길 24-0,맛집,카페/찻집,이태원역,37.53249931,126.9928269,이태원
30,라쿠치나본점,서울 용산구 회나무로44길 10-0,맛집,외국식,한강진역,37.54054857,126.9964576,한강진
31,부자피자한강진1호점,서울 용산구 이태원로55가길 28-0,맛집,간이음식,한강진역,37.53726456,126.9998026,한강진
32,한와담한남본점,서울 용산구 독서당로 65-1,맛집,한식,한남역,37.53383186,127.0077462,한남
33,IOU,서울 용산구 원효로1길 16-0,맛집,외국식,마포역,37.53516407,126.9456245,마포
34,차이옌,서울 용산구 이촌로88길 8-0,맛집,외국식,이촌역,37.51825205,126.9777613,이촌
35,앤더슨씨나인원한남점,서울 용산구 한남대로 91-0,맛집,외국식,한강진역,37.53656366,127.0021344,한강진
36,다운타우너한남,서울 용산구 대사관로5길 12-0,맛집,간이음식,이태원역,37.5348433,127.0008582,이태원
37,한입소반숙대본점,서울 용산구 청파로45길 3-0,맛집,간이음식,숙대입구역,37.54410059,126.9703138,숙대입구
38,폴바셋한남커피스테이션점,서울 용산구 한남대로 48-0,맛집,카페/찻집,한남역,37.53334673,127.008171,한남
39,종점숯불갈비,서울 용산구 장문로 112-0,맛집,한식,한남역,37.52639595,127.0019639,한남
40,보니스피자펍,서울 용산구 신흥로3길 2-0,맛집,간이음식,녹사평역,37.54119022,126.9869347,녹사평
41,라인드한남,서울 용산구 이태원로55길 11-0,맛집,외국식,한강진역,37.53824881,127.000859,한강진
42,용문해장국,서울 용산구 효창원로 110-0,맛집,한식,효창공원앞역,37.53796969,126.9608836,효창공원앞
43,써머레인,서울 용산구 이태원로55가길 49-0,맛집,외국식,한강진역,37.53635969,126.9992667,한강진
44,바토스이태원점,서울 용산구 이태원로15길 1-0,맛집,외국식,이태원역,37.53461873,126.9901904,이태원
45,파리크라상한남점,서울 용산구 독서당로 78-0,맛집,간이음식,한남역,37.53395545,127.0092798,한남
46,더베이커스테이블본점,서울 용산구 녹사평대로 244-1,맛집,카페/찻집,녹사평역,37.53944936,126.9874671,녹사평
47,레에스티우지중해상점,서울 용산구 대사관로20길 5-0,맛집,외국식,한남역,37.53313954,127.0037965,한남
48,24시뼈다귀감자탕,서울 용산구 대사관로 73-1,맛집,한식,한남역,37.53353345,127.006142,한남
49,초원,서울 용산구 한강대로80길 7-0,맛집,한식,숙대입구역,37.54276054,126.9733557,숙대입구
50,뇨끼바,서울 용산구 한남대로20길 41-4,맛집,외국식,한남역,37.53501267,127.009505,한남
51,맥심플랜트,서울 용산구 이태원로 250-0,맛집,카페/찻집,한강진역,37.53698993,127.0009969,한강진
52,우스블랑,서울 용산구 효창원로70길 4-0,맛집,간이음식,효창공원앞역,37.54141227,126.9623814,효창공원앞
53,동아냉면,서울 용산구 우사단로 5-0,맛집,한식,한남역,37.53095228,126.9965648,한남
54,쌤쌤쌤,서울 용산구 한강대로50길 25-0,맛집,외국식,삼각지역,37.53157678,126.972159,삼각지
55,타르틴베이커리한남점,서울 용산구 한남대로18길 22-0,맛집,간이음식,한남역,37.53439322,127.0085428,한남
56,고메이494한남,서울 용산구 한남대로 91-0,맛집,전문음식,한강진역,37.53656366,127.0021344,한강진
57,난포한남점,서울 용산구 이태원로49길 18-0,맛집,한식,한강진역,37.53716374,126.9995023,한강진
58,쌍대포본점,서울 용산구 청파로 291-0,맛집,한식,숙대입구역,37.54558365,126.9700118,숙대입구
59,블루보틀한남카페,서울 용산구 한남대로 91-0,맛집,카페/찻집,한강진역,37.53656366,127.0021344,한강진
60,오근내닭갈비,서울 용산구 이촌로29길 15-0,맛집,외국식,용산역,37.52452321,126.9597156,용산
61,효뜨,서울 용산구 한강대로40가길 6-0,맛집,외국식,신용산역,37.53035094,126.9713078,신용산
62,갯마을한강로점,서울 용산구 서빙고로 56-0,맛집,한식,이촌역,37.52303754,126.9703364,이촌
63,비스테까,서울 용산구 회나무로 49-0,맛집,외국식,녹사평역,37.54007911,126.9920933,녹사평
64,창성옥용문본점,서울 용산구 새창로 124-10,맛집,한식,효창공원앞역,37.53639044,126.9604102,효창공원앞
65,소설한남,서울 용산구 한남대로20길 21-18,맛집,한식,한남역,37.53522065,127.0091051,한남
66,보마켓경리단점,서울 용산구 녹사평대로 286-0,맛집,외국식,녹사평역,37.5431279,126.9895145,녹사평
67,휴135,서울 용산구 이태원로55나길 6-0,맛집,한식,한강진역,37.53666612,126.9990956,한강진
68,미미옥신용산점,서울 용산구 한강대로15길 27-0,맛집,한식,용산역,37.52628257,126.9629506,용산
69,원대구탕,서울 용산구 한강대로62가길 8-0,맛집,한식,삼각지역,37.53469435,126.9742216,삼각지
70,부첼리하우스,서울 용산구 독서당로 122-1,맛집,외국식,옥수역,37.53684643,127.0128552,옥수
71,크레이트커피,서울 용산구 독서당로 97-0,맛집,카페/찻집,한남역,37.53531764,127.0107932,한남
72,리틀넥한남,서울 용산구 한남대로27길 66-0,맛집,외국식,한강진역,37.53959965,127.0030003,한강진
73,단박왕돈까스,서울 용산구 백범로90길 74-0,맛집,외국식,삼각지역,37.53807675,126.9698651,삼각지
74,일일향7호점,서울 용산구 한강대로40길 26-0,맛집,외국식,신용산역,37.53004777,126.9706246,신용산
75,눕카페,서울 용산구 신흥로26길 20-0,맛집,카페/찻집,숙대입구역,37.5451036,126.9838857,숙대입구
76,로코스비비큐경리단길본점,서울 용산구 회나무로 83-0,맛집,외국식,한강진역,37.54098714,126.9955404,한강진
77,우다움82,서울 용산구 한강대로40길 26-0,맛집,한식,응암역,37.53004777,126.9706246,응암
78,잠수교집본점,서울 용산구 장문로 81-0,맛집,한식,신용산역,37.52619792,126.9986361,신용산
79,청한남점,서울 용산구 한남대로20길 47-24,맛집,외국식,한남역,37.53536654,127.0100534,한남
80,에피세리꼴라주,서울 용산구 한남대로20길 47-24,맛집,외국식,한남역,37.53536654,127.0100534,한남
81,마오이태원점,서울 용산구 회나무로 57-0,맛집,외국식,녹사평역,37.54033478,126.9929232,녹사평
82,파리크라상이촌점,서울 용산구 이촌로 245-0,맛집,간이음식,이촌역,37.51994833,126.9744268,이촌
83,MTL효창점,서울 용산구 효창원로69길 25-0,맛집,카페/찻집,효창공원앞역,37.54203159,126.9609022,효창공원앞
84,소수,서울 용산구 한남대로20길 31-0,맛집,한식,한남역,37.53513004,127.0086889,한남
85,더백푸드트럭,서울 용산구 신흥로20길 45-1,맛집,간이음식,한강진역,37.54752722,126.9840432,한강진
86,오츠커피,서울 용산구 원효로89길 13-12,맛집,카페/찻집,남영역,37.54041276,126.9677636,남영
87,레호이,서울 용산구 소월로38가길 5-0,맛집,외국식,한강진역,37.54323355,126.9901697,한강진
88,바다식당,서울 용산구 이태원로 245-0,맛집,한식,한강진역,37.53690831,127.0000401,한강진
