,NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
0,1인1잔,서울 은평구 연서로 534-0,맛집,카페/찻집,-
1,송추가마골은평점,서울 은평구 북한산로 276-0,맛집,한식,-
2,송추가마골은평2호점,서울 은평구 북한산로 228-1,맛집,한식,-
3,아웃백스테이크하우스구파발점,서울 은평구 통일로 1080-0,맛집,외국식,구파발역
4,산들애건강밥상,서울 은평구 대서문길 43-16,맛집,한식,-
5,가야밀냉면해물칼국수,서울 은평구 대서문길 36-0,맛집,한식,-
6,만석장,서울 은평구 대서문길 43-10,맛집,한식,구파발역
7,쿠우쿠우연신내점,서울 은평구 통일로 856-0,맛집,외국식,연신내역
8,봉희설렁탕본점,서울 은평구 증산로 413-0,맛집,한식,새절역
9,만포면옥본점,서울 은평구 연서로 171-0,맛집,한식,구산역
10,양촌리은평점,서울 은평구 은평로 141-0,맛집,한식,역촌역
11,경복궁녹번점,서울 은평구 서오릉로 4-0,맛집,한식,역촌역
12,홍익돈까스은평점,서울 은평구 북한산로 232-0,맛집,외국식,-
13,벙구갈비,서울 은평구 응암로 269-0,맛집,한식,불광역
14,홍제동우동국수,서울 은평구 서오릉로 242-0,맛집,한식,-
15,롱브레드은평한옥마을점,서울 은평구 연서로 530-0,맛집,외국식,-
16,횟집울릉도,서울 은평구 서오릉로 29-4,맛집,외국식,역촌역
17,북한산제빵소,서울 은평구 연서로48길 52-0,맛집,간이음식,-
18,제주은희네해장국증산점,서울 은평구 증산로 335-0,맛집,한식,증산역
19,전문서부감자국,서울 은평구 서오릉로 8-0,맛집,한식,역촌역
20,갈현동할머니떡볶이,서울 은평구 통일로87길 8-1,맛집,간이음식,연신내역
21,효면옥,서울 은평구 증산로 429-0,맛집,한식,새절역
22,37.5녹번점,서울 은평구 통일로 636-0,맛집,카페/찻집,녹번역
23,세븐차이나,서울 은평구 북한산로 242-0,맛집,외국식,삼송역
24,삼천리골돼지집,서울 은평구 연서로54길 32-0,맛집,한식,-
25,머슴과마님,서울 은평구 응암로 369-1,맛집,한식,-
26,사슴집,서울 은평구 연서로54길 20-1,맛집,한식,-
27,청솔집,서울 은평구 연서로54길 67-0,맛집,한식,-
28,삿뽀로녹번점,서울 은평구 서오릉로 4-0,맛집,외국식,역촌역
29,모이세해장국,서울 은평구 연서로 60-0,맛집,한식,응암역
30,폴스타베이커스,서울 은평구 서오릉로 256-0,맛집,카페/찻집,-
31,역촌왕돈까스역촌본점,서울 은평구 진흥로 121-1,맛집,외국식,-
32,원조양평해장국,서울 은평구 연서로 203-0,맛집,한식,-
33,아리산채,서울 은평구 수색로 217-1,맛집,외국식,디지털미디어시티역
34,북한산큰숲베이커리,서울 은평구 북한산로 271-3,맛집,간이음식,-
35,아웃백스테이크하우스구파발점,서울 은평구 통일로 1080-0,맛집,전문음식,구파발역
36,이가네가마솥설렁탕,서울 은평구 진흥로 130-0,맛집,한식,역촌역
37,원조두꺼비집불오징어,서울 은평구 연서로28길 5-0,맛집,한식,연신내역
38,벙구갈비,서울 은평구 은평로 32-0,맛집,한식,불광역
39,오레노라멘은평점,서울 은평구 불광천길 366-0,맛집,외국식,새절역
40,제주도그릴본점,서울 은평구 응암로 373-0,맛집,한식,역촌역
41,신라갈비,서울 은평구 북한산로 281-12,맛집,한식,-
42,미스터아구DMC점,서울 은평구 수색로 190-0,맛집,한식,디지털미디어시티역
43,중화원,서울 은평구 통일로66길 10-16,맛집,외국식,불광역
44,가이오국수본점,서울 은평구 연서로 132-0,맛집,한식,-
45,본페뜨은평점,서울 은평구 통일로71길 16-0,맛집,외국식,백석역
46,채선당구산점,서울 은평구 연서로 106-0,맛집,외국식,구산역
47,보원집,서울 은평구 역말로 83-25,맛집,한식,역촌역
48,응암오거리먹자골목길,서울 은평구,맛집,기타음식,-
49,근린커피,서울 은평구 응암로21길 23-0,맛집,카페/찻집,새절역
50,금바위감자탕증산점,서울 은평구 증산로 353-0,맛집,한식,새절역
51,HUGA,서울 은평구 진관2로 19-0,맛집,카페/찻집,성신여대입구역
52,둘렛길맛집,서울 은평구 불광로18가길 49-0,맛집,한식,독바위역
53,카페볼가심,서울 은평구 진관길 10-0,맛집,카페/찻집,-
54,1인1상,서울 은평구 연서로 534-0,맛집,기타음식,-
55,쏘렌토북한산은평점,서울 은평구 북한산로 226-0,맛집,외국식,-
56,등촌샤브칼국수은평뉴타운점,서울 은평구 북한산로 277-0,맛집,한식,-
57,우주미,서울 은평구 은평로 185-0,맛집,한식,녹번역
58,신선설농탕연신내역점,서울 은평구 통일로 871-0,맛집,한식,-
59,복호두은평역촌점,서울 은평구 진흥로1길 28-0,맛집,간이음식,역촌역
60,대림시장감자국거리,서울 은평구 응암로 172-0,맛집,기타음식,새절역
61,YM에스프레소룸,서울 은평구 진관3로 67-0,맛집,카페/찻집,구파발역
62,탕면,서울 은평구 진관3로 33-0,맛집,외국식,구파발역
63,참나무본가은평점,서울 은평구 통일로 1020-0,맛집,한식,구파발역
64,쿠우쿠우연신내점,서울 은평구 통일로 856-0,맛집,전문음식,연신내역
65,둔내막국수,서울 은평구 북한산로 255-0,맛집,한식,남위례역
66,은평한우골직거래장터,서울 은평구 북한산로 271-0,맛집,한식,-
67,태조대림감자국,서울 은평구 응암로 172-0,맛집,한식,새절역
68,플롭,서울 은평구 불광천길 338-0,맛집,간이음식,새절역
69,오봉집녹번점,서울 은평구 진흥로 66-0,맛집,한식,역촌역
70,보들이쭈꾸미,서울 은평구 은평로 46-0,맛집,외국식,응암역
71,애슐리퀸즈롯데몰은평점,서울 은평구 통일로 1050-0,맛집,외국식,구파발역
72,응암동감자탕골목,서울 은평구,맛집,기타음식,새절역
73,스시쇼부,서울 은평구 은평로13길 11-9,맛집,외국식,역촌역
74,북한산갈비,서울 은평구 북한산로 281-3,맛집,한식,-
75,진곰숯불갈비,서울 은평구 증산로 345-0,맛집,한식,증산역
76,스페이스헬레나,서울 은평구 진관길 4-0,맛집,카페/찻집,-
77,동굴과화로구이,서울 은평구 은평로 185-0,맛집,한식,녹번역
78,야래향,서울 은평구 통일로 1010-0,맛집,외국식,회현역
79,서오릉피자구산역점,서울 은평구 서오릉로 124-0,맛집,간이음식,구산역
