,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,1인1잔,서울 은평구 연서로 534-0,맛집,카페/찻집,구파발역,37.64097221,126.9379431,구파발
2,송추가마골은평2호점,서울 은평구 북한산로 228-1,맛집,한식,구파발역,37.65081355,126.9375721,구파발
3,아웃백스테이크하우스구파발점,서울 은평구 통일로 1080-0,맛집,외국식,구파발역,37.63923423,126.9175304,구파발
6,만석장,서울 은평구 대서문길 43-10,맛집,한식,구파발역,37.65585506,126.9495606,구파발
7,쿠우쿠우연신내점,서울 은평구 통일로 856-0,맛집,외국식,연신내역,37.61962267,126.9215229,연신내
8,봉희설렁탕본점,서울 은평구 증산로 413-0,맛집,한식,새절역,37.59314092,126.9138467,새절
9,만포면옥본점,서울 은평구 연서로 171-0,맛집,한식,구산역,37.61414252,126.9174604,구산
10,양촌리은평점,서울 은평구 은평로 141-0,맛집,한식,역촌역,37.60087189,126.9232624,역촌
11,경복궁녹번점,서울 은평구 서오릉로 4-0,맛집,한식,역촌역,37.60201037,126.927532,역촌
12,홍익돈까스은평점,서울 은평구 북한산로 232-0,맛집,외국식,구파발역,37.65129022,126.9373356,구파발
13,벙구갈비,서울 은평구 응암로 269-0,맛집,한식,불광역,37.59600876,126.9187711,불광
14,홍제동우동국수,서울 은평구 서오릉로 242-0,맛집,한식,구산역,37.61634298,126.9078137,구산
15,롱브레드은평한옥마을점,서울 은평구 연서로 530-0,맛집,외국식,구파발역,37.64082058,126.9377883,구파발
16,횟집울릉도,서울 은평구 서오릉로 29-4,맛집,외국식,역촌역,37.60353582,126.9247666,역촌
18,제주은희네해장국증산점,서울 은평구 증산로 335-0,맛집,한식,증산역,37.58643368,126.9119046,증산
19,전문서부감자국,서울 은평구 서오릉로 8-0,맛집,한식,역촌역,37.60226075,126.9269331,역촌
20,갈현동할머니떡볶이,서울 은평구 통일로87길 8-1,맛집,간이음식,연신내역,37.62348406,126.9187659,연신내
21,효면옥,서울 은평구 증산로 429-0,맛집,한식,새절역,37.5946454,126.9142257,새절
22,37.5녹번점,서울 은평구 통일로 636-0,맛집,카페/찻집,녹번역,37.60351712,126.9353113,녹번
23,세븐차이나,서울 은평구 북한산로 242-0,맛집,외국식,삼송역,37.65198601,126.9377682,삼송
24,삼천리골돼지집,서울 은평구 연서로54길 32-0,맛집,한식,구파발역,37.64330793,126.9425908,구파발
25,머슴과마님,서울 은평구 응암로 369-1,맛집,한식,역촌역,37.60427714,126.9223683,역촌
26,사슴집,서울 은평구 연서로54길 20-1,맛집,한식,구파발역,37.6433773,126.9409276,구파발
27,청솔집,서울 은평구 연서로54길 67-0,맛집,한식,구파발역,37.64247316,126.9459936,구파발
28,삿뽀로녹번점,서울 은평구 서오릉로 4-0,맛집,외국식,역촌역,37.60201037,126.927532,역촌
29,모이세해장국,서울 은평구 연서로 60-0,맛집,한식,응암역,37.60442119,126.9159033,응암
30,폴스타베이커스,서울 은평구 서오릉로 256-0,맛집,카페/찻집,구산역,37.61718811,126.907013,구산
31,역촌왕돈까스역촌본점,서울 은평구 진흥로 121-1,맛집,외국식,역촌역,37.6076327,126.9236277,역촌
32,원조양평해장국,서울 은평구 연서로 203-0,맛집,한식,연신내역,37.61693681,126.9187134,연신내
33,아리산채,서울 은평구 수색로 217-1,맛집,외국식,디지털미디어시티역,37.57862002,126.8995338,디지털미디어시티
35,아웃백스테이크하우스구파발점,서울 은평구 통일로 1080-0,맛집,전문음식,구파발역,37.63923423,126.9175304,구파발
36,이가네가마솥설렁탕,서울 은평구 진흥로 130-0,맛집,한식,역촌역,37.60751209,126.9246559,역촌
37,원조두꺼비집불오징어,서울 은평구 연서로28길 5-0,맛집,한식,연신내역,37.61814726,126.9210547,연신내
38,벙구갈비,서울 은평구 은평로 32-0,맛집,한식,불광역,37.59797815,126.9113865,불광
39,오레노라멘은평점,서울 은평구 불광천길 366-0,맛집,외국식,새절역,37.59030365,126.9143912,새절
40,제주도그릴본점,서울 은평구 응암로 373-0,맛집,한식,역촌역,37.60456377,126.9224105,역촌
41,신라갈비,서울 은평구 북한산로 281-12,맛집,한식,구파발역,37.65565217,126.9401566,구파발
42,미스터아구DMC점,서울 은평구 수색로 190-0,맛집,한식,디지털미디어시티역,37.57866003,126.9016799,디지털미디어시티
43,중화원,서울 은평구 통일로66길 10-16,맛집,외국식,불광역,37.60995374,126.9317139,불광
44,가이오국수본점,서울 은평구 연서로 132-0,맛집,한식,구산역,37.61053808,126.9172851,구산
45,본페뜨은평점,서울 은평구 통일로71길 16-0,맛집,외국식,백석역,37.61344879,126.9260762,백석
46,채선당구산점,서울 은평구 연서로 106-0,맛집,외국식,구산역,37.6083602,126.9158698,구산
47,보원집,서울 은평구 역말로 83-25,맛집,한식,역촌역,37.60745595,126.9188027,역촌
49,근린커피,서울 은평구 응암로21길 23-0,맛집,카페/찻집,새절역,37.5941999,126.915399,새절
50,금바위감자탕증산점,서울 은평구 증산로 353-0,맛집,한식,새절역,37.58793027,126.9125703,새절
51,HUGA,서울 은평구 진관2로 19-0,맛집,카페/찻집,성신여대입구역,37.63485353,126.9195847,성신여대입구
52,둘렛길맛집,서울 은평구 불광로18가길 49-0,맛집,한식,독바위역,37.62599909,126.9336402,독바위
53,카페볼가심,서울 은평구 진관길 10-0,맛집,카페/찻집,구파발역,37.64190251,126.9395689,구파발
54,1인1상,서울 은평구 연서로 534-0,맛집,기타음식,구파발역,37.64097221,126.9379431,구파발
55,쏘렌토북한산은평점,서울 은평구 북한산로 226-0,맛집,외국식,구파발역,37.65076032,126.9370947,구파발
57,우주미,서울 은평구 은평로 185-0,맛집,한식,녹번역,37.60217174,126.9282596,녹번
59,복호두은평역촌점,서울 은평구 진흥로1길 28-0,맛집,간이음식,역촌역,37.60295931,126.9189617,역촌
60,대림시장감자국거리,서울 은평구 응암로 172-0,맛집,기타음식,새절역,37.58721976,126.9166964,새절
61,YM에스프레소룸,서울 은평구 진관3로 67-0,맛집,카페/찻집,구파발역,37.64276446,126.9209327,구파발
62,탕면,서울 은평구 진관3로 33-0,맛집,외국식,구파발역,37.63975288,126.9199455,구파발
63,참나무본가은평점,서울 은평구 통일로 1020-0,맛집,한식,구파발역,37.63336436,126.9178522,구파발
64,쿠우쿠우연신내점,서울 은평구 통일로 856-0,맛집,전문음식,연신내역,37.61962267,126.9215229,연신내
65,둔내막국수,서울 은평구 북한산로 255-0,맛집,한식,남위례역,37.65304223,126.9379368,남위례
67,태조대림감자국,서울 은평구 응암로 172-0,맛집,한식,새절역,37.58721976,126.9166964,새절
68,플롭,서울 은평구 불광천길 338-0,맛집,간이음식,새절역,37.58910295,126.9141017,새절
69,오봉집녹번점,서울 은평구 진흥로 66-0,맛집,한식,역촌역,37.60274911,126.9214992,역촌
70,보들이쭈꾸미,서울 은평구 은평로 46-0,맛집,외국식,응암역,37.59830413,126.9130966,응암
71,애슐리퀸즈롯데몰은평점,서울 은평구 통일로 1050-0,맛집,외국식,구파발역,37.63753667,126.9179003,구파발
72,응암동감자탕골목,서울 은평구,맛집,기타음식,새절역,37.60281744,126.928941,새절
73,스시쇼부,서울 은평구 은평로13길 11-9,맛집,외국식,역촌역,37.60203252,126.925052,역촌
75,진곰숯불갈비,서울 은평구 증산로 345-0,맛집,한식,증산역,37.58730505,126.9124176,증산
76,스페이스헬레나,서울 은평구 진관길 4-0,맛집,카페/찻집,구파발역,37.64211365,126.9389505,구파발
77,동굴과화로구이,서울 은평구 은평로 185-0,맛집,한식,녹번역,37.60217174,126.9282596,녹번
78,야래향,서울 은평구 통일로 1010-0,맛집,외국식,회현역,37.63279715,126.9185714,회현
79,서오릉피자구산역점,서울 은평구 서오릉로 124-0,맛집,간이음식,구산역,37.61049504,126.9190167,구산
