,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,삼청동수제비본점,서울 종로구 삼청로 101-1,맛집,한식,안국역,37.58460966,126.9819246,안국
1,토속촌삼계탕,서울 종로구 자하문로5길 5-0,맛집,한식,경복궁역,37.57760304,126.9716322,경복궁
2,더숲초소책방,서울 종로구 인왕산로 172-0,맛집,카페/찻집,무악재역,37.5859537,126.9642777,무악재
3,런던베이글뮤지엄,서울 종로구 북촌로4길 20-0,맛집,간이음식,안국역,37.57917013,126.9862027,안국
4,대성집,서울 종로구 사직로 5-0,맛집,한식,독립문역,37.57273299,126.9609312,독립문
5,황생가칼국수,서울 종로구 북촌로5길 78-0,맛집,한식,안국역,37.58007909,126.9806686,안국
6,진옥화할매원조닭한마리본점,서울 종로구 종로40가길 18-0,맛집,한식,동대문역,37.57037376,127.0056975,동대문
7,더피아노,서울 종로구 평창6길 71-0,맛집,카페/찻집,신풍역,37.61726719,126.9748006,신풍
8,스태픽스,서울 종로구 사직로9길 22-0,맛집,카페/찻집,경복궁역,37.57747279,126.967882,경복궁
9,광화문미진본점,서울 종로구 종로 19-0,맛집,한식,종각역,37.57000616,127.0028359,종각
10,카페노티드안국,서울 종로구 북촌로 6-3,맛집,카페/찻집,안국역,37.57746128,126.9860399,안국
11,테르트르,서울 종로구 낙산5길 46-0,맛집,카페/찻집,창신역,37.57822346,127.0111929,창신
12,몽중헌안국점,서울 종로구 북촌로 31-22,맛집,외국식,안국역,37.5796105,126.9838388,안국
13,청진옥본점,서울 종로구 종로3길 32-0,맛집,한식,광화문역,37.57172964,126.9794632,광화문
14,깃대봉냉면,서울 종로구 지봉로12길 3-0,맛집,한식,창신역,37.57718184,127.0157443,창신
15,혜화칼국수,서울 종로구 창경궁로35길 13-0,맛집,한식,혜화역,37.58656727,127.0015069,혜화
16,진진수라광화문점,서울 종로구 종로5길 7-0,맛집,한식,종각역,37.5706161,126.9805599,종각
17,이문설농탕,서울 종로구 우정국로 38-13,맛집,한식,종각역,37.57276142,126.983898,종각
18,나누미떡볶이성대본점,서울 종로구 성균관로 9-1,맛집,간이음식,혜화역,37.5837076,126.99792,혜화
19,경복궁관훈점,서울 종로구 인사동5길 38-0,맛집,한식,종각역,37.57258424,126.9842107,종각
20,온천집,서울 종로구 돈화문로11나길 31-8,맛집,한식,종로3가역,37.57409997,126.9897997,종로3가
21,낙산냉면,서울 종로구 지봉로5길 8-0,맛집,한식,동묘앞역,37.57448613,127.0152638,동묘앞
22,블루보틀삼청카페,서울 종로구 북촌로5길 76-0,맛집,카페/찻집,안국역,37.58015345,126.9808643,안국
23,어니언안국점,서울 종로구 계동길 5-0,맛집,카페/찻집,안국역,37.5773851,126.9863764,안국
24,송추가마골인어반광화문점,서울 종로구 새문안로5길 31-0,맛집,한식,광화문역,37.57297651,126.9743513,광화문
25,효자베이커리,서울 종로구 필운대로 54-0,맛집,간이음식,경복궁역,37.58094128,126.9686674,경복궁
26,쉐이크쉑종각점,서울 종로구 종로 33-0,맛집,간이음식,종각역,37.57033289,127.0047761,종각
27,아키비스트,서울 종로구 효자로13길 52-0,맛집,카페/찻집,경복궁역,37.58221854,126.9726787,경복궁
28,테라로사광화문지점,서울 종로구 종로1길 50-0,맛집,카페/찻집,광화문역,37.57472447,126.9790224,광화문
29,모도우광화문점,서울 종로구 율곡로 6-0,맛집,한식,안국역,37.57545386,126.9797758,안국
30,소금집델리안국점,서울 종로구 북촌로4길 19-0,맛집,간이음식,안국역,37.57946016,126.9862321,안국
31,슬로우파크,서울 종로구 삼청로 141-0,맛집,카페/찻집,안국역,37.58791624,126.981501,안국
32,런던베이글뮤지엄안국점,서울 종로구 북촌로4길 20-0,맛집,간이음식,안국역,37.57917013,126.9862027,안국
33,마이클바이해비치,서울 종로구 우정국로 26-0,맛집,외국식,종각역,37.57149666,126.983659,종각
34,한일관광화문점,서울 종로구 종로1길 50-0,맛집,한식,광화문역,37.57472447,126.9790224,광화문
35,서린낙지,서울 종로구 종로 19-0,맛집,외국식,종각역,37.57000616,127.0028359,종각
36,핏제리아오,서울 종로구 동숭길 86-0,맛집,간이음식,혜화역,37.58209584,127.0043262,혜화
37,JW메리어트동대문더라운지,서울 종로구 청계천로 279-0,맛집,카페/찻집,동대문역,37.57044853,127.0087438,동대문
38,청수당,서울 종로구 돈화문로11나길 31-9,맛집,카페/찻집,종로3가역,37.57388148,126.9897844,종로3가
39,애슐리퀸즈종각역점,서울 종로구 종로 51-0,맛집,외국식,종각역,37.57506029,127.017487,종각
40,하이디라오대학로점,서울 종로구 대학로 146-0,맛집,외국식,혜화역,37.58424892,127.00203,혜화
