,NAME,ADDRESS,CATE,SUBCATE,LAT,LON,STATION_NAME
신당역,신당동떡볶이타운,서울 중구,맛집,기타음식,,,
을지로4가역,우래옥본점,서울 중구 창경궁로 62-29,맛집,한식,,,
신당역,마복림떡볶이,서울 중구 다산로35길 5-0,맛집,간이음식,,,
충무로역,필동면옥,서울 중구 서애로 26-0,맛집,한식,,,
동대문역사문화공원역,오장동함흥냉면,서울 중구 마른내로 108-0,맛집,한식,,,
명동역,명동교자본점,서울 중구 명동10길 29-0,맛집,한식,,,
동대입구역,태극당장충본점,서울 중구 동호로24길 7-0,맛집,간이음식,,,
회현역,원조남산돈까스,서울 중구 소파로 23-0,맛집,외국식,,,
시청역,진주회관,서울 중구 세종대로11길 26-0,맛집,한식,,,
동대문역사문화공원역,오장동흥남집본점,서울 중구 마른내로 114-0,맛집,한식,,,
동대문역사문화공원역,평양면옥장충본점,서울 중구 장충단로 207-0,맛집,한식,,,
충무로역,한국의집,서울 중구 퇴계로36길 10-0,맛집,한식,,,
신당역,아이러브신당동,서울 중구 퇴계로76길 50-0,맛집,간이음식,,,
을지로입구역,원조남산왕돈까스,서울 중구 소파로 107-0,맛집,외국식,,,
약수역,금돼지식당,서울 중구 다산로 149-0,맛집,한식,,,
명동역,101번지남산돈까스본점,서울 중구 소파로 101-0,맛집,외국식,,,
시청역,컨퍼런스하우스달개비,서울 중구 세종대로19길 16-0,맛집,한식,,,
시청역,무교동북어국집,서울 중구 을지로1길 38-0,맛집,한식,,,
신당역,우정,서울 중구 퇴계로76길 55-0,맛집,간이음식,,,
신당역,하니칼국수,서울 중구 퇴계로 411-15,맛집,한식,,,
신당역,원할머니보쌈족발본점,서울 중구 난계로 201-0,맛집,외국식,,,
을지로입구역,라세느롯데호텔서울,서울 중구 을지로 30-0,맛집,외국식,,,
서대문역,정원레스토랑어반가든,서울 중구 정동길 12-15,맛집,외국식,,,
시청역,웨스틴 조선서울 아리아,서울 중구 소공로 106-0,맛집,외국식,,,
명동역,남산골산채집,서울 중구 소파로 93-0,맛집,한식,,,
을지로3가역,청와옥을지로3가직영점,서울 중구 을지로 110-0,맛집,한식,,,
동대문역사문화공원역,VIPS제일제당센터점,서울 중구 동호로 330-0,맛집,외국식,,,
을지로입구역,하동관명동본점,서울 중구 명동9길 12-0,맛집,한식,,,
명동역,목멱산방,서울 중구 퇴계로20길 71-0,맛집,한식,,,
동대입구역,더킹스앰배서더서울풀만호텔,서울 중구 동호로 287-0,맛집,외국식,,,
약수역,약수순대국,서울 중구 다산로8길 7-0,맛집,한식,,,
회현역,양미옥남대문점,서울 중구 남대문로5길 9-1,맛집,외국식,,,
을지로3가역,조선옥,서울 중구 을지로15길 8-0,맛집,한식,,,
