,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,우래옥본점,서울 중구 창경궁로 62-29,맛집,한식,을지로4가역,37.56821852,126.9987145,을지로4가
1,마복림떡볶이,서울 중구 다산로35길 5-0,맛집,간이음식,신당역,37.56320992,127.0150979,신당
2,필동면옥,서울 중구 서애로 26-0,맛집,한식,충무로역,37.56039316,126.9970043,충무로
3,오장동함흥냉면,서울 중구 마른내로 108-0,맛집,한식,동대문역사문화공원역,37.56427217,126.999884,동대문역사문화공원
4,명동교자본점,서울 중구 명동10길 29-0,맛집,한식,명동역,37.56781482,126.9841906,명동
5,태극당장충본점,서울 중구 동호로24길 7-0,맛집,간이음식,동대입구역,37.55952173,127.0050878,동대입구
6,원조남산돈까스,서울 중구 소파로 23-0,맛집,외국식,명동역,37.55609799,126.9795343,명동
7,진주회관,서울 중구 세종대로11길 26-0,맛집,한식,시청역,37.562314,126.9745828,시청
8,오장동흥남집본점,서울 중구 마른내로 114-0,맛집,한식,동대문역사문화공원역,37.56434145,127.0005421,동대문역사문화공원
9,평양면옥장충본점,서울 중구 장충단로 207-0,맛집,한식,동대문역사문화공원역,37.56303006,127.0064695,동대문역사문화공원
10,한국의집,서울 중구 퇴계로36길 10-0,맛집,한식,충무로역,37.5602235,126.9944983,충무로
11,아이러브신당동,서울 중구 퇴계로76길 50-0,맛집,간이음식,신당역,37.56318924,127.0147608,신당
12,원조남산왕돈까스,서울 중구 소파로 107-0,맛집,외국식,명동역,37.5573681,126.9861231,명동
13,금돼지식당,서울 중구 다산로 149-0,맛집,한식,약수역,37.55709164,127.0116665,약수
14,101번지남산돈까스본점,서울 중구 소파로 101-0,맛집,외국식,명동역,37.55694927,126.9857469,명동
15,컨퍼런스하우스달개비,서울 중구 세종대로19길 16-0,맛집,한식,시청역,37.56672262,126.976533,시청
16,무교동북어국집,서울 중구 을지로1길 38-0,맛집,한식,시청역,37.56774838,126.9798516,시청
17,우정,서울 중구 퇴계로76길 55-0,맛집,간이음식,신당역,37.56278972,127.0149191,신당
18,하니칼국수,서울 중구 퇴계로 411-15,맛집,한식,신당역,37.56617391,127.0171737,신당
19,원할머니보쌈족발본점,서울 중구 난계로 201-0,맛집,외국식,신당역,37.56962946,127.0232061,신당
20,라세느롯데호텔서울,서울 중구 을지로 30-0,맛집,외국식,을지로입구역,37.56534589,126.9810076,을지로입구
21,정원레스토랑어반가든,서울 중구 정동길 12-15,맛집,외국식,서대문역,37.56743272,126.9692035,서대문
22,웨스틴 조선서울 아리아,서울 중구 소공로 106-0,맛집,외국식,시청역,37.56448413,126.9801845,시청
23,남산골산채집,서울 중구 소파로 93-0,맛집,한식,명동역,37.55677648,126.9851873,명동
24,청와옥을지로3가직영점,서울 중구 을지로 110-0,맛집,한식,을지로3가역,37.56602094,126.9900525,을지로3가
25,VIPS제일제당센터점,서울 중구 동호로 330-0,맛집,외국식,동대문역사문화공원역,37.56397362,127.0032532,동대문역사문화공원
26,하동관명동본점,서울 중구 명동9길 12-0,맛집,한식,을지로입구역,37.56347814,126.9879846,을지로입구
27,목멱산방,서울 중구 퇴계로20길 71-0,맛집,한식,명동역,37.5581161,126.9868879,명동
28,더킹스앰배서더서울풀만호텔,서울 중구 동호로 287-0,맛집,외국식,동대입구역,37.56059897,127.002136,동대입구
29,약수순대국,서울 중구 다산로8길 7-0,맛집,한식,약수역,37.55301721,127.0100372,약수
30,양미옥남대문점,서울 중구 남대문로5길 9-1,맛집,외국식,회현역,37.56156023,126.9786994,회현
31,조선옥,서울 중구 을지로15길 8-0,맛집,한식,을지로3가역,37.56681118,126.9934811,을지로3가
32,몽중헌페럼타워점,서울 중구 을지로5길 19-0,맛집,외국식,을지로입구역,37.5669394,126.9841405,을지로입구
33,더파크뷰,서울 중구 동호로 249-0,맛집,외국식,동대입구역,37.55750551,127.0079529,동대입구
34,호박식당약수본점,서울 중구 다산로 154-0,맛집,한식,약수역,37.557307,127.0123241,약수
35,은주정,서울 중구 창경궁로8길 32-0,맛집,한식,을지로4가역,37.56868245,126.9997573,을지로4가
36,한암동정동점,서울 중구 정동길 21-15,맛집,한식,서대문역,37.5678521,126.9708542,서대문
37,마복림할머니막내아들네,서울 중구 다산로 221-0,맛집,간이음식,신당역,37.56292322,127.0150905,신당
38,만포막국수,서울 중구 동호로14길 2-0,맛집,한식,약수역,37.5557964,127.0103186,약수
39,원조남산돈까스,서울 중구 소파로 23-0,맛집,전문음식,명동역,37.55609799,126.9795343,명동
40,진고개[한식],서울 중구 충무로 19-1,맛집,한식,동대문역,37.56309102,126.992822,동대문
41,몰또이탈리안에스프레소바,서울 중구 명동길 73-0,맛집,카페/찻집,명동역,37.56441057,126.9862338,명동
42,남포면옥,서울 중구 을지로3길 24-0,맛집,한식,을지로입구역,37.56714637,126.981676,을지로입구
43,리사르커피로스터스,서울 중구 다산로8길 16-7,맛집,카페/찻집,약수역,37.55247306,127.0104266,약수
44,오발탄충무로점,서울 중구 퇴계로 205-0,맛집,외국식,충무로역,37.56175584,126.9948552,충무로
