역번호,호선,역명,LAT,LON
150,1,서울,37.55315,126.972533
151,1,시청,37.56359,126.975407
152,1,종각,37.570203,126.983116
153,1,종로3가,37.570429,126.992095
154,1,종로5가,37.570971,127.0019
155,1,동대문,37.565145,127.00789
156,1,신설동,37.576117,127.02471
157,1,제기동,37.578116,127.034902
158,1,청량리,37.580148,127.045063
159,1,동묘앞,37.573265,127.016459
1002,1,남영,37.541475,126.97133
1003,1,용산,37.529521,126.96454
1004,1,노량진,37.514162,126.943074
1005,1,대방,37.513561,126.926879
1006,1,영등포,37.515272,126.907021
1007,1,신도림,37.509105,126.891516
1015,1,회기,37.589584,127.057846
1016,1,외대앞,37.595375,127.063042
1017,1,신이문,37.601806,127.067323
1018,1,석계,37.614857,127.065743
1019,1,광운대,37.623662,127.061441
1020,1,월계,37.633029,127.058854
1021,1,녹천,37.644692,127.05134
1022,1,창동,37.652775,127.047832
1032,1,신길,37.517055,126.917256
1701,1,구로,37.502205,126.881843
1702,1,가산디지털단지,37.481519,126.88263
1703,1,금천구청,37.455935,126.894249
1714,1,독산,37.466006,126.88953
1801,1,개봉,37.494533,126.859097
1802,1,오류동,37.494407,126.844541
1813,1,구일,37.496209,126.8709
1821,1,온수,37.492459,126.82401
1901,1,방학,37.667579,127.044328
1902,1,도봉,37.679039,127.045483
1903,1,도봉산,37.688909,127.046132
202,2,을지로입구,37.565998,126.982569
203,2,을지로3가,37.566292,126.991773
204,2,을지로4가,37.566611,126.998122
205,2,동대문역사문화공원,37.565609,127.009083
206,2,신당,37.565681,127.019488
207,2,상왕십리,37.564504,127.028872
208,2,왕십리,37.561159,127.035505
209,2,한양대,37.55658,127.043504
210,2,뚝섬,37.54718,127.047413
211,2,성수,37.544628,127.055983
212,2,건대입구,37.540408,127.069231
213,2,구의,37.536857,127.085024
214,2,강변,37.535161,127.094684
215,2,잠실나루,37.520688,127.103836
216,2,잠실,37.513305,127.100129
217,2,잠실새내,37.520731,127.103738
218,2,종합운동장,37.511008,127.073641
219,2,삼성,37.508827,127.063203
220,2,선릉,37.504257,127.048174
221,2,역삼,37.500658,127.03643
222,2,강남,37.497958,127.027539
223,2,교대,37.493957,127.014631
224,2,서초,37.49191,127.007945
225,2,방배,37.481469,126.997627
226,2,사당,37.476536,126.981631
227,2,낙성대,37.47693,126.963783
228,2,서울대입구,37.481233,126.952745
229,2,봉천,37.482416,126.941896
230,2,신림,37.484216,126.929573
231,2,신대방,37.487534,126.913279
232,2,구로디지털단지,37.485005,126.902626
233,2,대림,37.492426,126.895293
235,2,문래,37.517993,126.894766
236,2,영등포구청,37.525766,126.896627
237,2,당산,37.533877,126.902011
238,2,합정,37.550025,126.914557
239,2,홍대입구,37.556748,126.923643
240,2,신촌,37.555153,126.93689
241,2,이대,37.556734,126.945897
242,2,아현,37.557407,126.956079
243,2,충정로,37.559742,126.964455
244,2,용답,37.566412,126.977863
245,2,신답,37.56147,127.056348
247,2,도림천,37.514759,126.882586
248,2,양천구청,37.512194,126.865193
249,2,신정네거리,37.520218,126.852849
250,2,용두,37.574012,127.03811
234-4,2,까치산,37.53181,126.846706
309,3,지축,37.648281,126.912551
310,3,구파발,37.636612,126.918827
311,3,연신내,37.618855,126.920859
312,3,불광,37.610554,126.929843
313,3,녹번,37.600882,126.935758
314,3,홍제,37.588851,126.944092
315,3,무악재,37.582658,126.950131
316,3,독립문,37.574534,126.957902
317,3,경복궁,37.575844,126.973576
318,3,안국,37.576562,126.98547
321,3,충무로,37.561302,126.995473
322,3,동대입구,37.55816,127.005273
323,3,약수,37.554674,127.010628
324,3,금호,37.548269,127.015785
325,3,옥수,37.541653,127.017303
326,3,압구정,37.526169,127.028502
327,3,신사,37.516438,127.020247
328,3,잠원,37.512989,127.011613
329,3,고속터미널,37.504953,127.004916
331,3,남부터미널,37.48494,127.016289
332,3,양재,37.48466,127.03513
333,3,매봉,37.487114,127.046907
334,3,도곡,37.491129,127.055694
335,3,대치,37.494601,127.063449
336,3,학여울,37.496757,127.070541
337,3,대청,37.493607,127.079526
338,3,일원,37.48389,127.08416
339,3,수서,37.487507,127.101324
340,3,가락시장,37.492368,127.118101
341,3,경찰병원,37.495754,127.124198
342,3,오금,37.502288,127.128344
409,4,당고개,37.66956,127.078404
410,4,상계,37.660576,127.073199
411,4,노원,37.656274,127.063183
413,4,쌍문,37.648274,127.034381
414,4,수유,37.637127,127.024731
415,4,미아,37.626435,127.026151
416,4,미아사거리,37.613276,127.030083
417,4,길음,37.604087,127.025353
418,4,성신여대입구,37.592782,127.017338
419,4,한성대입구,37.58838,127.006751
420,4,혜화,37.582116,127.001759
424,4,명동,37.561055,126.988271
425,4,회현,37.559698,126.979565
427,4,숙대입구,37.545124,126.971952
428,4,삼각지,37.535057,126.973354
429,4,신용산,37.52919,126.96858
430,4,이촌,37.522525,126.97335
431,4,동작,37.503567,126.980171
432,4,총신대입구,37.487431,126.982232
434,4,남태령,37.464339,126.989081
2511,5,방화,37.577669,126.812822
2512,5,개화산,37.572458,126.806838
2513,5,김포공항,37.56217,126.801273
2514,5,송정,37.561411,126.812052
2515,5,마곡,37.562182,126.82693
2516,5,발산,37.562182,126.82693
2517,5,우장산,37.548864,126.83633
2518,5,화곡,37.541585,126.840436
2520,5,신정,37.525001,126.856176
2521,5,목동,37.526088,126.864296
