,STATION_NAME,W,GU,LON,LAT
0,가락시장,2559.875,송파구,127.1181,37.492367
1,가산디지털단지,3064.296975,금천구,126.88263,37.481518
2,강남,7786.252106,강남구,127.02754,37.49796
3,강남구청,1422.483296,강남구,127.04122,37.517185
4,강동,1514.33703,강동구,127.13249,37.53581
5,강동구청,1017.233804,강동구,127.12046,37.53035
6,강변,3681.998105,광진구,127.09468,37.53516
7,개롱,670.4108647,송파구,127.13482,37.498096
8,개화산,649.8700168,강서구,126.80684,37.572456
9,거여,671.4826642,송파구,127.14398,37.49321
10,건대입구,5229.591592,광진구,127.06923,37.54041
11,경복궁,2179.678551,종로구,126.97358,37.575844
12,경찰병원,865.0296884,송파구,127.1242,37.495754
13,고덕,894.7000281,강동구,127.15421,37.555
14,고려대,780.0035093,성북구,127.03626,37.59034
15,고속터미널,6256.445677,서초구,127.00491,37.50495
16,공덕,2808.285514,마포구,126.95106,37.544006
17,공릉,1164.405109,노원구,127.07297,37.62564
18,광나루,1296.918725,광진구,127.10348,37.5453
19,광화문,2593.745929,종로구,126.97657,37.570545
20,광흥창,822.5371982,마포구,126.93197,37.547462
21,교대,4213.713784,서초구,127.01463,37.493958
22,구로디지털단지,5052.238841,구로구,126.902626,37.485004
23,구산,726.9934026,은평구,126.917244,37.61122
24,구의,2163.557131,광진구,127.08502,37.536858
25,구파발,2185.263967,은평구,126.91882,37.636612
26,군자,2347.189851,광진구,127.07956,37.557102
27,굽은다리,954.5379001,강동구,127.142845,37.54544
28,금호,965.4941044,성동구,127.015785,37.548267
29,길동,755.5448484,강동구,127.14008,37.53802
30,길음,1785.703537,성북구,127.02535,37.604088
31,김포공항,862.1228944,강서구,126.80127,37.56217
32,까치산,2421.148793,강서구,126.8467,37.53181
33,낙성대,2524.132369,관악구,126.96378,37.47693
34,남구로,1515.053976,구로구,126.887375,37.48618
35,남부터미널,2706.327976,서초구,127.01629,37.48494
36,남성,973.7686693,동작구,126.97111,37.484688
37,남태령,390.6292813,서초구,126.98908,37.46434
38,내방,1169.576993,서초구,126.99354,37.48764
39,노원,4120.928341,노원구,127.06319,37.656273
40,녹번,1270.120298,은평구,126.93576,37.600883
41,녹사평,775.1940623,용산구,126.98665,37.53469
42,논현,1605.713925,강남구,127.021385,37.51111
43,답십리,1412.941746,성동구,127.05266,37.566833
44,당고개,1141.289304,노원구,127.07841,37.66956
45,당산,1950.771687,영등포구,126.90201,37.53388
46,대림,4021.481541,구로구,126.895294,37.492428
47,대청,1010.055376,강남구,127.07953,37.493607
48,대치,1237.350856,강남구,127.063446,37.494602
49,대흥,838.3768248,마포구,126.942215,37.547733
50,도곡,538.1567939,강남구,127.055695,37.49113
51,도림천,517.3480488,구로구,126.88258,37.51476
52,도봉산,955.0581134,도봉구,127.046135,37.688908
53,독립문,948.7410163,서대문구,126.9579,37.574535
54,독바위,401.7956204,은평구,126.93304,37.618412
55,돌곶이,838.673849,성북구,127.05642,37.610523
56,동대문,3454.239823,종로구,127.00789,37.565144
57,동대문역사문화공원,3390.796294,중구,127.00909,37.56561
58,동대입구,976.1436193,중구,127.00527,37.55816
59,동묘앞,3024.599031,종로구,127.01646,37.573265
60,동작,494.5374789,동작구,126.98017,37.503567
61,둔촌동,814.2622824,강동구,127.136215,37.527786
62,디지털미디어시티,1100.232734,은평구,126.89864,37.577003
63,뚝섬,1749.779267,성동구,127.04742,37.54718
64,뚝섬유원지,940.5283549,광진구,127.06671,37.53156
65,마곡,760.1519512,강서구,126.82693,37.562183
66,마들,1032.421112,노원구,127.0577,37.664986
67,마장,702.0998737,성동구,127.04292,37.566067
68,마천,617.0629562,송파구,127.15279,37.494972
69,마포,1247.976628,마포구,126.946045,37.53972
70,마포구청,1243.201993,마포구,126.90333,37.563534
71,망원,1506.044287,마포구,126.910126,37.55603
72,매봉,971.2012212,강남구,127.046906,37.487114
73,먹골,933.8381527,중랑구,127.07772,37.610638
74,면목,1420.604085,중랑구,127.0875,37.588673
75,명동,2425.476836,중구,126.98827,37.561054
76,명일,835.4174621,강동구,127.144005,37.551315
77,목동,1667.505194,양천구,126.864296,37.52609
78,몽촌토성,1529.185723,송파구,127.11274,37.517693
79,무악재,679.9413251,서대문구,126.950134,37.582657
80,문래,2093.990876,영등포구,126.89477,37.517994
81,문정,2090.259634,송파구,127.122475,37.48593
82,미아,1441.528144,강북구,127.02615,37.626434
83,미아사거리,2548.972347,강북구,127.030083,37.613276
84,반포,666.7455081,서초구,127.01172,37.50817
85,발산,1682.404688,강서구,126.82693,37.562183
86,방배,1735.70831,서초구,126.99763,37.48147
87,방이,714.8564009,송파구,127.12605,37.50875
88,방화,697.6278776,강서구,126.81282,37.577667
89,버티고개,452.8191773,중구,127.00695,37.54793
90,보라매,1210.26939,동작구,126.92011,37.499916
91,보문,735.5384615,성북구,127.01938,37.585293
92,복정,1273.707237,송파구,127.12675,37.471016
93,봉천,2648.879843,관악구,126.941895,37.482414
94,봉화산,920.4855418,중랑구,127.09138,37.617294
95,불광,2591.601348,은평구,126.92984,37.610554
96,사가정,1521.440062,중랑구,127.0885,37.580914
97,사당,6258.419989,동작구,126.98163,37.476536
98,삼각지,1191.923077,용산구,126.97335,37.535057
99,삼성,4250.175042,강남구,127.0632,37.508827
100,상계,1780.972768,노원구,127.0732,37.660576
101,상도,1296.071032,동작구,126.94795,37.50279
102,상봉,1492.556569,중랑구,127.08571,37.595673
103,상수,958.5301797,마포구,126.92292,37.547703
104,상왕십리,1302.704169,성동구,127.02887,37.564503
105,상월곡,591.7433324,성북구,127.04851,37.60639
106,상일동,1142.996842,강동구,127.16638,37.556713
107,새절,1191.307061,은평구,126.91361,37.59115
108,서대문,1396.977962,종로구,126.96664,37.56581
109,서울,5789.623403,중구,126.972534,37.55315
110,서울대입구,4672.943431,관악구,126.95274,37.48123
111,서초,1901.419568,서초구,127.00794,37.49191
112,석계,1218.794287,노원구,127.06574,37.614857
113,석촌,907.8950656,송파구,127.106995,37.505398
114,선릉,4223.16276,강남구,127.04817,37.504257
115,성수,2516.266002,성동구,127.055984,37.54463
116,성신여대입구,2176.523372,성북구,127.01734,37.59278
117,송정,819.0909601,강서구,126.81205,37.561413
118,송파,1551.571489,송파구,127.11212,37.49978
119,수락산,1184.542532,노원구,127.05531,37.677803
120,수서,1713.579239,강남구,127.101326,37.487507
121,수유,3207.097277,강북구,127.024734,37.637127
122,숙대입구,1326.23491,용산구,126.971954,37.545124
123,숭실대입구,1883.155261,동작구,126.95365,37.496258
124,시청,4056.852801,중구,126.97541,37.56359
125,신금호,604.3178692,성동구,127.0204,37.554504
126,신길,352.8300112,영등포구,126.91726,37.517056
127,신답,485.7207327,성동구,127.05635,37.56147
128,신당,2319.059104,중구,127.019485,37.56568
129,신대방,3040.948414,동작구,126.91328,37.487534
130,신대방삼거리,1791.096301,동작구,126.928215,37.499718
