"T_IDX","STATION_NAME","T_NAME","CATE","ADDRESS","LAT","LON"
1,"가락시장","롯데마트/송파점","관광지","서울 송파구 중대로 80-0",37.49175008,127.1177491
2,"가산디지털단지","가리봉시장","관광지","서울 구로구",37.48130544,126.8891587
3,"가산디지털단지","가산물갈비&백년불고기","맛집","서울 금천구 가산디지털1로 128-0",37.477238,126.8837
4,"가산디지털단지","호세가","맛집","서울 금천구 남부순환로108길 19-0",37.477936,126.89235
5,"가산디지털단지","파티엘하우스","맛집","서울 금천구 디지털로 173-0",37.47797,126.88607
6,"가산디지털단지","코애식당","맛집","서울 금천구 가산디지털2로 127-33",37.478382,126.87779
7,"가산디지털단지","커피베이가산직영점","맛집","서울 금천구 벚꽃로 254-0",37.477764,126.88549
8,"가산디지털단지","인크커피가산점","맛집","서울 금천구 가산디지털2로 127-20",37.47934,126.878075
9,"가산디지털단지","은행골가산디지털단지역점","맛집","서울 금천구 가산디지털1로 171-0",37.480762,126.88068
10,"가산디지털단지","아웃백스테이크하우스가산점","맛집","서울 금천구 디지털로10길 9-0",37.47762,126.88905
11,"가산디지털단지","미분당가산점","맛집","서울 금천구 디지털로10길 69-0",37.4753,126.890854
12,"가산디지털단지","망향비빔국수금천직영점","맛집","서울 금천구 가산디지털1로 186-0",37.481915,126.881584
13,"가산디지털단지","두껍삼가산직영점","맛집","서울 금천구 벚꽃로38길 43-0",37.483017,126.88476
14,"가산디지털단지","동남집","맛집","서울 금천구 가산디지털1로 149-0",37.47874,126.88187
15,"가산디지털단지","도넛 인사이드 도넛","맛집","서울 금천구 시흥대로141길 81-0",37.476505,126.897644
16,"가산디지털단지","김명태매운갈비찜가산점","맛집","서울 금천구 가산로 132-1",37.47735,126.89192
17,"가산디지털단지","풍년갈비","맛집","서울 금천구 디지털로12길 33-0",37.477497,126.890076
18,"가산디지털단지","춘천옥","맛집","서울 금천구 디지털로12길 19-0",37.47791,126.88969
19,"가산디지털단지","참숯구이육향","맛집","서울 금천구 가산디지털1로 225-0",37.485073,126.87888
20,"가산디지털단지","차림","맛집","서울 금천구 가산디지털1로 131-0",37.47708,126.88198
21,"가산디지털단지","SJ아울렛","관광지","서울 금천구 벚꽃로 278-0",37.47958338,126.884437
22,"가산디지털단지","이비그가죽공방","관광지","서울 금천구 시흥대로153길 68-3",37.47676794,126.8944701
23,"가산디지털단지","퐁퐁플라워/가산센터","관광지","서울 금천구 벚꽃로 278-0",37.47941674,126.8845758
24,"가산디지털단지","마리오아울렛/2관","관광지","서울 금천구 디지털로9길 23-0",37.47872239,126.8864646
25,"가산디지털단지","롯데팩토리아울렛/가산점","관광지","서울 금천구 벚꽃로 278-0",37.47933341,126.8846869
26,"가산디지털단지","롯데시네마/가산디지털","관광지","서울 금천구 디지털로10길 9-0",37.47763122,126.889016
27,"가산디지털단지","마리오아울렛/3관","관광지","서울 금천구 벚꽃로 266-0",37.47844463,126.8850758
28,"가산디지털단지","W몰","관광지","서울 금천구 디지털로 188-0",37.47736144,126.8876589
29,"가산디지털단지","현대시티아울렛/가산점","관광지","서울 금천구 디지털로10길 9-0",37.47769474,126.8891866
30,"가산디지털단지","마리오아울렛/1관","관광지","서울 금천구 디지털로 185-0",37.4780558,126.8873812
31,"가산디지털단지","구로구리틀야구장","관광지","서울 구로구 경인로67길 0-0",37.4998079,126.8711168
32,"가산디지털단지","솔길어린이공원","관광지","서울 구로구",37.48930446,126.8806317
33,"가산디지털단지","순댕이네얼큰수제비","맛집","서울 금천구 시흥대로136길 1-0",37.472343,126.89933
34,"가산디지털단지","개성손만두요리전문점가산디지털점","맛집","서울 금천구 가산로9길 22-0",37.47684,126.89053
35,"강남","딘타이펑강남역점","맛집","서울 서초구 서초대로73길 12-0",37.49855,127.025734
36,"강남","창고43강남점","맛집","서울 강남구 강남대로 362-0",37.495304,127.02942
